text	link	year
Rajesh Chandra	/wiki/Rajesh_Chandra	['1900', '1950']
Brij Lal	/wiki/Brij_Lal_(historian)	['1900', '1950']
Paresh Narayan	/wiki/Paresh_Narayan	['1900', '1950']
Sarojini Pillay	/wiki/Sarojini_Pillay	['1900', '1950']
Swami Rudrananda	/wiki/Swami_Rudrananda	['1900', '1950']
Savenaca Siwatibau	/wiki/Savenaca_Siwatibau	['1940', '2003']
Shamima Ali	/wiki/Shamima_Ali	['1900', '1950']
Sharon Bhagwan-Rolls	/wiki/Sharon_Bhagwan-Rolls	['1900', '1950']
Angie Heffernan	/wiki/Angie_Heffernan	['1900', '1950']
Jiko Luveni	/wiki/Jiko_Luveni	['1900', '1950']
Anirudh Singh	/wiki/Anirudh_Singh	['1900', '1950']
Suliana Siwatibau	/wiki/Suliana_Siwatibau	['1900', '1950']
Imraz Iqbal	/wiki/Imraz_Iqbal	['1900', '1950']
Ballu Khan	/wiki/Ballu_Khan	['1900', '1950']
Shivlal Nagindas	/wiki/Shivlal_Nagindas	['1900', '1950']
Josateki Nawalowalo	/wiki/Josateki_Nawalowalo	['1900', '1950']
Sangeeta Niranjan	/wiki/Sangeeta_Niranjan	['1900', '1950']
Hari Punja	/wiki/Hari_Punja	['1937', '2025']
Mere Samisoni	/wiki/Mere_Samisoni	['1900', '1950']
Dixon Seeto	/wiki/Dixon_Seeto	['1900', '1950']
Rajnesh Singh	/wiki/Rajnesh_Singh	['1900', '1950']
Ram Singh	/wiki/Ram_Singh_(Fiji)	['1900', '1950']
Davila Toganivalu	/wiki/Davila_Toganivalu	['1900', '1950']
Taito Waradi	/wiki/Taito_Waradi	['1900', '1950']
Epenisa Cakobau	/wiki/Epenisa_Cakobau	['1900', '1950']
Epeli Kanakana	/wiki/Epeli_Kanakana	['1900', '1950']
Aisea Katonivere	/wiki/Aisea_Katonivere	['1900', '1950']
Penaia Kadavulevu	/wiki/Penaia_Kadavulevu	['1901', '1914']
Joni Madraiwiwi I	/wiki/Joni_Madraiwiwi_I	['1859', '1920']
Epeli Nailatikau I	/wiki/Epeli_Nailatikau_I	['1842', '1901']
Niumataiwalu	/wiki/Niumataiwalu	['1900', '1950']
Rasolo	/wiki/Rasolo	['1900', '1950']
Maculeku Rokocegu	/wiki/Maculeku_Rokocegu	['1900', '1950']
Joana Rokomatu	/wiki/Joana_Rokomatu	['1900', '1950']
Jovesa Sovasova	/wiki/Jovesa_Sovasova	['1942', '2005']
Taliai Tupou	/wiki/Taliai_Tupou	['1900', '1950']
Ratu Udre Udre	/wiki/Ratu_Udre_Udre	['1900', '1950']
Alifereti Finau Ulugalala	/wiki/Alifereti_Finau_Ulugalala	['1900', '1950']
Tanoa Visawaqa	/wiki/Tanoa_Visawaqa	['1900', '1950']
Uluilakeba I	/wiki/Uluilakeba_I	['1900', '1950']
Rodney Acraman	/wiki/Rodney_Acraman	['1900', '1950']
Meli Bainimarama	/wiki/Meli_Bainimarama	['1900', '1950']
Joseph Browne	/wiki/Joseph_Browne_(civil_servant)	['1900', '1950']
Hector Hatch	/wiki/Hector_Hatch	['1900', '1950']
Stuart Huggett	/wiki/Stuart_Huggett	['1900', '1950']
Anare Jale	/wiki/Anare_Jale	['1900', '1950']
Lesi Korovavala	/wiki/Lesi_Korovavala	['1900', '1950']
Joji Kotobalavu	/wiki/Joji_Kotobalavu	['1900', '1950']
Viliame Naupoto	/wiki/Viliame_Naupoto	['1900', '1950']
Litia Qionibaravi	/wiki/Litia_Qionibaravi	['1900', '1950']
Rishi Ram	/wiki/Rishi_Ram	['1900', '1950']
Peter Ridgeway	/wiki/Peter_Ridgeway	['1900', '1950']
Shaista Shameem	/wiki/Shaista_Shameem	['1900', '1950']
