text	link	year
Ida Aalberg	/wiki/Ida_Aalberg	['1900', '1950']
Aino Ackte	/wiki/Aino_Ackte	['1876', '1944']
Irina Björklund	/wiki/Irina_Bj%C3%B6rklund	['1900', '1950']
Stina Ekblad	/wiki/Stina_Ekblad	['1900', '1950']
Nicke Lignell	/wiki/Nicke_Lignell	['1900', '1950']
Lasse Pöysti	/wiki/Lasse_P%C3%B6ysti	['1900', '1950']
Birgitta Ulfsson	/wiki/Birgitta_Ulfsson	['1900', '1950']
Kristian Gullichsen	/wiki/Kristian_Gullichsen	['1900', '1950']
Viljo Revell	/wiki/Viljo_Revell	['1910', '1964']
Lars Sonck	/wiki/Lars_Sonck	['1870', '1956']
Fanny Churberg	/wiki/Fanny_Churberg	['1845', '1892']
Albert Edelfelt	/wiki/Albert_Edelfelt	['1854', '1905']
Magnus Enckell	/wiki/Magnus_Enckell	['1870', '1925']
Akseli Gallen-Kallela	/wiki/Akseli_Gallen-Kallela	['1865', '1931']
Jorma Gallen-Kallela	/wiki/Jorma_Gallen-Kallela	['1898', '1939']
Eero Järnefelt	/wiki/Eero_J%C3%A4rnefelt	['1863', '1937']
Rudolf Koivu	/wiki/Rudolf_Koivu	['1890', '1946']
Helene Schjerfbeck	/wiki/Helene_Schjerfbeck	['1862', '1946']
Hugo Simberg	/wiki/Hugo_Simberg	['1873', '1917']
Kaj Stenvall	/wiki/Kaj_Stenvall	['1900', '1950']
Kaj Arnö	/wiki/Kaj_Arn%C3%B6	['1900', '1950']
Antti Ahlström	/wiki/Antti_Ahlstr%C3%B6m	['1900', '1950']
Rabbe Grönblom	/wiki/Rabbe_Gr%C3%B6nblom	['1900', '1950']
Hjallis Harkimo	/wiki/Hjallis_Harkimo	['1900', '1950']
Fredrik Idestam	/wiki/Fredrik_Idestam	['1900', '1950']
Mikael Lilius	/wiki/Mikael_Lilius	['1900', '1950']
Mårten Mickos	/wiki/M%C3%A5rten_Mickos	['1900', '1950']
Björn Wahlroos	/wiki/Bj%C3%B6rn_Wahlroos	['1900', '1950']
Erik Bergman	/wiki/Erik_Bergman	['1900', '1950']
Bernhard Crusell	/wiki/Bernhard_Crusell	['1900', '1950']
Magnus Lindberg	/wiki/Magnus_Lindberg	['1900', '1950']
Ossi Runne	/wiki/Ossi_Runne	['1900', '1950']
Leif Segerstam	/wiki/Leif_Segerstam	['1900', '1950']
Jean Sibelius	/wiki/Jean_Sibelius	['1865', '1957']
Martin Wegelius	/wiki/Martin_Wegelius	['1900', '1950']
Linus Torvalds	/wiki/Linus_Torvalds	['1900', '1950']
Michael	/wiki/Michael_(Monty)_Widenius	['1900', '1950']
Erik Bruun	/wiki/Erik_Bruun	['1900', '1950']
Kaj Franck	/wiki/Kaj_Franck	['1911', '1989']
Stefan Lindfors	/wiki/Stefan_Lindfors	['1900', '1950']
Jörn Donner	/wiki/J%C3%B6rn_Donner	['1900', '1950']
Klaus Härö	/wiki/Klaus_H%C3%A4r%C3%B6	['1900', '1950']
Åke Lindman	/wiki/%C3%85ke_Lindman	['1900', '1950']
Casper Wrede	/wiki/Casper_Wrede	['1900', '1950']
Monica Groop	/wiki/Monica_Groop	['1900', '1950']
Paavo Berglund	/wiki/Paavo_Berglund	['1900', '1950']
Mikko Franck	/wiki/Mikko_Franck	['1900', '1950']
Ralf Gothoni	/wiki/Ralf_Gothoni	['1900', '1950']
Jean Sibelius	/wiki/Jean_Sibelius	['1900', '1950']
John Storgårds	/wiki/John_Storg%C3%A5rds	['1900', '1950']
Ami Aspelund	/wiki/Ami_Aspelund	['1900', '1950']
Monica Aspelund	/wiki/Monica_Aspelund	['1900', '1950']
Henrik Otto Donner	/wiki/Henrik_Otto_Donner	['1900', '1950']
Ben Granfelt	/wiki/Ben_Granfelt	['1900', '1950']
Kim Herold	/wiki/Kim_Herold	['1900', '1950']
Finntroll	/wiki/Finntroll	['1900', '1950']
Pernilla Karlsson	/wiki/Pernilla_Karlsson	['1900', '1950']
Finntroll	/wiki/Finntroll	['1900', '1950']
Georg Malmstén	/wiki/Georg_Malmst%C3%A9n	['1900', '1950']
Patrik Mennander	/wiki/Patrik_Mennander	['1900', '1950']
Nasty Suicide	/wiki/Nasty_Suicide	['1900', '1950']
Turisas	/wiki/Turisas	['1900', '1950']
Paradise Oskar	/wiki/Paradise_Oskar	['1900', '1950']
