text	link	year
Ida Aalberg	/wiki/Ida_Aalberg	['1858', '1915']
Jouko Ahola	/wiki/Jouko_Ahola	['1900', '1950']
Olavi Ahonen	/wiki/Olavi_Ahonen	['1900', '1950']
Irina Björklund	/wiki/Irina_Bj%C3%B6rklund	['1900', '1950']
Anna Easteden	/wiki/Anna_Easteden	['1900', '1950']
Samuli Edelmann	/wiki/Samuli_Edelmann	['1900', '1950']
Peter Franzén	/wiki/Peter_Franz%C3%A9n	['1900', '1950']
George Gaynes	/wiki/George_Gaynes	['1900', '1950']
Gina Goldberg	/wiki/Gina_Goldberg	['1900', '1950']
Ville Haapasalo	/wiki/Ville_Haapasalo	['1900', '1950']
Anna-Leena Härkönen	/wiki/Anna-Leena_H%C3%A4rk%C3%B6nen	['1900', '1950']
Ansa Ikonen	/wiki/Ansa_Ikonen	['1900', '1950']
Anni-Kristiina Juuso	/wiki/Anni-Kristiina_Juuso	['1900', '1950']
Kata Kärkkäinen	/wiki/Kata_K%C3%A4rkk%C3%A4inen	['1900', '1950']
Marta Kristen	/wiki/Marta_Kristen	['1900', '1950']
Vesa-Matti Loiri	/wiki/Vesa-Matti_Loiri	['1900', '1950']
Masa Niemi	/wiki/Masa_Niemi	['1900', '1950']
Maila Nurmi	/wiki/Maila_Nurmi	['1900', '1950']
Kati Outinen	/wiki/Kati_Outinen	['1900', '1950']
Turo Pajala	/wiki/Turo_Pajala	['1900', '1950']
Tauno Palo	/wiki/Tauno_Palo	['1905', '1982']
Spede Pasanen	/wiki/Spede_Pasanen	['1930', '2001']
Matti Pellonpää	/wiki/Matti_Pellonp%C3%A4%C3%A4	['1951', '1995']
Lasse Pöysti	/wiki/Lasse_P%C3%B6ysti	['1900', '1950']
Pentti Siimes	/wiki/Pentti_Siimes	['1900', '1950']
Maria Silfvan	/wiki/Maria_Silfvan	['1800', '1865']
Markku Toikka	/wiki/Markku_Toikka	['1900', '1950']
Aino Aalto	/wiki/Aino_Aalto	['1894', '1949']
Alvar Aalto	/wiki/Alvar_Aalto	['1898', '1976']
Marco Casagrande	/wiki/Marco_Casagrande	['1971', '2025']
Elna Kiljander	/wiki/Elna_Kiljander	['1889', '1970']
Juha Leiviskä	/wiki/Juha_Leivisk%C3%A4	['1936', '2025']
