text	link	year
First Nations	/wiki/First_Nations	['1900', '1950']
Inuit	/wiki/Inuit	['1900', '1950']
Paleo-Indians	/wiki/Paleo-Indians	['1900', '1950']
Canadian Indian residential school system	/wiki/Canadian_Indian_residential_school_system	['1900', '1950']
Indian hospital	/wiki/Indian_hospital	['1900', '1950']
British Columbia Treaty Process	/wiki/British_Columbia_Treaty_Process	['1900', '1950']
Indian Health Transfer Policy	/wiki/Indian_Health_Transfer_Policy	['1900', '1950']
Idle No More	/wiki/Idle_No_More	['1900', '1950']
Indian Act	/wiki/Indian_Act	['1900', '1950']
Indigenous and Northern Affairs Canada	/wiki/Indigenous_and_Northern_Affairs_Canada	['1900', '1950']
Missing and murdered Indigenous women	/wiki/Missing_and_murdered_Indigenous_women	['1900', '1950']
Numbered Treaties	/wiki/Numbered_Treaties	['1900', '1950']
Royal Commission on Aboriginal Peoples	/wiki/Royal_Commission_on_Aboriginal_Peoples	['1900', '1950']
Treaty rights	/wiki/Treaty_rights	['1900', '1950']
Country food	/wiki/Country_food	['1900', '1950']
Indian reserve	/wiki/Indian_reserve	['1900', '1950']
Inuit languages	/wiki/Inuit_languages	['1900', '1950']
Americanist phonetic notation	/wiki/Americanist_phonetic_notation	['1900', '1950']
Canadian Aboriginal syllabics	/wiki/Canadian_Aboriginal_syllabics	['1900', '1950']
Inuit grammar	/wiki/Inuit_grammar	['1900', '1950']
Inuit religion	/wiki/Inuit_religion	['1900', '1950']
wiktionary:First Nations	https://en.wiktionary.org/wiki/First_Nations	['1900', '1950']
wiktionary:Inuit	https://en.wiktionary.org/wiki/Inuit	['1900', '1950']
wiktionary:Metis	https://en.wiktionary.org/wiki/Metis	['1900', '1950']
Aatsista-Mahkan	/wiki/Aatsista-Mahkan	['1900', '1950']
Abishabis	/wiki/Abishabis	['1900', '1950']
A-ca-oo-mah-ca-ye	/wiki/A-ca-oo-mah-ca-ye	['1900', '1950']
Evan Adams	/wiki/Evan_Adams	['1900', '1950']
Mary Kawennatakie Adams	/wiki/Mary_Kawennatakie_Adams	['1900', '1950']
Agouhanna	/wiki/Agouhanna	['1900', '1950']
