text	link	year
Isabelle Adjani	/wiki/Isabelle_Adjani	['1900', '1950']
Renée Adorée	/wiki/Ren%C3%A9e_Ador%C3%A9e	['1900', '1950']
Anouk Aimée	/wiki/Anouk_Aim%C3%A9e	['1900', '1950']
Flo Ankah	/wiki/Flo_Ankah	['1900', '1950']
Arletty	/wiki/Arletty	['1900', '1950']
Antonin Artaud	/wiki/Antonin_Artaud	['1900', '1950']
Fanny Ardant	/wiki/Fanny_Ardant	['1900', '1950']
Jeanne Aubert	/wiki/Jeanne_Aubert	['1900', '1950']
Jean-Louis Aubert	/wiki/Jean-Louis_Aubert	['1900', '1950']
Jean-Pierre Aumont	/wiki/Jean-Pierre_Aumont	['1900', '1950']
Claude Autant-Lara	/wiki/Claude_Autant-Lara	['1900', '1950']
Daniel Auteuil	/wiki/Daniel_Auteuil	['1900', '1950']
Charles Aznavour	/wiki/Charles_Aznavour	['1900', '1950']
Brigitte Bardot	/wiki/Brigitte_Bardot	['1900', '1950']
Emmanuelle Béart	/wiki/Emmanuelle_B%C3%A9art	['1900', '1950']
Loleh Bellon	/wiki/Loleh_Bellon	['1900', '1950']
Jean-Paul Belmondo	/wiki/Jean-Paul_Belmondo	['1900', '1950']
François Berléand	/wiki/Fran%C3%A7ois_Berl%C3%A9and	['1900', '1950']
Charles Berling	/wiki/Charles_Berling	['1900', '1950']
Suzanne Bianchetti	/wiki/Suzanne_Bianchetti	['1900', '1950']
Juliette Binoche	/wiki/Juliette_Binoche	['1900', '1950']
Bernard Blier	/wiki/Bernard_Blier	['1900', '1950']
Sandrine Bonnaire	/wiki/Sandrine_Bonnaire	['1900', '1950']
Élodie Bouchez	/wiki/%C3%89lodie_Bouchez	['1900', '1950']
Bourvil	/wiki/Bourvil	['1900', '1950']
Dany Boon	/wiki/Dany_Boon	['1900', '1950']
Angelique Boyer	/wiki/Angelique_Boyer	['1900', '1950']
Charles Boyer	/wiki/Charles_Boyer	['1900', '1950']
Guillaume Canet	/wiki/Guillaume_Canet	['1900', '1950']
Capucine	/wiki/Capucine	['1900', '1950']
