text	link	year
Colchians	/wiki/Colchians	['1900', '1950']
Caucasian Iberians	/wiki/Caucasian_Iberians	['1900', '1950']
Svans	/wiki/Svans	['1900', '1950']
Zans	/wiki/Zans	['1900', '1950']
Chokha	/wiki/Chokha	['1900', '1950']
Saint George	/wiki/Saint_George	['1900', '1950']
Saint Nino	/wiki/Saint_Nino	['1900', '1950']
St George's Cross	/wiki/St_George%27s_Cross	['1900', '1950']
Grapevine cross	/wiki/Grapevine_cross	['1900', '1950']
Bolnisi cross	/wiki/Bolnisi_cross	['1900', '1950']
Borjgali	/wiki/Borjgali	['1900', '1950']
David the Builder	/wiki/David_the_Builder	['1073', '1125']
Zviad Gamsakhurdia	/wiki/Zviad_Gamsakhurdia	['1939', '1993']
Eduard Shevardnadze	/wiki/Eduard_Shevardnadze	['1927', '2014']
Mikheil Saakashvili	/wiki/Mikheil_Saakashvili	['2004', '2015']
Grigol Bakurianis-dze	/wiki/Grigol_Bakurianis-dze	['1900', '1950']
Giorgi Saakadze	/wiki/Giorgi_Saakadze	['1570', '1629']
Allahverdi Khan	/wiki/Allahverdi_Khan	['1900', '1950']
Imam-Quli Khan	/wiki/Imam-Quli_Khan	['1900', '1950']
Daud Khan Undiladze	/wiki/Daud_Khan_Undiladze	['1900', '1950']
Rustam Khan	/wiki/Rustam_Khan_(Sipahsalar)	['1900', '1950']
Yusef Khan-e Gorji	/wiki/Yusef_Khan-e_Gorji	['1900', '1950']
Pyotr Bagration	/wiki/Pyotr_Bagration	['1765', '1812']
Alexandre Bagrationi	/wiki/Alexandre_Bagrationi	['1770', '1844']
Roman Bagration	/wiki/Roman_Bagration	['1778', '1834']
Ivane Amilakhvari	/wiki/Ivane_Amilakhvari	['1829', '1905']
Alexander Imeretinsky	/wiki/Alexander_Imeretinsky	['1837', '1900']
Ivane Kazbegi	/wiki/Ivane_Kazbegi	['1860', '1943']
Kote Abkhazi	/wiki/Kote_Abkhazi	['1867', '1923']
Zakaria Bakradze	/wiki/Zakaria_Bakradze	['1870', '1938']
Giorgi Mazniashvili	/wiki/Giorgi_Mazniashvili	['1872', '1937']
Giorgi Kvinitadze	/wiki/Giorgi_Kvinitadze	['1874', '1970']
Joseph Stalin	/wiki/Joseph_Stalin	['1878', '1953']
Leo Kereselidze	/wiki/Leo_Kereselidze	['1878', '1942']
Alexandre Chkheidze	/wiki/Alexandre_Chkheidze	['1878', '1940']
Valiko Jugheli	/wiki/Valiko_Jugheli	['1887', '1924']
Kakutsa Cholokashvili	/wiki/Kakutsa_Cholokashvili	['1888', '1930']
Konstantin Mikeladze	/wiki/Konstantin_Mikeladze	['1895', '1935']
Grigor Mikeladze	/wiki/Grigor_Mikeladze	['1898', '1955']
Shalva Maglakelidze	/wiki/Shalva_Maglakelidze	['1893', '1976']
