text	link	year
Walter Gropius	/wiki/Walter_Gropius	['1883', '1969']
Carl Ludvig Engel	/wiki/Carl_Ludvig_Engel	['1778', '1840']
Leo von Klenze	/wiki/Leo_von_Klenze	['1784', '1864']
Balthasar Neumann	/wiki/Balthasar_Neumann	['1687', '1753']
Matthäus Daniel Pöppelmann	/wiki/Matth%C3%A4us_Daniel_P%C3%B6ppelmann	['1662', '1736']
Ludwig Mies van der Rohe	/wiki/Ludwig_Mies_van_der_Rohe	['1886', '1969']
Karl Friedrich Schinkel	/wiki/Karl_Friedrich_Schinkel	['1781', '1841']
Johann Conrad Schlaun	/wiki/Johann_Conrad_Schlaun	['1695', '1773']
Gottfried Semper	/wiki/Gottfried_Semper	['1803', '1879']
Albert Speer	/wiki/Albert_Speer	['1905', '1981']
Wilhelm Kreis	/wiki/Wilhelm_Kreis	['1873', '1955']
Hans von Aachen	/wiki/Hans_von_Aachen	['1552', '1615']
Albrecht Altdorfer	/wiki/Albrecht_Altdorfer	['1480', '1538']
Gertrud Arndt	/wiki/Gertrud_Arndt	['1903', '2000']
Ernst Barlach	/wiki/Ernst_Barlach	['1870', '1938']
Günther Behnisch	/wiki/G%C3%BCnther_Behnisch	['1922', '2025']
Peter Behrens	/wiki/Peter_Behrens	['1868', '1940']
Sibylle Bergemann	/wiki/Sibylle_Bergemann	['1941', '2010']
Joseph Beuys	/wiki/Joseph_Beuys	['1921', '1986']
Hermann Biow	/wiki/Hermann_Biow	['1804', '1850']
Elisabeth Böhm	/wiki/Elisabeth_B%C3%B6hm	['1921', '2012']
Gottfried Böhm	/wiki/Gottfried_B%C3%B6hm	['1920', '2025']
Arno Breker	/wiki/Arno_Breker	['1900', '1991']
Lovis Corinth	/wiki/Lovis_Corinth	['1858', '1925']
Lucas Cranach the Elder	/wiki/Lucas_Cranach_the_Elder	['1472', '1553']
Lucas Cranach the Younger	/wiki/Lucas_Cranach_the_Younger	['1515', '1586']
Yitzhak Danziger	/wiki/Yitzhak_Danziger	['1916', '1977']
Otto Dix	/wiki/Otto_Dix	['1891', '1969']
Albrecht Dürer	/wiki/Albrecht_D%C3%BCrer	['1471', '1528']
Egon Eiermann	/wiki/Egon_Eiermann	['1904', '1970']
Max Ernst	/wiki/Max_Ernst	['1891', '1976']
Carl Eytel	/wiki/Carl_Eytel	['1862', '1925']
Caspar David Friedrich	/wiki/Caspar_David_Friedrich	['1774', '1840']
Dörte Gatermann	/wiki/D%C3%B6rte_Gatermann	['1956', '2025']
Willi Glasauer	/wiki/Willi_Glasauer	['1938', '2025']
Walter Gropius	/wiki/Walter_Gropius	['1883', '1969']
George Grosz	/wiki/George_Grosz	['1893', '1959']
Matthias Grünewald	/wiki/Matthias_Gr%C3%BCnewald	['1470', '1528']
Johann Gottlieb Hantzsch	/wiki/Johann_Gottlieb_Hantzsch	['1794', '1848']
Christian Hellmich	/wiki/Christian_Hellmich	['1977', '2025']
Hannah Höch	/wiki/Hannah_H%C3%B6ch	['1900', '1950']
Hans Holbein the Elder	/wiki/Hans_Holbein_the_Elder	['1465', '1524']
Hans Holbein the Younger	/wiki/Hans_Holbein_the_Younger	['1497', '1543']
Jörg Immendorff	/wiki/J%C3%B6rg_Immendorff	['1900', '1950']
Helmut Jahn	/wiki/Helmut_Jahn	['1940', '2025']
Horst Janssen	/wiki/Horst_Janssen	['1900', '1950']
Ulli Kampelmann	/wiki/Ulli_Kampelmann	['1952', '2025']
Anselm Kiefer	/wiki/Anselm_Kiefer	['1945', '2025']
Martin Kippenberger	/wiki/Martin_Kippenberger	['1953', '1997']
Ernst Ludwig Kirchner	/wiki/Ernst_Ludwig_Kirchner	['1880', '1938']
Leo von Klenze	/wiki/Leo_von_Klenze	['1784', '1864']
Hans Kollhoff	/wiki/Hans_Kollhoff	['1946', '2025']
Käthe Kollwitz	/wiki/K%C3%A4the_Kollwitz	['1867', '1945']
Christian Lemmerz	/wiki/Christian_Lemmerz	['1959', '2025']
Max Liebermann	/wiki/Max_Liebermann	['1900', '1950']
Markus Lüpertz	/wiki/Markus_L%C3%BCpertz	['1941', '2025']
August Macke	/wiki/August_Macke	['1887', '1914']
Harro Magnussen	/wiki/Harro_Magnussen	['1861', '1908']
Franz Marc	/wiki/Franz_Marc	['1880', '1916']
Hans Memling	/wiki/Hans_Memling	['1430', '1494']
Ludwig Mies van der Rohe	/wiki/Ludwig_Mies_van_der_Rohe	['1886', '1969']
Paula Modersohn-Becker	/wiki/Paula_Modersohn-Becker	['1876', '1907']
Georg Muche	/wiki/Georg_Muche	['1895', '1987']
Helmut Newton	/wiki/Helmut_Newton	['1920', '2004']
Frei Otto	/wiki/Frei_Otto	['1925', '2025']
Max Pechstein	/wiki/Max_Pechstein	['1881', '1955']
Sigmar Polke	/wiki/Sigmar_Polke	['1941', '2010']
Gerhard Richter	/wiki/Gerhard_Richter	['1932', '2025']
Julius Runge	/wiki/Julius_Runge	['1843', '1922']
Karl Friedrich Schinkel	/wiki/Karl_Friedrich_Schinkel	['1900', '1950']
Oskar Schlemmer	/wiki/Oskar_Schlemmer	['1888', '1943']
Eberhard Schlotter	/wiki/Eberhard_Schlotter	['1921', '2025']
Karl Schmidt-Rottluff	/wiki/Karl_Schmidt-Rottluff	['1884', '1976']
