text	link	year
William Emmanuel Abraham	/wiki/William_Emmanuel_Abraham	['1900', '1950']
Kwasi Kwarfo Adarkwa	/wiki/Kwasi_Kwarfo_Adarkwa	['1900', '1950']
James Emman Kwegyir Aggrey	/wiki/James_Emman_Kwegyir_Aggrey	['1900', '1950']
Francis Allotey	/wiki/Francis_Allotey	['1900', '1950']
Fred McBagonluri	/wiki/Fred_McBagonluri	['1900', '1950']
Joseph Amenowode	/wiki/Joseph_Amenowode	['1900', '1950']
Kwame Anthony Appiah	/wiki/Kwame_Anthony_Appiah	['1900', '1950']
George Ayittey	/wiki/George_Ayittey	['1900', '1950']
Robert Patrick Baffour	/wiki/Robert_Patrick_Baffour	['1900', '1950']
Nicholas T. Clerk	/wiki/Nicholas_T._Clerk	['1900', '1950']
George C. Clerk	/wiki/George_C._Clerk	['1900', '1950']
Philip Gbeho	/wiki/Philip_Gbeho	['1900', '1950']
Paa Grant	/wiki/Paa_Grant	['1900', '1950']
Joseph Henry Mensah	/wiki/Joseph_Henry_Mensah	['1900', '1950']
J. H. Kwabena Nketia	/wiki/J._H._Kwabena_Nketia	['1900', '1950']
Lawrence Henry Yaw Ofosu-Appiah	/wiki/Lawrence_Henry_Yaw_Ofosu-Appiah	['1900', '1950']
Jane Naana Opoku-Agyemang	/wiki/Jane_Naana_Opoku-Agyemang	['1900', '1950']
Kwesi Akwansah Andam	/wiki/Kwesi_Akwansah_Andam	['1900', '1950']
Aba Andam	/wiki/Aba_Andam	['1900', '1950']
Daniel Asua Wubah	/wiki/Daniel_Asua_Wubah	['1900', '1950']
Rita Akosua Dickson	/wiki/Rita_Akosua_Dickson	['1900', '1950']
Wiz Kudowor	/wiki/Wiz_Kudowor	['1900', '1950']
Kwame Akoto-Bamfo	/wiki/Kwame_Akoto-Bamfo	['1900', '1950']
Eric Adjetey Anang	/wiki/Eric_Adjetey_Anang	['1900', '1950']
Ben Agbee	/wiki/Ben_Agbee	['1900', '1950']
El Anatsui	/wiki/El_Anatsui	['1900', '1950']
Nana Oforiatta Ayim	/wiki/Nana_Oforiatta_Ayim	['1900', '1950']
James Cudjoe	/wiki/James_Cudjoe	['1900', '1950']
Godfried Donkor	/wiki/Godfried_Donkor	['1900', '1950']
Kimathi Donkor	/wiki/Kimathi_Donkor	['1900', '1950']
Ablade Glover	/wiki/Ablade_Glover	['1900', '1950']
Theodosia Okoh	/wiki/Theodosia_Okoh	['1900', '1950']
Owusu-Ankomah	/wiki/Owusu-Ankomah	['1900', '1950']
