text	link	year
Daniella Tilbury	/wiki/Daniella_Tilbury	['1900', '1950']
Alfred Hermida	/wiki/Alfred_Hermida	['1900', '1950']
Ricardo Montez	/wiki/Ricardo_Montez	['1924', '2010']
Karel Mark Chichon	/wiki/Karel_Mark_Chichon	['1900', '1950']
Stuart Cavilla	/wiki/Stuart_Cavilla	['1900', '1950']
Peter Chichone	/wiki/Peter_Chichone	['1900', '1950']
Surianne	/wiki/Surianne	['1900', '1950']
Danny Felice	/wiki/Danny_Felice	['1900', '1950']
Albert Hammond	/wiki/Albert_Hammond	['1900', '1950']
Pedro Caparros Lopez	/wiki/Pedro_Caparros_Lopez	['1900', '1950']
Paul Isola	/wiki/Paul_Isola	['1900', '1950']
Charles Ramirez	/wiki/Charles_Ramirez	['1900', '1950']
Taxi	/wiki/Taxi_(Gibraltar_band)	['1900', '1950']
Gustavo Bacarisas	/wiki/Gustavo_Bacarisas	['1873', '1971']
Willa Vasquez Serfaty	/wiki/Willa_Vasquez_Serfaty	['1900', '1950']
Christian Hook	/wiki/Christian_Hook	['1900', '1950']
Henry Francis Cary	/wiki/Henry_Francis_Cary	['1772', '1844']
Mary Chiappe	/wiki/Mary_Chiappe	['1900', '1950']
M. G. Sanchez	/wiki/M._G._Sanchez	['1900', '1950']
Tommy Finlayson	/wiki/Tommy_Finlayson	['1900', '1950']
John Galliano	/wiki/John_Galliano	['1900', '1950']
Sam Benady	/wiki/Sam_Benady	['1900', '1950']
Tito Benady	/wiki/Tito_Benady	['1900', '1950']
Dorothy Ellicott	/wiki/Dorothy_Ellicott	['1900', '1950']
Tommy Finlayson	/wiki/Tommy_Finlayson	['1900', '1950']
George Palao	/wiki/George_Palao	['1900', '1950']
Tito Vallejo	/wiki/Tito_Vallejo	['1900', '1950']
Thomas William Bowlby	/wiki/Thomas_William_Bowlby	['1818', '1860']
Davina Camilleri	/wiki/Davina_Camilleri	['1900', '1950']
