text	link	year
Metrobius	/wiki/Metrobius	['1900', '1950']
Thespis	/wiki/Thespis	['1900', '1950']
Alekos Alexandrakis	/wiki/Alekos_Alexandrakis	['1900', '1950']
Cybele	/wiki/Cybele_(actress)	['1900', '1950']
Georges Corraface	/wiki/Georges_Corraface	['1900', '1950']
Jacques Damala	/wiki/Jacques_Damala	['1900', '1950']
Rika Diallina	/wiki/Rika_Diallina	['1900', '1950']
Lavrentis Dianellos	/wiki/Lavrentis_Dianellos	['1900', '1950']
Mimis Fotopoulos	/wiki/Mimis_Fotopoulos	['1900', '1950']
Dimitris Horn	/wiki/Dimitris_Horn	['1900', '1950']
Tzeni Karezi	/wiki/Tzeni_Karezi	['1900', '1950']
Kostas Karras	/wiki/Kostas_Karras	['1900', '1950']
Vasilis Karras	/wiki/Vasilis_Karras	['1900', '1950']
Giorgos Konstadinou	/wiki/Giorgos_Konstadinou	['1900', '1950']
Lambros Konstantaras	/wiki/Lambros_Konstantaras	['1900', '1950']
Nikos Kourkoulos	/wiki/Nikos_Kourkoulos	['1900', '1950']
Ellie Lambeti	/wiki/Ellie_Lambeti	['1900', '1950']
Marilita Lambropoulou	/wiki/Marilita_Lambropoulou	['1900', '1950']
Zoe Laskari	/wiki/Zoe_Laskari	['1900', '1950']
Lakis Lazopoulos	/wiki/Lakis_Lazopoulos	['1900', '1950']
Thanos Leivaditis	/wiki/Thanos_Leivaditis	['1900', '1950']
Stelios Mainas	/wiki/Stelios_Mainas	['1900', '1950']
Melina Mercouri	/wiki/Melina_Mercouri	['1900', '1950']
Panos Mihalopoulos	/wiki/Panos_Mihalopoulos	['1900', '1950']
Alexis Minotis	/wiki/Alexis_Minotis	['1900', '1950']
Sotiris Moustakas	/wiki/Sotiris_Moustakas	['1900', '1950']
Sapfo Notara	/wiki/Sapfo_Notara	['1900', '1950']
Anna Rezan	/wiki/Anna_Rezan	['1900', '1950']
Anna-Maria Papaharalambous	/wiki/Anna-Maria_Papaharalambous	['1900', '1950']
Dimitris Papamichael	/wiki/Dimitris_Papamichael	['1900', '1950']
Tatiana Papamoschou	/wiki/Tatiana_Papamoschou	['1900', '1950']
Irene Papas	/wiki/Irene_Papas	['1900', '1950']
Katina Paxinou	/wiki/Katina_Paxinou	['1900', '1950']
Dimitris Poulikakos	/wiki/Dimitris_Poulikakos	['1900', '1950']
Angelique Rockas	/wiki/Angelique_Rockas	['1900', '1950']
Sakis Rouvas	/wiki/Sakis_Rouvas	['1900', '1950']
Nikos Sergianopoulos	/wiki/Nikos_Sergianopoulos	['1900', '1950']
Kostas Sommer	/wiki/Kostas_Sommer	['1900', '1950']
John Stamos	/wiki/John_Stamos	['1900', '1950']
Kostas Triantafyllopoulos	/wiki/Kostas_Triantafyllopoulos	['1900', '1950']
Corinna Tsopei	/wiki/Corinna_Tsopei	['1900', '1950']
Stratos Tzortzoglou	/wiki/Stratos_Tzortzoglou	['1900', '1950']
Thanassis Veggos	/wiki/Thanassis_Veggos	['1900', '1950']
Rena Vlahopoulou	/wiki/Rena_Vlahopoulou	['1900', '1950']
Aliki Vougiouklaki	/wiki/Aliki_Vougiouklaki	['1900', '1950']
Andréas Voutsinas	/wiki/Andr%C3%A9as_Voutsinas	['1900', '1950']
Nikos Xanthopoulos	/wiki/Nikos_Xanthopoulos	['1900', '1950']
Voula Zouboulaki	/wiki/Voula_Zouboulaki	['1900', '1950']
Constantine Phaulkon	/wiki/Constantine_Phaulkon	['1648', '1688']
Pheidippides	/wiki/Pheidippides	['1900', '1950']
Cynisca	/wiki/Cynisca	['1900', '1950']
Dioxippus	/wiki/Dioxippus	['1900', '1950']
Hydna	/wiki/Hydna	['1900', '1950']
Kleitomachos	/wiki/Kleitomachos_(athlete)	['1900', '1950']
Harry Agganis	/wiki/Harry_Agganis	['1900', '1950']
Aristidis Akratopoulos	/wiki/Aristidis_Akratopoulos	['1900', '1950']
Konstantinos Akratopoulos	/wiki/Konstantinos_Akratopoulos	['1900', '1950']
Nikos Alefantos	/wiki/Nikos_Alefantos	['1900', '1950']
Anna Korakaki	/wiki/Anna_Korakaki	['1900', '1950']
Alexandros Alexiades	/wiki/Alexandros_Alexiades	['1900', '1950']
Minas Alozidis	/wiki/Minas_Alozidis	['1900', '1950']
Fragiskos Alvertis	/wiki/Fragiskos_Alvertis	['1900', '1950']
Ioannis Amanatidis	/wiki/Ioannis_Amanatidis	['1900', '1950']
Yannis Anastasiou	/wiki/Yannis_Anastasiou	['1900', '1950']
Andreas Anastasopoulos	/wiki/Andreas_Anastasopoulos	['1900', '1950']
Nikos Anastopoulos	/wiki/Nikos_Anastopoulos	['1900', '1950']
Georgios Anatolakis	/wiki/Georgios_Anatolakis	['1900', '1950']
Anastasios Andreou	/wiki/Anastasios_Andreou	['1900', '1950']
Joannis Andreou	/wiki/Joannis_Andreou	['1900', '1950']
Nikolaos Andriakopoulos	/wiki/Nikolaos_Andriakopoulos	['1900', '1950']
Eleni Andriola	/wiki/Eleni_Andriola	['1900', '1950']
Georgios Anninos	/wiki/Georgios_Anninos	['1900', '1950']
Antelothanasis	/wiki/Antelothanasis	['1900', '1950']
Georgios Aspiotis	/wiki/Georgios_Aspiotis	['1900', '1950']
Sotirios Athanasopoulos	/wiki/Sotirios_Athanasopoulos	['1900', '1950']
Theodoros Baev	/wiki/Theodoros_Baev	['1900', '1950']
Marcos Baghdatis	/wiki/Marcos_Baghdatis	['1900', '1950']
Níki Bakogiánni	/wiki/N%C3%ADki_Bakogi%C3%A1nni	['1900', '1950']
Georgios Balakakis	/wiki/Georgios_Balakakis	['1900', '1950']
Hristos Banikas	/wiki/Hristos_Banikas	['1900', '1950']
Kostas Bantas	/wiki/Kostas_Bantas	['1900', '1950']
Nikos Barlos	/wiki/Nikos_Barlos	['1900', '1950']
Angelos Basinas	/wiki/Angelos_Basinas	['1900', '1950']
Spiridon Belokas	/wiki/Spiridon_Belokas	['1900', '1950']
Thomas Bimis	/wiki/Thomas_Bimis	['1900', '1950']
Christos Bourbos	/wiki/Christos_Bourbos	['1900', '1950']
Yiannis Bourousis	/wiki/Yiannis_Bourousis	['1900', '1950']
Nikos Boutzikos	/wiki/Nikos_Boutzikos	['1900', '1950']
Demetri Catrakilis	/wiki/Demetri_Catrakilis	['1900', '1950']
Konstantinos Chalkias	/wiki/Konstantinos_Chalkias	['1900', '1950']
Angelos Charisteas	/wiki/Angelos_Charisteas	['1900', '1950']
Spiridon Chasapis	/wiki/Spiridon_Chasapis	['1900', '1950']
Dionisis Chiotis	/wiki/Dionisis_Chiotis	['1900', '1950']
Efstathios Chorafas	/wiki/Efstathios_Chorafas	['1900', '1950']
Lampros Choutos	/wiki/Lampros_Choutos	['1900', '1950']
Fanis Christodoulou	/wiki/Fanis_Christodoulou	['1900', '1950']
Anton Christoforidis	/wiki/Anton_Christoforidis	['1900', '1950']
Stephanos Christopoulos	/wiki/Stephanos_Christopoulos	['1900', '1950']
Ioannis Chrysafis	/wiki/Ioannis_Chrysafis	['1900', '1950']
Nikos Dabizas	/wiki/Nikos_Dabizas	['1900', '1950']
Evangelos Damaskos	/wiki/Evangelos_Damaskos	['1900', '1950']
Eleni Daniilidou	/wiki/Eleni_Daniilidou	['1900', '1950']
Filipos Darlas	/wiki/Filipos_Darlas	['1900', '1950']
Dimitrios Deligiannis	/wiki/Dimitrios_Deligiannis	['1900', '1950']
Traianos Dellas	/wiki/Traianos_Dellas	['1900', '1950']
Hrysopiyí Devetzí	/wiki/Hrysopiy%C3%AD_Devetz%C3%AD	['1900', '1950']
Themistoklis Diakidis	/wiki/Themistoklis_Diakidis	['1900', '1950']
Dimitris Diamantidis	/wiki/Dimitris_Diamantidis	['1900', '1950']
Georgios Diamantis	/wiki/Georgios_Diamantis	['1900', '1950']
Dimosthenis Dikoudis	/wiki/Dimosthenis_Dikoudis	['1900', '1950']
Pyrros Dimas	/wiki/Pyrros_Dimas	['1900', '1950']
Stefanos Dimitrios	/wiki/Stefanos_Dimitrios	['1900', '1950']
Zoi Dimoschaki	/wiki/Zoi_Dimoschaki	['1900', '1950']
Mimis Domazos	/wiki/Mimis_Domazos	['1900', '1950']
Giorgos Donis	/wiki/Giorgos_Donis	['1900', '1950']
Dimitrios Drivas	/wiki/Dimitrios_Drivas	['1900', '1950']
Kostas Eleftherakis	/wiki/Kostas_Eleftherakis	['1900', '1950']
Dimitrios Eleftheropoulos	/wiki/Dimitrios_Eleftheropoulos	['1900', '1950']
Giannoulis Fakinos	/wiki/Giannoulis_Fakinos	['1900', '1950']
Panagiotis Fasoulas	/wiki/Panagiotis_Fasoulas	['1900', '1950']
Alexios Fetsios	/wiki/Alexios_Fetsios	['1900', '1950']
Angelos Fetsis	/wiki/Angelos_Fetsis	['1900', '1950']
Giorgos Foiros	/wiki/Giorgos_Foiros	['1900', '1950']
Antonis Fotsis	/wiki/Antonis_Fotsis	['1900', '1950']
D. Frangopoulos	/wiki/D._Frangopoulos	['1900', '1950']
Takis Fyssas	/wiki/Takis_Fyssas	['1900', '1950']
Nick Galis	/wiki/Nick_Galis	['1900', '1950']
Konstadinos Gatsioudis	/wiki/Konstadinos_Gatsioudis	['1900', '1950']
Theofanis Gekas	/wiki/Theofanis_Gekas	['1900', '1950']
Georgios Gennimatas	/wiki/Georgios_Gennimatas	['1900', '1950']
Nikolaos Georgantas	/wiki/Nikolaos_Georgantas	['1900', '1950']
Grigorios Georgatos	/wiki/Grigorios_Georgatos	['1900', '1950']
Giorgios Georgiadis	/wiki/Giorgios_Georgiadis	['1900', '1950']
Ioannis Georgiadis	/wiki/Ioannis_Georgiadis	['1900', '1950']
Evangelos Gerakeris	/wiki/Evangelos_Gerakeris	['1900', '1950']
Panagiotis Giannakis	/wiki/Panagiotis_Giannakis	['1900', '1950']
Stelios Giannakopoulos	/wiki/Stelios_Giannakopoulos	['1900', '1950']
Kleopas Giannou	/wiki/Kleopas_Giannou	['1900', '1950']
Herodotos Giorgallas	/wiki/Herodotos_Giorgallas	['1900', '1950']
Andreas Glyniadakis	/wiki/Andreas_Glyniadakis	['1900', '1950']
Spyros Gogolos	/wiki/Spyros_Gogolos	['1900', '1950']
Dimitrios Golemis	/wiki/Dimitrios_Golemis	['1900', '1950']
Georgios Gougoulias	/wiki/Georgios_Gougoulias	['1900', '1950']
Yannis Goumas	/wiki/Yannis_Goumas	['1900', '1950']
Anastasios Gousis	/wiki/Anastasios_Gousis	['1900', '1950']
Miltiadis Gouskos	/wiki/Miltiadis_Gouskos	['1900', '1950']
Georgios Grigoriou	/wiki/Georgios_Grigoriou	['1900', '1950']
Efstratios Grivas	/wiki/Efstratios_Grivas	['1900', '1950']
Faní Halkiá	/wiki/Fan%C3%AD_Halki%C3%A1	['1900', '1950']
Vassilis Hatzipanagis	/wiki/Vassilis_Hatzipanagis	['1900', '1950']
José Holebas	/wiki/Jos%C3%A9_Holebas	['1900', '1950']
Periklis Iakovakis	/wiki/Periklis_Iakovakis	['1900', '1950']
Georgios Iatridis	/wiki/Georgios_Iatridis	['1900', '1950']
Miltiades Iatrou	/wiki/Miltiades_Iatrou	['1900', '1950']
Takis Ikonomopoulos	/wiki/Takis_Ikonomopoulos	['1900', '1950']
Giannis Ioannidis	/wiki/Giannis_Ioannidis	['1900', '1950']
Leonidas Kabantais	/wiki/Leonidas_Kabantais	['1900', '1950']
Pantelis Kafes	/wiki/Pantelis_Kafes	['1900', '1950']
Ilias Kafetzis	/wiki/Ilias_Kafetzis	['1900', '1950']
Kakhi Kakhiashvili	/wiki/Kakhi_Kakhiashvili	['1900', '1950']
Michalis Kakiouzis	/wiki/Michalis_Kakiouzis	['1900', '1950']
Nikos Kaklamanakis	/wiki/Nikos_Kaklamanakis	['1900', '1950']
Ioannis Kalitzakis	/wiki/Ioannis_Kalitzakis	['1900', '1950']
Georgios Kalogiannidis	/wiki/Georgios_Kalogiannidis	['1900', '1950']
George Kalovelonis	/wiki/George_Kalovelonis	['1900', '1950']
Marios Kaperonis	/wiki/Marios_Kaperonis	['1900', '1950']
Michalis Kapsis	/wiki/Michalis_Kapsis	['1900', '1950']
Alexandros Karageorgiou	/wiki/Alexandros_Karageorgiou	['1900', '1950']
G. Karagiannopoulos	/wiki/G._Karagiannopoulos	['1900', '1950']
Giorgos Karagounis	/wiki/Giorgos_Karagounis	['1900', '1950']
Telemachos Karakalos	/wiki/Telemachos_Karakalos	['1900', '1950']
Karakatsanis	/wiki/Karakatsanis	['1900', '1950']
Konstantinos Karakatsanis	/wiki/Konstantinos_Karakatsanis	['1900', '1950']
Pantelis Karasevdas	/wiki/Pantelis_Karasevdas	['1900', '1950']
Hristos Karipidis	/wiki/Hristos_Karipidis	['1900', '1950']
Filippos Karvelas	/wiki/Filippos_Karvelas	['1900', '1950']
Michalis Kasapis	/wiki/Michalis_Kasapis	['1900', '1950']
Dionysios Kasdaglis	/wiki/Dionysios_Kasdaglis	['1900', '1950']
Fanis Katergiannakis	/wiki/Fanis_Katergiannakis	['1900', '1950']
N. Kartavas	/wiki/N._Kartavas	['1900', '1950']
Kostas Katsouranis	/wiki/Kostas_Katsouranis	['1900', '1950']
Anastasía Kelesídou	/wiki/Anastas%C3%ADa_Keles%C3%ADdou	['1900', '1950']
Konstantinos Kenteris	/wiki/Konstantinos_Kenteris	['1900', '1950']
Alexandros Khalkokondilis	/wiki/Alexandros_Khalkokondilis	['1900', '1950']
Hatzidakis	/wiki/Hatzidakis_(athlete)	['1900', '1950']
