text	link	year
Maliina Abelsen	/wiki/Maliina_Abelsen	['1900', '1950']
Naja Abelsen	/wiki/Naja_Abelsen	['1964', '2025']
Richard Absalonsen	/wiki/Richard_Absalonsen	['1900', '1950']
Arnarsaq	/wiki/Arnarsaq	['1900', '1950']
Arnarulunnguaq	/wiki/Arnarulunnguaq	['1896', '1933']
Hermann Berthelsen	/wiki/Hermann_Berthelsen	['1900', '1950']
Julie Berthelsen	/wiki/Julie_Berthelsen	['1900', '1950']
Ove Karl Berthelsen	/wiki/Ove_Karl_Berthelsen	['1900', '1950']
Jørgen Brønlund	/wiki/J%C3%B8rgen_Br%C3%B8nlund	['1900', '1950']
Palle Christiansen	/wiki/Palle_Christiansen	['1900', '1950']
Nukaaka Coster-Waldau	/wiki/Nukaaka_Coster-Waldau	['1900', '1950']
Agnethe Davidsen	/wiki/Agnethe_Davidsen	['1900', '1950']
Hans Enoksen	/wiki/Hans_Enoksen	['1900', '1950']
Agathe Fontain	/wiki/Agathe_Fontain	['1900', '1950']
Anthon Frederiksen	/wiki/Anthon_Frederiksen	['1900', '1950']
Jesper Grønkjær	/wiki/Jesper_Gr%C3%B8nkj%C3%A6r	['1900', '1950']
Ole Jørgen Hammeken	/wiki/Ole_J%C3%B8rgen_Hammeken	['1900', '1950']
Ane Hansen	/wiki/Ane_Hansen_(politician)	['1900', '1950']
Hans Hendrik	/wiki/Hans_Hendrik	['1900', '1950']
Aki-Matilda Høegh-Dam	/wiki/Aki-Matilda_H%C3%B8egh-Dam	['1996', '2025']
Doris J. Jensen	/wiki/Doris_J._Jensen	['1978', '2025']
Lars Emil Johansen	/wiki/Lars_Emil_Johansen	['1900', '1950']
Ricky Enø Jørgensen	/wiki/Ricky_En%C3%B8_J%C3%B8rgensen	['1900', '1950']
Mimi Karlsen	/wiki/Mimi_Karlsen	['1900', '1950']
Kuupik Kleist	/wiki/Kuupik_Kleist	['1900', '1950']
Nina Kreutzmann Jørgensen	/wiki/Nina_Kreutzmann_J%C3%B8rgensen	['1977', '2025']
Angunnguaq Larsen	/wiki/Angunnguaq_Larsen	['1900', '1950']
Thorkell Leifsson	/wiki/Thorkell_Leifsson	['1900', '1950']
Katrine Larsen Lenner	/wiki/Katrine_Larsen_Lenner	['1900', '1950']
Kristian Lennert	/wiki/Kristian_Lennert	['1900', '1950']
Rasmus Lerdorf	/wiki/Rasmus_Lerdorf	['1900', '1950']
Henning Jakob Henrik Lund	/wiki/Henning_Jakob_Henrik_Lund	['1900', '1950']
Angaangaq Lyberth	/wiki/Angaangaq_Lyberth	['1900', '1950']
Aqqaluk Lynge	/wiki/Aqqaluk_Lynge	['1900', '1950']
