text	link	year
Arnarsaq	/wiki/Arnarsaq	['1900', '1950']
Arnarulunnguaq	/wiki/Arnarulunnguaq	['1896', '1933']
Hans Hendrik	/wiki/Hans_Hendrik	['1900', '1950']
Kuupik Kleist	/wiki/Kuupik_Kleist	['1900', '1950']
Henning Jakob Henrik Lund	/wiki/Henning_Jakob_Henrik_Lund	['1900', '1950']
Angaangaq Lyberth	/wiki/Angaangaq_Lyberth	['1900', '1950']
Lena Pedersen	/wiki/Lena_Pedersen	['1900', '1950']
Bishop Sofie Petersen	/wiki/Bishop_Sofie_Petersen	['1900', '1950']
Minik Wallace	/wiki/Minik_Wallace	['1900', '1950']
Karla Jessen Williamson	/wiki/Karla_Jessen_Williamson	['1900', '1950']
Template:Greenland topics	/wiki/Template:Greenland_topics	['1900', '1950']
Template talk:Greenland topics	/wiki/Template_talk:Greenland_topics	['1900', '1950']
Paleo-Eskimo	/wiki/Paleo-Eskimo	['1900', '1950']
Dorset culture	/wiki/Dorset_culture	['1900', '1950']
Thule people	/wiki/Thule_people	['1900', '1950']
Eastern Settlement	/wiki/Eastern_Settlement	['1900', '1950']
Western Settlement	/wiki/Western_Settlement	['1900', '1950']
Greenlandic Norse	/wiki/Greenlandic_Norse	['1900', '1950']
Skræling	/wiki/Skr%C3%A6ling	['1900', '1950']
Hans Egede	/wiki/Hans_Egede	['1900', '1950']
Erik the Red's Land	/wiki/Erik_the_Red%27s_Land	['1900', '1950']
1968 Thule Air Base B-52 crash	/wiki/1968_Thule_Air_Base_B-52_crash	['1900', '1950']
Greenlandic home rule referendum, 1979	/wiki/Greenlandic_home_rule_referendum,_1979	['1900', '1950']
Greenlandic self-government referendum, 2008	/wiki/Greenlandic_self-government_referendum,_2008	['1900', '1950']
Cartographic expeditions to Greenland	/wiki/Cartographic_expeditions_to_Greenland	['1900', '1950']
Greenland ice sheet	/wiki/Greenland_ice_sheet	['1900', '1950']
Northeast Greenland National Park	/wiki/Northeast_Greenland_National_Park	['1900', '1950']
Greenlandic independence	/wiki/Greenlandic_independence	['1900', '1950']
Danish krone	/wiki/Danish_krone	['1900', '1950']
Danmarks Nationalbank	/wiki/Danmarks_Nationalbank	['1900', '1950']
Inughuit	/wiki/Inughuit	['1900', '1950']
Kalaallit	/wiki/Kalaallit	['1900', '1950']
Tunumiit	/wiki/Tunumiit	['1900', '1950']
Danish language	/wiki/Danish_language	['1900', '1950']
Cuisine	/wiki/Cuisine	['1900', '1950']
Greenlandic language	/wiki/Greenlandic_language	['1900', '1950']
Nunarput utoqqarsuanngoravit	/wiki/Nunarput_utoqqarsuanngoravit	['1900', '1950']
Kong Christian stod ved højen mast	/wiki/Kong_Christian_stod_ved_h%C3%B8jen_mast	['1900', '1950']
Thule people	/wiki/Thule_people	['1900', '1950']
Quviasukvik	/wiki/Quviasukvik	['1900', '1950']
Nunavut	/wiki/Nunavut	['1900', '1950']
Inuvialuit Settlement Region	/wiki/Inuvialuit_Settlement_Region	['1900', '1950']
Nunavik	/wiki/Nunavik	['1900', '1950']
Nunatsiavut	/wiki/Nunatsiavut	['1900', '1950']
NunatuKavut	/wiki/NunatuKavut	['1900', '1950']
Iñupiat	/wiki/I%C3%B1upiat	['1900', '1950']
Yup'ik	/wiki/Yup%27ik	['1900', '1950']
Alutiiq	/wiki/Alutiiq	['1900', '1950']
Alaska Native corporation	/wiki/Alaska_Native_corporation	['1900', '1950']
Arctic Slope Regional Corporation	/wiki/Arctic_Slope_Regional_Corporation	['1900', '1950']
Calista Corporation	/wiki/Calista_Corporation	['1900', '1950']
Bering Straits Native Corporation	/wiki/Bering_Straits_Native_Corporation	['1900', '1950']
Cook Inlet Region, Inc.	/wiki/Cook_Inlet_Region,_Inc.	['1900', '1950']
NANA Regional Corporation	/wiki/NANA_Regional_Corporation	['1900', '1950']
Makivik Corporation	/wiki/Makivik_Corporation	['1900', '1950']
Nunatsiavut	/wiki/Nunatsiavut	['1900', '1950']
Nunavut Tunngavik Incorporated	/wiki/Nunavut_Tunngavik_Incorporated	['1900', '1950']
Greenland	/wiki/Greenland	['1900', '1950']
Pituffik	/wiki/Pituffik#Pituffik_today	['1900', '1950']
Harpoon	/wiki/Harpoon	['1900', '1950']
Toggling harpoon	/wiki/Toggling_harpoon	['1900', '1950']
Snow knife	/wiki/Snow_knife	['1900', '1950']
Knife	/wiki/Knife	['1900', '1950']
Ulu	/wiki/Ulu	['1900', '1950']
Kudlik	/wiki/Kudlik	['1900', '1950']
Snow goggles	/wiki/Snow_goggles	['1900', '1950']
Inuksuk	/wiki/Inuksuk	['1900', '1950']
Qamutiik	/wiki/Qamutiik	['1900', '1950']
Kayak	/wiki/Kayak	['1900', '1950']
Umiak	/wiki/Umiak	['1900', '1950']
