text	link	year
Wikipedia:WikiProject Lists	/wiki/Wikipedia:WikiProject_Lists#Incomplete_lists	['1900', '1950']
Rodolfo Abularach	/wiki/Rodolfo_Abularach	['1900', '1950']
José Luis Álvarez	/wiki/Jos%C3%A9_Luis_%C3%81lvarez_(artist)	['1917', '2012']
Sergio Andrade	/wiki/Sergio_Andrade	['1900', '1950']
Luis Argueta	/wiki/Luis_Argueta	['1900', '1950']
Arabella Arbenz	/wiki/Arabella_Arbenz	['1900', '1950']
Jacobo Arbenz	/wiki/Jacobo_Arbenz	['1913', '1971']
Manuel José Leonardo Arce Leal	/wiki/Manuel_Jos%C3%A9_Leonardo_Arce_Leal	['1935', '1985']
Emilio Arenales Catalán	/wiki/Emilio_Arenales_Catal%C3%A1n	['1922', '1969']
Juan José Arévalo	/wiki/Juan_Jos%C3%A9_Ar%C3%A9valo	['1900', '1950']
Ricardo Arjona	/wiki/Ricardo_Arjona	['1900', '1950']
Miguel Ángel Asturias	/wiki/Miguel_%C3%81ngel_Asturias	['1900', '1950']
Rodrigo Asturias	/wiki/Rodrigo_Asturias	['1900', '1950']
Allan Ayala Acevedo	/wiki/Allan_Ayala_Acevedo	['1900', '1950']
Juan José de Aycinena y Piñol	/wiki/Juan_Jos%C3%A9_de_Aycinena_y_Pi%C3%B1ol	['1900', '1950']
Justo Rufino Barrios	/wiki/Justo_Rufino_Barrios	['1900', '1950']
Erick Barrondo	/wiki/Erick_Barrondo	['1900', '1950']
José Batres Montúfar	/wiki/Jos%C3%A9_Batres_Mont%C3%BAfar	['1900', '1950']
Eddie Berganza	/wiki/Eddie_Berganza	['1900', '1950']
Ricardo Bressani	/wiki/Ricardo_Bressani	['1900', '1950']
Felipe A. Bosch Gutierrez	/wiki/Felipe_A._Bosch_Gutierrez	['1900', '1950']
Juan Luis Bosch Gutierrez	/wiki/Juan_Luis_Bosch_Gutierrez	['1900', '1950']
Luis Cardoza y Aragón	/wiki/Luis_Cardoza_y_Arag%C3%B3n	['1900', '1950']
Carnage	/wiki/Carnage_(DJ)	['1900', '1950']
Rafael Carrera	/wiki/Rafael_Carrera	['1900', '1950']
Carlos Castillo Armas	/wiki/Carlos_Castillo_Armas	['1900', '1950']
Rafael Castillo Valdez	/wiki/Rafael_Castillo_Valdez	['1900', '1950']
Otto Rene Castillo	/wiki/Otto_Rene_Castillo	['1900', '1950']
Lázaro Chacón González	/wiki/L%C3%A1zaro_Chac%C3%B3n_Gonz%C3%A1lez	['1900', '1950']
María Chinchilla Recinos	/wiki/Mar%C3%ADa_Chinchilla_Recinos	['1909', '1944']
Kevin Cordón	/wiki/Kevin_Cord%C3%B3n	['1900', '1950']
Paula Nicho Cumez	/wiki/Paula_Nicho_Cumez	['1900', '1950']
Cynthia del Águila	/wiki/Cynthia_del_%C3%81guila	['1959', '2025']
Manuel Estrada Cabrera	/wiki/Manuel_Estrada_Cabrera	['1900', '1950']
Rafael Espada	/wiki/Rafael_Espada	['1900', '1950']
Irma Flaquer	/wiki/Irma_Flaquer	['1900', '1950']
Mateo Flores	/wiki/Mateo_Flores	['1900', '1950']
Alejandra Flores	/wiki/Alejandra_Flores	['1900', '1950']
Franz Galich	/wiki/Franz_Galich	['1951', '2007']
Rodolfo Galeotti Torres	/wiki/Rodolfo_Galeotti_Torres	['1900', '1950']
María García Granados y Saborío	/wiki/Mar%C3%ADa_Garc%C3%ADa_Granados_y_Sabor%C3%ADo	['1860', '1878']
María Josefa García Granados	/wiki/Mar%C3%ADa_Josefa_Garc%C3%ADa_Granados	['1796', '1848']
Jorge Mario García Laguardia	/wiki/Jorge_Mario_Garc%C3%ADa_Laguardia	['1900', '1950']
Juan José Gerardi Conedera	/wiki/Juan_Jos%C3%A9_Gerardi_Conedera	['1900', '1950']
Francisco Goldman	/wiki/Francisco_Goldman	['1900', '1950']
Enrique Gomez Carrillo	/wiki/Enrique_Gomez_Carrillo	['1873', '1927']
Luis González Palma	/wiki/Luis_Gonz%C3%A1lez_Palma	['1900', '1950']
Juan Jose Gutierrez	/wiki/Juan_Jose_Gutierrez	['1900', '1950']
Dionisio Gutierrez Mayorga	/wiki/Dionisio_Gutierrez_Mayorga	['1900', '1950']
Ted Hendricks	/wiki/Ted_Hendricks	['1900', '1950']
Oscar Isaac	/wiki/Oscar_Isaac	['1900', '1950']
Alfred Julio Jensen	/wiki/Alfred_Julio_Jensen	['1900', '1950']
Frank William La Rue	/wiki/Frank_William_La_Rue	['1900', '1950']
Dieter Lehnhoff	/wiki/Dieter_Lehnhoff	['1900', '1950']
Ed Lopez	/wiki/Ed_Lopez	['1900', '1950']
Alcina Lubitch Domecq	/wiki/Alcina_Lubitch_Domecq	['1900', '1950']
Fernando Romeo Lucas García	/wiki/Fernando_Romeo_Lucas_Garc%C3%ADa	['1900', '1950']
Myrna Mack	/wiki/Myrna_Mack	['1900', '1950']
Manny Marroquin	/wiki/Manny_Marroquin	['1900', '1950']
Benito Martinez	/wiki/Benito_Martinez_(actor)	['1900', '1950']
Rigoberta Menchú Tum	/wiki/Rigoberta_Mench%C3%BA_Tum	['1900', '1950']
Carlos Mérida	/wiki/Carlos_M%C3%A9rida	['1900', '1950']
Francisco Mendez	/wiki/Francisco_Mendez	['1907', '1962']
Jose Milla y Vidaurre	/wiki/Jose_Milla_y_Vidaurre	['1822', '1882']
Mario Monteforte Toledo	/wiki/Mario_Monteforte_Toledo	['1900', '1950']
Augusto Monterroso	/wiki/Augusto_Monterroso	['1900', '1950']
Lorenzo Montúfar y Rivera	/wiki/Lorenzo_Mont%C3%BAfar_y_Rivera	['1823', '1898']
Jimmy Morales	/wiki/Jimmy_Morales	['1900', '1950']
Gaby Moreno	/wiki/Gaby_Moreno	['1900', '1950']
Edmond Mulet	/wiki/Edmond_Mulet	['1900', '1950']
Óscar Murúa	/wiki/%C3%93scar_Mur%C3%BAa	['1900', '1950']
Myztiko	/wiki/Myztiko	['1900', '1950']
Gustavo Adolfo Palma	/wiki/Gustavo_Adolfo_Palma	['1920', '2010']
Marco Pappa	/wiki/Marco_Pappa	['1900', '1950']
Carlos Enrique Peña Aldana	/wiki/Carlos_Enrique_Pe%C3%B1a_Aldana	['1900', '1950']
Dwight Pezzarossi	/wiki/Dwight_Pezzarossi	['1900', '1950']
Juan Carlos Plata	/wiki/Juan_Carlos_Plata	['1900', '1950']
Fernando Quevedo	/wiki/Fernando_Quevedo	['1900', '1950']
Rodolfo Quezada Toruño	/wiki/Rodolfo_Quezada_Toru%C3%B1o	['1900', '1950']
Guillermo Ramírez	/wiki/Guillermo_Ram%C3%ADrez	['1900', '1950']
Ricardo Arnoldo Ramirez de León	/wiki/Ricardo_Arnoldo_Ramirez_de_Le%C3%B3n	['1900', '1950']
Henry Raudales	/wiki/Henry_Raudales	['1900', '1950']
Adrián Recinos	/wiki/Adri%C3%A1n_Recinos	['1900', '1950']
Efraín Recinos	/wiki/Efra%C3%ADn_Recinos	['1900', '1950']
Rodolfo Robles	/wiki/Rodolfo_Robles	['1900', '1950']
Virgilio Rodriguez Macal	/wiki/Virgilio_Rodriguez_Macal	['1900', '1950']
Efraín Ríos Montt	/wiki/Efra%C3%ADn_R%C3%ADos_Montt	['1900', '1950']
Virgilio Rodríguez Beteta	/wiki/Virgilio_Rodr%C3%ADguez_Beteta	['1885', '1967']
Carlos Ruiz	/wiki/Carlos_Ruiz_(Guatemalan_footballer)	['1900', '1950']
Héctor Sandarti	/wiki/H%C3%A9ctor_Sandarti	['1900', '1950']
Kevin Sandoval	/wiki/Kevin_Sandoval	['1900', '1950']
Rodrigo Saravia	/wiki/Rodrigo_Saravia	['1900', '1950']
Shery	/wiki/Shery	['1900', '1950']
Soluna Samay	/wiki/Soluna_Samay	['1900', '1950']
Tecún Umán	/wiki/Tec%C3%BAn_Um%C3%A1n	['1900', '1950']
Hector Tobar	/wiki/Hector_Tobar	['1900', '1950']
Luis Augusto Turcios Lima	/wiki/Luis_Augusto_Turcios_Lima	['1900', '1950']
Jorge Ubico	/wiki/Jorge_Ubico	['1900', '1950']
David Unger	/wiki/David_Unger_(author)	['1900', '1950']
Federico Urruela	/wiki/Federico_Urruela	['1900', '1950']
Anton Villatoro	/wiki/Anton_Villatoro	['1900', '1950']
Alan Villatoro	/wiki/Alan_Villatoro	['1900', '1950']
Jaime Viñals	/wiki/Jaime_Vi%C3%B1als	['1900', '1950']
Luis von Ahn	/wiki/Luis_von_Ahn	['1900', '1950']
Harris Whitbeck	/wiki/Harris_Whitbeck	['1900', '1950']
Rafael Yela Günther	/wiki/Rafael_Yela_G%C3%BCnther	['1900', '1950']
Marco Antonio Yon Sosa	/wiki/Marco_Antonio_Yon_Sosa	['1900', '1950']
José Rubén Zamora	/wiki/Jos%C3%A9_Rub%C3%A9n_Zamora	['1900', '1950']
Daphne Zuniga	/wiki/Daphne_Zuniga	['1900', '1950']
