text	link	year
Amarildo Almeida	/wiki/Amarildo_Almeida	['1900', '1950']
Fernando Arlete	/wiki/Fernando_Arlete_(sprinter)	['1900', '1950']
Fernando Arlete	/wiki/Fernando_Arlete_(distance_runner)	['1900', '1950']
Fatumata Djau Baldé	/wiki/Fatumata_Djau_Bald%C3%A9	['1900', '1950']
Rafael Paula Barbosa	/wiki/Rafael_Paula_Barbosa	['1926', '2007']
Suzi Barbosa	/wiki/Suzi_Barbosa	['1900', '1950']
Francisco Benante	/wiki/Francisco_Benante	['1900', '1950']
José Câmnate na Bissign	/wiki/Jos%C3%A9_C%C3%A2mnate_na_Bissign	['1900', '1950']
Alfredo Lopes Cabral	/wiki/Alfredo_Lopes_Cabral	['1900', '1950']
Amílcar Cabral	/wiki/Am%C3%ADlcar_Cabral	['1924', '1973']
Luís Cabral	/wiki/Lu%C3%ADs_Cabral	['1931', '2009']
Maria da Conceição Nobre Cabral	/wiki/Maria_da_Concei%C3%A7%C3%A3o_Nobre_Cabral	['1900', '1950']
Vasco Cabral	/wiki/Vasco_Cabral	['1926', '2005']
Anhel Cape	/wiki/Anhel_Cape	['1900', '1950']
Carlos Correia	/wiki/Carlos_Correia	['1900', '1950']
Manuel Saturnino da Costa	/wiki/Manuel_Saturnino_da_Costa	['1900', '1950']
Baciro Dabó	/wiki/Baciro_Dab%C3%B3	['1958', '2009']
Yaya Diallo	/wiki/Yaya_Diallo	['1900', '1950']
Baciro Djá	/wiki/Baciro_Dj%C3%A1	['1900', '1950']
Kimi Djabate	/wiki/Kimi_Djabate	['1900', '1950']
Fausto Duarte	/wiki/Fausto_Duarte	['1903', '1953']
Umaro Sissoco Embaló	/wiki/Umaro_Sissoco_Embal%C3%B3	['1900', '1950']
Francisco Fadul	/wiki/Francisco_Fadul	['1900', '1950']
António Baticã Ferreira	/wiki/Ant%C3%B3nio_Batic%C3%A3_Ferreira	['1900', '1950']
Antonieta Rosa Gomes	/wiki/Antonieta_Rosa_Gomes	['1900', '1950']
Aristides Gomes	/wiki/Aristides_Gomes	['1900', '1950']
Fernando Gomes	/wiki/Fernando_Gomes_(politician)	['1900', '1950']
Flora Gomes	/wiki/Flora_Gomes	['1900', '1950']
Carlos Gomes Júnior	/wiki/Carlos_Gomes_J%C3%BAnior	['1900', '1950']
Rogério Araújo Adolfo Herbert	/wiki/Rog%C3%A9rio_Ara%C3%BAjo_Adolfo_Herbert	['1900', '1950']
Kumba Ialá	/wiki/Kumba_Ial%C3%A1	['1953', '2014']
Faustino Imbali	/wiki/Faustino_Imbali	['1900', '1950']
Jessica Inchude	/wiki/Jessica_Inchude	['1900', '1950']
Zamora Induta	/wiki/Zamora_Induta	['1900', '1950']
Martinho Ndafa Kabi	/wiki/Martinho_Ndafa_Kabi	['1900', '1950']
Mamadu Ture Kuruma	/wiki/Mamadu_Ture_Kuruma	['1900', '1950']
Taciana Lima	/wiki/Taciana_Lima	['1900', '1950']
Carlos Lopes	/wiki/Carlos_Lopes_(Guinea_Bissau)	['1900', '1950']
Ansumane Mané	/wiki/Ansumane_Man%C3%A9	['1940', '2000']
Victor Saúde Maria	/wiki/Victor_Sa%C3%BAde_Maria	['1939', '1999']
Eneida Marta	/wiki/Eneida_Marta	['1900', '1950']
Bruno Medina	/wiki/Bruno_Medina	['1900', '1950']
Francisco Mendes	/wiki/Francisco_Mendes	['1939', '1978']
Jacira Mendonca	/wiki/Jacira_Mendonca	['1900', '1950']
António Isaac Monteiro	/wiki/Ant%C3%B3nio_Isaac_Monteiro	['1900', '1950']
Edivaldo Monteiro	/wiki/Edivaldo_Monteiro	['1900', '1950']
Maria do Céu Monteiro	/wiki/Maria_do_C%C3%A9u_Monteiro	['1900', '1950']
Adiato Djaló Nandigna	/wiki/Adiato_Djal%C3%B3_Nandigna	['1900', '1950']
Manuel Serifo Nhamadjo	/wiki/Manuel_Serifo_Nhamadjo	['1900', '1950']
Alamara Nhassé	/wiki/Alamara_Nhass%C3%A9	['1900', '1950']
Caetano N'Tchama	/wiki/Caetano_N%27Tchama	['1900', '1950']
Carmen Pereira	/wiki/Carmen_Pereira	['1937', '2016']
Domingos Simões Pereira	/wiki/Domingos_Sim%C3%B5es_Pereira	['1900', '1950']
Francisca Pereira	/wiki/Francisca_Pereira	['1900', '1950']
Raimundo Pereira	/wiki/Raimundo_Pereira	['1900', '1950']
Benjamin Pinto Bull	/wiki/Benjamin_Pinto_Bull	['1916', '2005']
