text	link	year
Ba Cissoko	/wiki/Ba_Cissoko	['1900', '1950']
Abdallah Bah	/wiki/Abdallah_Bah	['1900', '1950']
Almamy Schuman Bah	/wiki/Almamy_Schuman_Bah	['1900', '1950']
Mamadou Bah	/wiki/Mamadou_Bah	['1900', '1950']
Bobo Baldé	/wiki/Bobo_Bald%C3%A9	['1900', '1950']
Habib Baldé	/wiki/Habib_Bald%C3%A9	['1900', '1950']
Sekouba Bambino	/wiki/Sekouba_Bambino	['1900', '1950']
Ibrahima Bangoura	/wiki/Ibrahima_Bangoura	['1900', '1950']
Ismaël Bangoura	/wiki/Isma%C3%ABl_Bangoura	['1900', '1950']
Ousmane Bangoura	/wiki/Ousmane_Bangoura	['1900', '1950']
Sambégou Bangoura	/wiki/Samb%C3%A9gou_Bangoura	['1900', '1950']
Louis Lansana Beavogui	/wiki/Louis_Lansana_Beavogui	['1900', '1950']
Bembeya Jazz National	/wiki/Bembeya_Jazz_National	['1900', '1950']
Edouard Benjamin	/wiki/Edouard_Benjamin	['1900', '1950']
Aboubacar M'Baye Camara	/wiki/Aboubacar_M%27Baye_Camara	['1900', '1950']
Alhussein Camara	/wiki/Alhussein_Camara	['1900', '1950']
Alsény Camara	/wiki/Als%C3%A9ny_Camara_(footballer,_born_1986)	['1986', '2025']
Alsény Camara	/wiki/Als%C3%A9ny_Camara_(footballer,_born_1987)	['1987', '2025']
Alsény Camara	/wiki/Als%C3%A9ny_Camara_(footballer,_born_1995)	['1995', '2025']
Alsény Camara	/wiki/Als%C3%A9ny_Camara_(footballer,_born_1996)	['1996', '2025']
Arafan Camara	/wiki/Arafan_Camara	['1900', '1950']
Eugène Camara	/wiki/Eug%C3%A8ne_Camara	['1900', '1950']
Ibrahima Camara	/wiki/Ibrahima_Camara_(footballer,_born_1985)	['1900', '1950']
Kabèlè Abdoul Camara	/wiki/Kab%C3%A8l%C3%A8_Abdoul_Camara	['1900', '1950']
Kader Camara	/wiki/Kader_Camara	['1900', '1950']
Kémoko Camara	/wiki/K%C3%A9moko_Camara	['1900', '1950']
Mangué Camara	/wiki/Mangu%C3%A9_Camara	['1900', '1950']
Manimou Camara	/wiki/Manimou_Camara	['1900', '1950']
Mohammed Camara	/wiki/Mohammed_Camara	['1900', '1950']
Mohamed Camara	/wiki/Mohamed_Camara_(film_director)	['1900', '1950']
Ousmane N'Gom Camara	/wiki/Ousmane_N%27Gom_Camara	['1900', '1950']
Papa Camara	/wiki/Papa_Camara	['1900', '1950']
Sekou Benna Camara	/wiki/Sekou_Benna_Camara	['1900', '1950']
Titi Camara	/wiki/Titi_Camara	['1900', '1950']
Zeinab Camara	/wiki/Zeinab_Camara	['1900', '1950']
Mohamed Cisse	/wiki/Mohamed_Cisse	['1900', '1950']
Alpha Condé	/wiki/Alpha_Cond%C3%A9	['1900', '1950']
Mamady Condé	/wiki/Mamady_Cond%C3%A9	['1900', '1950']
Lansana Conté	/wiki/Lansana_Cont%C3%A9	['1900', '1950']
Sékou Kouréissy Condé	/wiki/S%C3%A9kou_Kour%C3%A9issy_Cond%C3%A9	['1900', '1950']
Sona Tata Condé	/wiki/Sona_Tata_Cond%C3%A9	['1900', '1950']
Daddi Cool	/wiki/Daddi_Cool	['1900', '1950']
Ibrahima Sory Conte	/wiki/Ibrahima_Sory_Conte	['1900', '1950']
Victor Correia	/wiki/Victor_Correia	['1900', '1950']
Alpha Yaya Diallo	/wiki/Alpha_Yaya_Diallo	['1900', '1950']
Amadou Bailo Diallo	/wiki/Amadou_Bailo_Diallo	['1900', '1950']
Cellou Dalein Diallo	/wiki/Cellou_Dalein_Diallo	['1900', '1950']
Ibrahima Diallo	/wiki/Ibrahima_Diallo_(footballer,_born_1985)	['1900', '1950']
Saifoulaye Diallo	/wiki/Saifoulaye_Diallo	['1900', '1950']
Kaba Diawara	/wiki/Kaba_Diawara	['1900', '1950']
Sékou Oumar Drame	/wiki/S%C3%A9kou_Oumar_Drame	['1900', '1950']
François Lonseny Fall	/wiki/Fran%C3%A7ois_Lonseny_Fall	['1900', '1950']
Pascal Feindouno	/wiki/Pascal_Feindouno	['1900', '1950']
Simon Feindouno	/wiki/Simon_Feindouno	['1900', '1950']
Ibrahima Kassory Fofana	/wiki/Ibrahima_Kassory_Fofana	['1900', '1950']
El Hadj Ismael Mohamed Gassim Gushein	/wiki/El_Hadj_Ismael_Mohamed_Gassim_Gushein	['1900', '1950']
Daouda Jabi	/wiki/Daouda_Jabi	['1900', '1950']
Samuel Johnson	/wiki/Samuel_Johnson_(footballer,_born_1984)	['1984', '2025']
Fatoumata Kaba	/wiki/Fatoumata_Kaba_(journalist)	['1900', '1950']
Mamadi Kaba	/wiki/Mamadi_Kaba	['1900', '1950']
Oumar Kalabane	/wiki/Oumar_Kalabane	['1900', '1950']
Mory Kanté	/wiki/Mory_Kant%C3%A9	['1900', '1950']
Solomana Kante	/wiki/Solomana_Kante	['1900', '1950']
Kassa	/wiki/Kassa_(mansa)	['1900', '1950']
Abdoulaye Keita	/wiki/Abdoulaye_Keita_(Guinean_footballer)	['1900', '1950']
Alhassane Keita	/wiki/Alhassane_Keita	['1900', '1950']
Mohamed Keita	/wiki/Mohamed_Keita	['1900', '1950']
Mamady Keïta	/wiki/Mamady_Ke%C3%AFta	['1900', '1950']
Naby Keïta	/wiki/Naby_Ke%C3%AFta	['1900', '1950']
Mory Kanté	/wiki/Mory_Kant%C3%A9	['1900', '1950']
Lansana Kouyaté	/wiki/Lansana_Kouyat%C3%A9	['1900', '1950']
N'Faly Kouyate	/wiki/N%27Faly_Kouyate	['1900', '1950']
Camara Laye	/wiki/Camara_Laye	['1900', '1950']
Joseph Loua	/wiki/Joseph_Loua	['1900', '1950']
Fodé Mansaré	/wiki/Fod%C3%A9_Mansar%C3%A9	['1900', '1950']
Tierno Monénembo	/wiki/Tierno_Mon%C3%A9nembo	['1900', '1950']
Djibril Tamsir Niane	/wiki/Djibril_Tamsir_Niane	['1900', '1950']
Souleymane Oularé	/wiki/Souleymane_Oular%C3%A9	['1900', '1950']
Williams Sassine	/wiki/Williams_Sassine	['1900', '1950']
Odiah Sidibé	/wiki/Odiah_Sidib%C3%A9	['1900', '1950']
Lamine Sidimé	/wiki/Lamine_Sidim%C3%A9	['1900', '1950']
Aboubacar Somparé	/wiki/Aboubacar_Sompar%C3%A9	['1900', '1950']
Chérif Souleymane	/wiki/Ch%C3%A9rif_Souleymane	['1900', '1950']
Fodé Soumah	/wiki/Fod%C3%A9_Soumah	['1900', '1950']
Issiaga Soumah	/wiki/Issiaga_Soumah	['1900', '1950']
Abdoulaye Soumah	/wiki/Abdoulaye_Soumah	['1900', '1950']
Morlaye Soumah	/wiki/Morlaye_Soumah	['1900', '1950']
Abdoul Salam Sow	/wiki/Abdoul_Salam_Sow	['1900', '1950']
Suleyman	/wiki/Suleyman_(mansa)	['1900', '1950']
Moussa Sy	/wiki/Moussa_Sy	['1900', '1950']
Abdoul Karim Sylla	/wiki/Abdoul_Karim_Sylla_(footballer,_born_1981)	['1981', '2025']
Abdoul Karim Sylla	/wiki/Abdoul_Karim_Sylla_(footballer,_born_1992)	['1992', '2025']
Abdoulaye Kapi Sylla	/wiki/Abdoulaye_Kapi_Sylla	['1900', '1950']
Bengally Sylla	/wiki/Bengally_Sylla	['1900', '1950']
Kanfory Sylla	/wiki/Kanfory_Sylla	['1900', '1950']
Kanfoury Sylla	/wiki/Kanfoury_Sylla	['1900', '1950']
Mamadou Sylla	/wiki/Mamadou_Sylla	['1900', '1950']
Mohammed Sylla	/wiki/Mohammed_Sylla	['1900', '1950']
Diallo Telli	/wiki/Diallo_Telli	['1900', '1950']
Pablo Thiam	/wiki/Pablo_Thiam	['1900', '1950']
Ahmed Sékou Touré	/wiki/Ahmed_S%C3%A9kou_Tour%C3%A9	['1900', '1950']
Sidya Touré	/wiki/Sidya_Tour%C3%A9	['1900', '1950']
