text	link	year
Peggy Brunache	/wiki/Peggy_Brunache	['1900', '1950']
Leslie Desmangles	/wiki/Leslie_Desmangles	['1900', '1950']
Anténor Firmin	/wiki/Ant%C3%A9nor_Firmin	['1900', '1950']
Jean Price-Mars	/wiki/Jean_Price-Mars	['1900', '1950']
Michel-Rolph Trouillot	/wiki/Michel-Rolph_Trouillot	['1900', '1950']
Charles Henri Baker	/wiki/Charles_Henri_Baker	['1900', '1950']
Gilbert Bigio	/wiki/Gilbert_Bigio	['1900', '1950']
Reginald Boulos	/wiki/Reginald_Boulos	['1900', '1950']
Jean-Claude Brizard	/wiki/Jean-Claude_Brizard	['1900', '1950']
Antoine Izméry	/wiki/Antoine_Izm%C3%A9ry	['1900', '1950']
Viter Juste	/wiki/Viter_Juste	['1900', '1950']
Julio Larosiliere	/wiki/Julio_Larosiliere	['1900', '1950']
Elisabeth Delatour Préval	/wiki/Elisabeth_Delatour_Pr%C3%A9val	['1900', '1950']
Daniel Rouzier	/wiki/Daniel_Rouzier	['1900', '1950']
Mona Scott	/wiki/Mona_Scott	['1900', '1950']
Dumarsais Simeus	/wiki/Dumarsais_Simeus	['1900', '1950']
Jerry Tardieu	/wiki/Jerry_Tardieu	['1900', '1950']
Henri Caesar	/wiki/Henri_Caesar	['1900', '1950']
Emmanuel Constant	/wiki/Emmanuel_Constant	['1900', '1950']
Jacquotte Delahaye	/wiki/Jacquotte_Delahaye	['1900', '1950']
Abner Louima	/wiki/Abner_Louima	['1900', '1950']
Jean Lafitte	/wiki/Jean_Lafitte	['1900', '1950']
Pierre Lafitte	/wiki/Pierre_Lafitte	['1900', '1950']
Amiot Métayer	/wiki/Amiot_M%C3%A9tayer	['1900', '1950']
Buteur Métayer	/wiki/Buteur_M%C3%A9tayer	['1900', '1950']
Leslie Delatour	/wiki/Leslie_Delatour	['1900', '1950']
Fritz Jean	/wiki/Fritz_Jean	['1900', '1950']
Ericq Pierre	/wiki/Ericq_Pierre	['1900', '1950']
Jocelerme Privert	/wiki/Jocelerme_Privert	['1900', '1950']
Louis Eugène Roy	/wiki/Louis_Eug%C3%A8ne_Roy	['1900', '1950']
Arnold Antonin	/wiki/Arnold_Antonin	['1900', '1950']
Annette Auguste	/wiki/Annette_Auguste	['1900', '1950']
Stanley Barbot	/wiki/Stanley_Barbot	['1900', '1950']
Garcelle Beauvais	/wiki/Garcelle_Beauvais	['1900', '1950']
Fabienne Colas	/wiki/Fabienne_Colas	['1900', '1950']
Joasil Déméus Débrosse	/wiki/Joasil_D%C3%A9m%C3%A9us_D%C3%A9brosse	['1900', '1950']
Jean-Léon Destiné	/wiki/Jean-L%C3%A9on_Destin%C3%A9	['1900', '1950']
Pierre-Louis Dieufaite	/wiki/Pierre-Louis_Dieufaite	['1900', '1950']
Jeanne Duval	/wiki/Jeanne_Duval	['1900', '1950']
Sony Esteus	/wiki/Sony_Esteus	['1900', '1950']
Jimmy Jean-Louis	/wiki/Jimmy_Jean-Louis	['1900', '1950']
Val Jeanty	/wiki/Val_Jeanty	['1900', '1950']
Johny Joseph	/wiki/Johny_Joseph_(news_anchor)	['1900', '1950']
Jean-Claude La Marre	/wiki/Jean-Claude_La_Marre	['1900', '1950']
Jeanne-Marie Marsan	/wiki/Jeanne-Marie_Marsan	['1900', '1950']
Luck Mervil	/wiki/Luck_Mervil	['1900', '1950']
Minette et Lise	/wiki/Minette_et_Lise	['1900', '1950']
Lenelle Moïse	/wiki/Lenelle_Mo%C3%AFse	['1900', '1950']
Panou	/wiki/Panou	['1900', '1950']
Raoul Peck	/wiki/Raoul_Peck	['1900', '1950']
Perri Pierre	/wiki/Perri_Pierre	['1900', '1950']
Emmanuel Pierre-Antoine	/wiki/Emmanuel_Pierre-Antoine	['1900', '1950']
Jeanguy Saintus	/wiki/Jeanguy_Saintus	['1900', '1950']
Michèle Stephenson	/wiki/Mich%C3%A8le_Stephenson	['1900', '1950']
Vladimir Thelisma	/wiki/Vladimir_Thelisma	['1900', '1950']
TiCorn	/wiki/TiCorn	['1900', '1950']
Regine Chevallier	/wiki/Regine_Chevallier	['1900', '1950']
Fabrice Simon	/wiki/Fabrice_Simon	['1900', '1950']
Madame Max Adolphe	/wiki/Madame_Max_Adolphe	['1900', '1950']
Magloire Ambroise	/wiki/Magloire_Ambroise	['1900', '1950']
Anacaona	/wiki/Anacaona	['1900', '1950']
Sanité Bélair	/wiki/Sanit%C3%A9_B%C3%A9lair	['1900', '1950']
Georges Biassou	/wiki/Georges_Biassou	['1900', '1950']
Tony Bloncourt	/wiki/Tony_Bloncourt	['1900', '1950']
Dutty Boukman	/wiki/Dutty_Boukman	['1900', '1950']
Pauline Brice-Thézan	/wiki/Pauline_Brice-Th%C3%A9zan	['1900', '1950']
Luckner Cambronne	/wiki/Luckner_Cambronne	['1900', '1950']
Jean-Baptiste Chavannes	/wiki/Jean-Baptiste_Chavannes	['1900', '1950']
Cécile Fatiman	/wiki/C%C3%A9cile_Fatiman	['1900', '1950']
Marie-Claire Heureuse Félicité	/wiki/Marie-Claire_Heureuse_F%C3%A9licit%C3%A9	['1804', '1806']
Catherine Flon	/wiki/Catherine_Flon	['1900', '1950']
Guy François	/wiki/Guy_Fran%C3%A7ois_(colonel)	['1900', '1950']
Jean-François Papillon	/wiki/Jean-Fran%C3%A7ois_Papillon	['1900', '1950']
Michel François	/wiki/Michel_Fran%C3%A7ois	['1900', '1950']
Alice Garoute	/wiki/Alice_Garoute	['1900', '1950']
Victoire Jean-Baptiste	/wiki/Victoire_Jean-Baptiste	['1900', '1950']
Jeannot	/wiki/Jeannot	['1900', '1950']
