text	link	year
Fijian Indian diaspora	/wiki/Fijian_Indian_diaspora	['1900', '1950']
Fijian Indian diaspora	/wiki/Fijian_Indian_diaspora	['1900', '1950']
Fijian Indian diaspora	/wiki/Fijian_Indian_diaspora	['1900', '1950']
Stateside Puerto Ricans	/wiki/Stateside_Puerto_Ricans	['1900', '1950']
Castizo	/wiki/Castizo	['1900', '1950']
Cholo	/wiki/Cholo	['1900', '1950']
Criollo people	/wiki/Criollo_people	['1900', '1950']
Mestizo	/wiki/Mestizo	['1900', '1950']
Mulatto	/wiki/Mulatto	['1900', '1950']
Pardo	/wiki/Pardo	['1900', '1950']
Zambo	/wiki/Zambo	['1900', '1950']
Chicano Movement	/wiki/Chicano_Movement	['1900', '1950']
Congressional Hispanic Caucus	/wiki/Congressional_Hispanic_Caucus	['1900', '1950']
Congressional Hispanic Conference	/wiki/Congressional_Hispanic_Conference	['1900', '1950']
MEChA	/wiki/MEChA	['1900', '1950']
National Hispanic Institute	/wiki/National_Hispanic_Institute	['1900', '1950']
Republican National Hispanic Assembly	/wiki/Republican_National_Hispanic_Assembly	['1900', '1950']
United Farm Workers	/wiki/United_Farm_Workers	['1900', '1950']
USHCC	/wiki/USHCC	['1900', '1950']
Latino studies	/wiki/Latino_studies	['1900', '1950']
Spanglish	/wiki/Spanglish	['1900', '1950']
Spanish language	/wiki/Spanish_language	['1900', '1950']
Cuban Spanish	/wiki/Cuban_Spanish	['1900', '1950']
New Mexican Spanish	/wiki/New_Mexican_Spanish	['1900', '1950']
Puerto Rican Spanish	/wiki/Puerto_Rican_Spanish	['1900', '1950']
Californio	/wiki/Californio	['1900', '1950']
Chicano	/wiki/Chicano	['1900', '1950']
Hispanos	/wiki/Hispanos	['1900', '1950']
Nuyorican	/wiki/Nuyorican	['1900', '1950']
Tejano	/wiki/Tejano	['1900', '1950']
Rita Hayworth	/wiki/Rita_Hayworth	['1900', '1950']
Lalo Ríos	/wiki/Lalo_R%C3%ADos	['1900', '1950']
Jennifer Lopez	/wiki/Jennifer_Lopez	['1900', '1950']
