text	link	year
Óscar Acosta	/wiki/%C3%93scar_Acosta	['1900', '1950']
Salvador Aguirre	/wiki/Salvador_Aguirre_(Honduras)	['1900', '1950']
Juan José Alvarado	/wiki/Juan_Jos%C3%A9_Alvarado	['1900', '1950']
Oscar Álvarez	/wiki/Oscar_%C3%81lvarez_(politician)	['1900', '1950']
Oswaldo López Arellano	/wiki/Oswaldo_L%C3%B3pez_Arellano	['1900', '1950']
Juan Ángel Arias	/wiki/Juan_%C3%81ngel_Arias	['1900', '1950']
Céleo Arias	/wiki/C%C3%A9leo_Arias	['1900', '1950']
Juan Ángel Arias Boquín	/wiki/Juan_%C3%81ngel_Arias_Boqu%C3%ADn	['1900', '1950']
Miguel Paz Barahona	/wiki/Miguel_Paz_Barahona	['1900', '1950']
Francisco Bertrand	/wiki/Francisco_Bertrand	['1900', '1950']
Elizabeth Azcona Bocock	/wiki/Elizabeth_Azcona_Bocock	['1900', '1950']
Francisco Bográn	/wiki/Francisco_Bogr%C3%A1n	['1900', '1950']
Luis Bográn	/wiki/Luis_Bogr%C3%A1n	['1900', '1950']
Policarpo Bonilla	/wiki/Policarpo_Bonilla	['1900', '1950']
Manuel Bonilla	/wiki/Manuel_Bonilla	['1900', '1950']
Francisco Bueso	/wiki/Francisco_Bueso	['1900', '1950']
José Santiago Bueso	/wiki/Jos%C3%A9_Santiago_Bueso	['1900', '1950']
José María Bustillo	/wiki/Jos%C3%A9_Mar%C3%ADa_Bustillo_(Honduran)	['1900', '1950']
Miguel Oquelí Bustillo	/wiki/Miguel_Oquel%C3%AD_Bustillo	['1900', '1950']
José Trinidad Cabañas	/wiki/Jos%C3%A9_Trinidad_Caba%C3%B1as	['1900', '1950']
Tiburcio Carías Andino	/wiki/Tiburcio_Car%C3%ADas_Andino	['1900', '1950']
Victoriano Castellanos	/wiki/Victoriano_Castellanos	['1900', '1950']
Juan Alberto Melgar Castro	/wiki/Juan_Alberto_Melgar_Castro	['1900', '1950']
Coronado Chávez	/wiki/Coronado_Ch%C3%A1vez	['1900', '1950']
Vicente Mejía Colindres	/wiki/Vicente_Mej%C3%ADa_Colindres	['1900', '1950']
Roberto Suazo Córdova	/wiki/Roberto_Suazo_C%C3%B3rdova	['1900', '1950']
Ramón Ernesto Cruz Uclés	/wiki/Ram%C3%B3n_Ernesto_Cruz_Ucl%C3%A9s	['1900', '1950']
Miguel R. Dávila	/wiki/Miguel_R._D%C3%A1vila	['1900', '1950']
Francisco de Aguilar	/wiki/Francisco_de_Aguilar_(politician)	['1900', '1950']
Dionisio de Herrera	/wiki/Dionisio_de_Herrera	['1900', '1950']
José Azcona del Hoyo	/wiki/Jos%C3%A9_Azcona_del_Hoyo	['1900', '1950']
José Cecilio del Valle	/wiki/Jos%C3%A9_Cecilio_del_Valle	['1900', '1950']
Nora Gúnera de Melgar	/wiki/Nora_G%C3%BAnera_de_Melgar	['1900', '1950']
Juan Francisco de Molina	/wiki/Juan_Francisco_de_Molina	['1900', '1950']
Francisco Ferrera	/wiki/Francisco_Ferrera	['1900', '1950']
Carlos Roberto Flores	/wiki/Carlos_Roberto_Flores	['1900', '1950']
Juan Manuel Gálvez	/wiki/Juan_Manuel_G%C3%A1lvez	['1900', '1950']
Policarpo Paz García	/wiki/Policarpo_Paz_Garc%C3%ADa	['1900', '1950']
Mariano Garrigó	/wiki/Mariano_Garrig%C3%B3	['1900', '1950']
Crescencio Gómez	/wiki/Crescencio_G%C3%B3mez	['1900', '1950']
Francisco Gómez	/wiki/Francisco_G%C3%B3mez_(acting_president)	['1900', '1950']
José Santos Guardiola	/wiki/Jos%C3%A9_Santos_Guardiola	['1900', '1950']
José María Guerrero	/wiki/Jos%C3%A9_Mar%C3%ADa_Guerrero	['1900', '1950']
Edgar Álvarez	/wiki/Edgar_%C3%81lvarez	['1900', '1950']
Eduardo Alonso Arriola Carter	/wiki/Eduardo_Alonso_Arriola_Carter	['1900', '1950']
Edwin Yobani Avila	/wiki/Edwin_Yobani_Avila	['1900', '1950']
Nahún Avila	/wiki/Nah%C3%BAn_Avila	['1900', '1950']
Wilfredo Barahona	/wiki/Wilfredo_Barahona	['1900', '1950']
Mario Beata	/wiki/Mario_Beata	['1900', '1950']
Eduardo Bennet	/wiki/Eduardo_Bennet	['1900', '1950']
Jefferson Bernárdez	/wiki/Jefferson_Bern%C3%A1rdez	['1900', '1950']
Robel Bernardez	/wiki/Robel_Bernardez	['1900', '1950']
Víctor Bernárdez	/wiki/V%C3%ADctor_Bern%C3%A1rdez	['1900', '1950']
Mario René Berríos	/wiki/Mario_Ren%C3%A9_Berr%C3%ADos	['1900', '1950']
Porfirio Armando Betancourt	/wiki/Porfirio_Armando_Betancourt	['1900', '1950']
John Alston Bodden	/wiki/John_Alston_Bodden	['1900', '1950']
Mitchel Brown	/wiki/Mitchel_Brown	['1900', '1950']
Samuel Caballero	/wiki/Samuel_Caballero	['1900', '1950']
Ricardo Canales	/wiki/Ricardo_Canales	['1900', '1950']
Juan Manuel Cárcamo	/wiki/Juan_Manuel_C%C3%A1rcamo	['1900', '1950']
José Cardona	/wiki/Jos%C3%A9_Cardona	['1900', '1950']
Miguel Castillo	/wiki/Miguel_Castillo	['1900', '1950']
Mauricio Castro	/wiki/Mauricio_Castro	['1900', '1950']
Marvin Chávez	/wiki/Marvin_Ch%C3%A1vez	['1900', '1950']
Osman Chávez	/wiki/Osman_Ch%C3%A1vez	['1900', '1950']
