text	link	year
David Akers-Jones	/wiki/David_Akers-Jones	['1986', '1987']
Au Wai Lun	/wiki/Au_Wai_Lun	['1900', '1950']
Jin Au-Yeung	/wiki/Jin_Au-Yeung	['1900', '1950']
Jamie Atkinson	/wiki/Jamie_Atkinson	['1900', '1950']
Au Chi-wai	/wiki/Au_Chi-wai	['1900', '1950']
Clara Blandick	/wiki/Clara_Blandick	['1876', '1962']
Albert Chan	/wiki/Albert_Chan	['1900', '1950']
Anson Chan	/wiki/Anson_Chan	['1900', '1950']
David Chan Yuk-cheung	/wiki/David_Chan_Yuk-cheung	['1900', '1950']
Fruit Chan	/wiki/Fruit_Chan	['1900', '1950']
Jackie Chan	/wiki/Jackie_Chan	['1900', '1950']
Sita Chan	/wiki/Sita_Chan	['1900', '1950']
William Chang	/wiki/William_Chang	['1900', '1950']
Catchick Paul Chater	/wiki/Catchick_Paul_Chater	['1900', '1950']
Chen Din Hwa	/wiki/Chen_Din_Hwa	['1900', '1950']
Edison Chen	/wiki/Edison_Chen	['1900', '1950']
Fala Chen	/wiki/Fala_Chen	['1900', '1950']
Kelly Chen	/wiki/Kelly_Chen	['1900', '1950']
Adam Cheng	/wiki/Adam_Cheng	['1900', '1950']
Davi Cheng	/wiki/Davi_Cheng	['1900', '1950']
Sammi Cheng	/wiki/Sammi_Cheng	['1900', '1950']
Shiu-Yuen Cheng	/wiki/Shiu-Yuen_Cheng	['1900', '1950']
Yumiko Cheng	/wiki/Yumiko_Cheng	['1900', '1950']
Hilton Cheong-Leen	/wiki/Hilton_Cheong-Leen	['1900', '1950']
Angie Cheung	/wiki/Angie_Cheung	['1900', '1950']
Cecilia Cheung	/wiki/Cecilia_Cheung	['1900', '1950']
Cindy Cheung	/wiki/Cindy_Cheung_(television_presenter)	['1900', '1950']
Fernando Cheung	/wiki/Fernando_Cheung	['1900', '1950']
Jacky Cheung	/wiki/Jacky_Cheung	['1900', '1950']
Cheung Kam Ching	/wiki/Cheung_Kam_Ching	['1900', '1950']
Leslie Cheung	/wiki/Leslie_Cheung	['1900', '1950']
Maggie Cheung Ho Yee	/wiki/Maggie_Cheung_Ho_Yee	['1900', '1950']
Maggie Cheung	/wiki/Maggie_Cheung	['1900', '1950']
Rachel Cheung	/wiki/Rachel_Cheung	['1900', '1950']
Steven Cheung	/wiki/Steven_Cheung_(actor)	['1900', '1950']
Steven N. S. Cheung	/wiki/Steven_N._S._Cheung	['1900', '1950']
Teresa Cheung	/wiki/Teresa_Cheung_(socialite)	['1900', '1950']
Chin Tsi-ang	/wiki/Chin_Tsi-ang	['1900', '1950']
Angie Chiu	/wiki/Angie_Chiu	['1900', '1950']
Rebecca Chiu	/wiki/Rebecca_Chiu	['1900', '1950']
Samson Chiu	/wiki/Samson_Chiu	['1900', '1950']
Raymond Cho	/wiki/Raymond_Cho_(actor)	['1900', '1950']
Raymond Chow	/wiki/Raymond_Chow	['1900', '1950']
Ada Choi	/wiki/Ada_Choi	['1900', '1950']
Elkie Chong	/wiki/Elkie_Chong	['1900', '1950']
Niki Chow	/wiki/Niki_Chow	['1900', '1950']
