text	link	year
Wikipedia:Citation needed	/wiki/Wikipedia:Citation_needed	['1900', '1950']
Mincaye	/wiki/Mincaye	['1900', '1950']
Wikipedia:Citation needed	/wiki/Wikipedia:Citation_needed	['1900', '1950']
Berlin, Germany	/wiki/Berlin,_Germany	['1900', '1950']
Mincaye	/wiki/Mincaye	['1900', '1950']
Arajuno	/wiki/Arajuno	['1900', '1950']
Jim Elliot	/wiki/Jim_Elliot	['1900', '1950']
Wikipedia:Citation needed	/wiki/Wikipedia:Citation_needed	['1900', '1950']
Martyr	/wiki/Martyr	['1900', '1950']
Wikipedia:Citation needed	/wiki/Wikipedia:Citation_needed	['1900', '1950']
Wikipedia:Citation needed	/wiki/Wikipedia:Citation_needed	['1915', '1975']
Alicia Cawiya	/wiki/Alicia_Cawiya	['1900', '1950']
Anaconda	/wiki/Anaconda	['1900', '1950']
Dayuma	/wiki/Dayuma	['1900', '1950']
Wikipedia:Citation needed	/wiki/Wikipedia:Citation_needed	['1900', '1950']
Wikipedia:Citation needed	/wiki/Wikipedia:Citation_needed	['1950', '1956']
Wikipedia:Citation needed	/wiki/Wikipedia:Citation_needed	['1900', '1950']
New World blackbird	/wiki/New_World_blackbird	['1900', '1950']
Macaw	/wiki/Macaw	['1900', '1950']
Wikipedia:Citation needed	/wiki/Wikipedia:Citation_needed	['1900', '1950']
Wikipedia:Citation needed	/wiki/Wikipedia:Citation_needed	['1900', '1950']
Jesus	/wiki/Jesus	['1900', '1950']
Rachel Saint	/wiki/Rachel_Saint	['1900', '1950']
Campephilus	/wiki/Campephilus	['1900', '1950']
YWAM	/wiki/YWAM	['1900', '1950']
YWAM	/wiki/YWAM	['1900', '1950']
Elisabeth Elliot	/wiki/Elisabeth_Elliot	['1900', '1950']
Rachel Saint	/wiki/Rachel_Saint	['1900', '1950']
International Standard Book Number	/wiki/International_Standard_Book_Number	['1900', '1950']
Steve Saint	/wiki/Steve_Saint	['1900', '1950']
YWAM	/wiki/YWAM	['1900', '1950']
Steve Saint	/wiki/Steve_Saint	['1900', '1950']
Template:Operation Auca	/wiki/Template:Operation_Auca	['1900', '1950']
Template talk:Operation Auca	/wiki/Template_talk:Operation_Auca	['1900', '1950']
Nate Saint	/wiki/Nate_Saint	['1900', '1950']
Jim Elliot	/wiki/Jim_Elliot	['1900', '1950']
Pete Fleming	/wiki/Pete_Fleming	['1900', '1950']
Ed McCully	/wiki/Ed_McCully	['1900', '1950']
Roger Youderian	/wiki/Roger_Youderian	['1900', '1950']
Frank Drown	/wiki/Frank_Drown	['1900', '1950']
Elisabeth Elliot	/wiki/Elisabeth_Elliot	['1900', '1950']
Rachel Saint	/wiki/Rachel_Saint	['1900', '1950']
Steve Saint	/wiki/Steve_Saint	['1900', '1950']
Dayuma	/wiki/Dayuma	['1900', '1950']
Mincaye	/wiki/Mincaye	['1900', '1950']
Shell Mera	/wiki/Shell_Mera	['1900', '1950']
Shandia	/wiki/Shandia	['1900', '1950']
Arajuno	/wiki/Arajuno	['1900', '1950']
Curaray River	/wiki/Curaray_River	['1900', '1950']
SIL International	/wiki/SIL_International	['1900', '1950']
Wycliffe Global Alliance	/wiki/Wycliffe_Global_Alliance	['1900', '1950']
Shell Oil Company	/wiki/Shell_Oil_Company	['1900', '1950']
