text	link	year
Gyula Aggházy	/wiki/Gyula_Aggh%C3%A1zy	['1900', '1950']
Károly Antal	/wiki/K%C3%A1roly_Antal	['1900', '1950']
Miklós Borsos	/wiki/Mikl%C3%B3s_Borsos	['1900', '1950']
Sándor Bortnyik	/wiki/S%C3%A1ndor_Bortnyik	['1900', '1950']
Tivadar Csontváry Kosztka	/wiki/Tivadar_Csontv%C3%A1ry_Kosztka	['1900', '1950']
Gyula Donáth	/wiki/Gyula_Don%C3%A1th	['1900', '1950']
Orshi Drozdik	/wiki/Orshi_Drozdik	['1900', '1950']
János Fadrusz	/wiki/J%C3%A1nos_Fadrusz	['1900', '1950']
Béni Ferenczy	/wiki/B%C3%A9ni_Ferenczy	['1900', '1950']
István Ferenczy	/wiki/Istv%C3%A1n_Ferenczy	['1900', '1950']
Arpad Feszty	/wiki/Arpad_Feszty	['1900', '1950']
Simon Hantaï	/wiki/Simon_Hanta%C3%AF	['1900', '1950']
János Horvay	/wiki/J%C3%A1nos_Horvay	['1900', '1950']
László Hudec	/wiki/L%C3%A1szl%C3%B3_Hudec	['1900', '1950']
Miklós Izsó	/wiki/Mikl%C3%B3s_Izs%C3%B3	['1900', '1950']
Zoltán Joó	/wiki/Zolt%C3%A1n_Jo%C3%B3	['1900', '1950']
Ede Kallós	/wiki/Ede_Kall%C3%B3s	['1900', '1950']
André Kertész	/wiki/Andr%C3%A9_Kert%C3%A9sz	['1900', '1950']
Zsigmond Kisfaludi Stróbl	/wiki/Zsigmond_Kisfaludi_Str%C3%B3bl	['1900', '1950']
Márta Lacza	/wiki/M%C3%A1rta_Lacza	['1900', '1950']
Paul László	/wiki/Paul_L%C3%A1szl%C3%B3	['1900', '1950']
Miklós Ligeti	/wiki/Mikl%C3%B3s_Ligeti	['1900', '1950']
Imre Makovecz	/wiki/Imre_Makovecz	['1900', '1950']
János Major	/wiki/J%C3%A1nos_Major	['1900', '1950']
Csaba Markus	/wiki/Csaba_Markus	['1900', '1950']
Zsuzsa Mathe	/wiki/Zsuzsa_Mathe	['1900', '1950']
László Moholy-Nagy	/wiki/L%C3%A1szl%C3%B3_Moholy-Nagy	['1900', '1950']
István Orosz	/wiki/Istv%C3%A1n_Orosz	['1900', '1950']
János Pásztor	/wiki/J%C3%A1nos_P%C3%A1sztor	['1900', '1950']
József Róna	/wiki/J%C3%B3zsef_R%C3%B3na	['1900', '1950']
Albert Schickedanz	/wiki/Albert_Schickedanz	['1900', '1950']
Henriett Seth-F.	/wiki/Henriett_Seth-F.	['1900', '1950']
Francois Colos	/wiki/Francois_Colos	['1900', '1950']
Pal Szinyei Merse	/wiki/Pal_Szinyei_Merse	['1900', '1950']
László Szlávics, Jr.	/wiki/L%C3%A1szl%C3%B3_Szl%C3%A1vics,_Jr.	['1900', '1950']
Adam Szentpétery	/wiki/Adam_Szentp%C3%A9tery	['1900', '1950']
Mór Than	/wiki/M%C3%B3r_Than	['1900', '1950']
János Tornyai	/wiki/J%C3%A1nos_Tornyai	['1900', '1950']
Lajos Vajda	/wiki/Lajos_Vajda	['1900', '1950']
Victor Vasarely	/wiki/Victor_Vasarely	['1900', '1950']
