text	link	year
Icelandic Commonwealth	/wiki/Icelandic_Commonwealth	['1900', '1950']
Icelandic Reformation	/wiki/Icelandic_Reformation	['1900', '1950']
Danish–Icelandic Trade Monopoly	/wiki/Danish%E2%80%93Icelandic_Trade_Monopoly	['1900', '1950']
Icelandic independence movement	/wiki/Icelandic_independence_movement	['1900', '1950']
Cod Wars	/wiki/Cod_Wars	['1900', '1950']
Icelandic króna	/wiki/Icelandic_kr%C3%B3na	['1900', '1950']
Icelandic outvasion	/wiki/Icelandic_outvasion	['1900', '1950']
Iceland Stock Exchange	/wiki/Iceland_Stock_Exchange	['1900', '1950']
Icelandic Police	/wiki/Icelandic_Police	['1900', '1950']
Althing	/wiki/Althing	['1900', '1950']
Lofsöngur	/wiki/Lofs%C3%B6ngur	['1900', '1950']
Icelandic art	/wiki/Icelandic_art	['1900', '1950']
Bobby Fischer Center	/wiki/Bobby_Fischer_Center	['1900', '1950']
Icelandic cuisine	/wiki/Icelandic_cuisine	['1900', '1950']
Icelandic literature	/wiki/Icelandic_literature	['1900', '1950']
Names for Iceland	/wiki/Names_for_Iceland	['1900', '1950']
Icelandic national costume	/wiki/Icelandic_national_costume	['1900', '1950']
Björgólfur Thor Björgólfsson	/wiki/Bj%C3%B6rg%C3%B3lfur_Thor_Bj%C3%B6rg%C3%B3lfsson	['1900', '1950']
Björgólfur Guðmundsson	/wiki/Bj%C3%B6rg%C3%B3lfur_Gu%C3%B0mundsson	['1900', '1950']
Eggert Magnússon	/wiki/Eggert_Magn%C3%BAsson	['1900', '1950']
Hreiðar Már Sigurðsson	/wiki/Hrei%C3%B0ar_M%C3%A1r_Sigur%C3%B0sson	['1900', '1950']
Jón Ásgeir Jóhannesson	/wiki/J%C3%B3n_%C3%81sgeir_J%C3%B3hannesson	['1900', '1950']
Magnús Þorsteinsson	/wiki/Magn%C3%BAs_%C3%9Eorsteinsson	['1900', '1950']
Arnor Sighvatsson	/wiki/Arnor_Sighvatsson	['1900', '1950']
Guðjón Samúelsson	/wiki/Gu%C3%B0j%C3%B3n_Sam%C3%BAelsson	['1900', '1950']
Guðmundur Jónsson	/wiki/Gu%C3%B0mundur_J%C3%B3nsson	['1900', '1950']
Halldóra Briem	/wiki/Halld%C3%B3ra_Briem	['1900', '1950']
Högna Sigurðardóttir	/wiki/H%C3%B6gna_Sigur%C3%B0ard%C3%B3ttir	['1900', '1950']
Arnaldur Indriðason	/wiki/Arnaldur_Indri%C3%B0ason	['1900', '1950']
Davíð Stefánsson	/wiki/Dav%C3%AD%C3%B0_Stef%C3%A1nsson	['1900', '1950']
Einar Benediktsson	/wiki/Einar_Benediktsson	['1900', '1950']
Einar Kárason	/wiki/Einar_K%C3%A1rason	['1900', '1950']
Einar Hjörleifsson Kvaran	/wiki/Einar_Hj%C3%B6rleifsson_Kvaran	['1900', '1950']
Einar Már Guðmundsson	/wiki/Einar_M%C3%A1r_Gu%C3%B0mundsson	['1900', '1950']
Guðmundur G. Hagalín	/wiki/Gu%C3%B0mundur_G._Hagal%C3%ADn	['1900', '1950']
Halldor Laxness	/wiki/Halldor_Laxness	['1900', '1950']
Hallgrímur Helgason	/wiki/Hallgr%C3%ADmur_Helgason	['1900', '1950']
Jón Kalman Stefánsson	/wiki/J%C3%B3n_Kalman_Stef%C3%A1nsson	['1900', '1950']
Jón Thoroddsen junior	/wiki/J%C3%B3n_Thoroddsen_junior	['1900', '1950']
Jónas Hallgrímsson	/wiki/J%C3%B3nas_Hallgr%C3%ADmsson	['1900', '1950']
Jóhannes úr Kötlum	/wiki/J%C3%B3hannes_%C3%BAr_K%C3%B6tlum	['1900', '1950']
Kristín Marja Baldursdóttir	/wiki/Krist%C3%ADn_Marja_Baldursd%C3%B3ttir	['1900', '1950']
Magnus Magnusson	/wiki/Magnus_Magnusson	['1900', '1950']
Nína Björk Árnadóttir	/wiki/N%C3%ADna_Bj%C3%B6rk_%C3%81rnad%C3%B3ttir	['1900', '1950']
Ólafur Jóhann Ólafsson	/wiki/%C3%93lafur_J%C3%B3hann_%C3%93lafsson	['1900', '1950']
Sjón	/wiki/Sj%C3%B3n	['1900', '1950']
Snorri Hjartarson	/wiki/Snorri_Hjartarson	['1900', '1950']
Snorri Sturluson	/wiki/Snorri_Sturluson	['1900', '1950']
Steinunn Sigurðardóttir	/wiki/Steinunn_Sigur%C3%B0ard%C3%B3ttir	['1900', '1950']
Stephan G. Stephansson	/wiki/Stephan_G._Stephansson	['1900', '1950']
Tómas Guðmundsson	/wiki/T%C3%B3mas_Gu%C3%B0mundsson	['1900', '1950']
Vigdís Grímsdóttir	/wiki/Vigd%C3%ADs_Gr%C3%ADmsd%C3%B3ttir	['1900', '1950']
Viktor Arnar Ingólfsson	/wiki/Viktor_Arnar_Ing%C3%B3lfsson	['1900', '1950']
Yrsa Sigurðardóttir	/wiki/Yrsa_Sigur%C3%B0ard%C3%B3ttir	['1900', '1950']
Þórarinn Eldjárn	/wiki/%C3%9E%C3%B3rarinn_Eldj%C3%A1rn	['1900', '1950']
Þórbergur Þórðarson	/wiki/%C3%9E%C3%B3rbergur_%C3%9E%C3%B3r%C3%B0arson	['1900', '1950']
Anita Briem	/wiki/Anita_Briem	['1900', '1950']
Ágústa Eva Erlendsdóttir	/wiki/%C3%81g%C3%BAsta_Eva_Erlendsd%C3%B3ttir	['1900', '1950']
Baltasar Kormákur	/wiki/Baltasar_Korm%C3%A1kur	['1900', '1950']
Friðrik Þór Friðriksson	/wiki/Fri%C3%B0rik_%C3%9E%C3%B3r_Fri%C3%B0riksson	['1900', '1950']
Gunnar Hansen	/wiki/Gunnar_Hansen	['1900', '1950']
Hilmir Snær Guðnason	/wiki/Hilmir_Sn%C3%A6r_Gu%C3%B0nason	['1900', '1950']
Hrafn Gunnlaugsson	/wiki/Hrafn_Gunnlaugsson	['1900', '1950']
Karl Júlíusson	/wiki/Karl_J%C3%BAl%C3%ADusson	['1900', '1950']
Magnus Magnusson	/wiki/Magnus_Magnusson	['1900', '1950']
Magnús Scheving	/wiki/Magn%C3%BAs_Scheving	['1900', '1950']
Margrét Vilhjálmsdóttir	/wiki/Margr%C3%A9t_Vilhj%C3%A1lmsd%C3%B3ttir	['1900', '1950']
Marinó Sigurðsson	/wiki/Marin%C3%B3_Sigur%C3%B0sson	['1900', '1950']
Markús Örn Antonsson	/wiki/Mark%C3%BAs_%C3%96rn_Antonsson	['1900', '1950']
Páll Magnússon	/wiki/P%C3%A1ll_Magn%C3%BAsson	['1900', '1950']
Ragnar Bragason	/wiki/Ragnar_Bragason	['1900', '1950']
Stefán Karl Stefánsson	/wiki/Stef%C3%A1n_Karl_Stef%C3%A1nsson	['1900', '1950']
Tinna Gunnlaugsdóttir	/wiki/Tinna_Gunnlaugsd%C3%B3ttir	['1900', '1950']
Þröstur Leó Gunnarsson	/wiki/%C3%9Er%C3%B6stur_Le%C3%B3_Gunnarsson	['1900', '1950']
Örvar Þóreyjarson Smárason	/wiki/%C3%96rvar_%C3%9E%C3%B3reyjarson_Sm%C3%A1rason	['1900', '1950']
Anna Mjöll	/wiki/Anna_Mj%C3%B6ll	['1900', '1950']
Arndís Halla	/wiki/Arnd%C3%ADs_Halla	['1969', '2025']
