text	link	year
Template:Igbo people	/wiki/Template:Igbo_people	['1900', '1950']
Template talk:Igbo people	/wiki/Template_talk:Igbo_people	['1900', '1950']
Debbie Collins	/wiki/Debbie_Collins	['1900', '1950']
Unoaku Anyadike	/wiki/Unoaku_Anyadike	['1900', '1950']
Iheoma Nnadi	/wiki/Iheoma_Nnadi	['1900', '1950']
Ezinne Akudo	/wiki/Ezinne_Akudo	['1900', '1950']
Sylvia Nduka	/wiki/Sylvia_Nduka	['1900', '1950']
Fiona Amuzie-Iredu	/wiki/Fiona_Amuzie-Iredu	['1900', '1950']
Glory Umunna	/wiki/Glory_Umunna	['1900', '1950']
Adaeze Igwe	/wiki/Adaeze_Igwe	['1900', '1950']
Munachi Nwankwo	/wiki/Munachi_Nwankwo	['1900', '1950']
Chinenye Ochuba	/wiki/Chinenye_Ochuba	['1900', '1950']
Sabina Umeh	/wiki/Sabina_Umeh	['1900', '1950']
Krystal Okeke	/wiki/Krystal_Okeke	['1900', '1950']
Bianca Odumegwu-Ojukwu	/wiki/Bianca_Odumegwu-Ojukwu	['1900', '1950']
Lynda Chuba-Ikpeazu	/wiki/Lynda_Chuba-Ikpeazu	['1900', '1950']
Ikenna Bryan Okwara	/wiki/Ikenna_Bryan_Okwara	['1900', '1950']
Ngo Okafor	/wiki/Ngo_Okafor	['1900', '1950']
Oluchi Onweagba	/wiki/Oluchi_Onweagba	['1900', '1950']
Collete Nwadike	/wiki/Collete_Nwadike	['1900', '1950']
DJ Coublon	/wiki/DJ_Coublon	['1900', '1950']
Masterkraft	/wiki/Masterkraft_(producer)	['1900', '1950']
Annie Ilonzeh	/wiki/Annie_Ilonzeh	['1900', '1950']
Antonia Okonma	/wiki/Antonia_Okonma	['1900', '1950']
Ashley Madekwe	/wiki/Ashley_Madekwe	['1900', '1950']
Carmen Ejogo	/wiki/Carmen_Ejogo	['1900', '1950']
Caroline Chikezie	/wiki/Caroline_Chikezie	['1900', '1950']
Charles Venn	/wiki/Charles_Venn	['1900', '1950']
Chike Nwoffiah	/wiki/Chike_Nwoffiah	['1900', '1950']
Chiké Okonkwo	/wiki/Chik%C3%A9_Okonkwo	['1900', '1950']
