text	link	year
Ignacio Manuel Altamirano	/wiki/Ignacio_Manuel_Altamirano	['1900', '1950']
Fernando de Alva Cortés Ixtlilxóchitl	/wiki/Fernando_de_Alva_Cort%C3%A9s_Ixtlilx%C3%B3chitl	['1900', '1950']
Bartolomé de Alva	/wiki/Bartolom%C3%A9_de_Alva	['1900', '1950']
Diego de Alvarado Huanitzin	/wiki/Diego_de_Alvarado_Huanitzin	['1900', '1950']
Domingo Arenas	/wiki/Domingo_Arenas	['1900', '1950']
Juan Badiano	/wiki/Juan_Badiano	['1900', '1950']
Juana Belén Gutiérrez de Mendoza	/wiki/Juana_Bel%C3%A9n_Guti%C3%A9rrez_de_Mendoza	['1900', '1950']
Cajemé	/wiki/Cajem%C3%A9	['1900', '1950']
Jacinto Canek	/wiki/Jacinto_Canek	['1731', '1761']
Chimalpahin	/wiki/Chimalpahin	['1579', '1660']
Cuauhtémoc	/wiki/Cuauht%C3%A9moc	['1900', '1950']
Cuitláhuac	/wiki/Cuitl%C3%A1huac	['1900', '1950']
Juan Diego Cuauhtlatoatzin	/wiki/Juan_Diego_Cuauhtlatoatzin	['1900', '1950']
Porfirio Díaz	/wiki/Porfirio_D%C3%ADaz	['1900', '1950']
Pascual Díaz y Barreto	/wiki/Pascual_D%C3%ADaz_y_Barreto	['1876', '1936']
Lila Downs	/wiki/Lila_Downs	['1900', '1950']
Emilio Fernández	/wiki/Emilio_Fern%C3%A1ndez	['1900', '1950']
Natalio Hernández	/wiki/Natalio_Hern%C3%A1ndez	['1900', '1950']
Victoriano Huerta	/wiki/Victoriano_Huerta	['1900', '1950']
Indio Mariano	/wiki/Indio_Mariano	['1900', '1950']
Luz Jiménez	/wiki/Luz_Jim%C3%A9nez	['1897', '1965']
Benito Juárez	/wiki/Benito_Ju%C3%A1rez	['1900', '1950']
La Malinche	/wiki/La_Malinche	['1900', '1950']
Modesta Lavana	/wiki/Modesta_Lavana	['1929', '2010']
Florentina López de Jesús	/wiki/Florentina_L%C3%B3pez_de_Jes%C3%BAs	['1939', '2014']
Tomás Mejía Camacho	/wiki/Tom%C3%A1s_Mej%C3%ADa_Camacho	['1900', '1950']
Moctezuma II	/wiki/Moctezuma_II	['1900', '1950']
Diego Muñoz Camargo	/wiki/Diego_Mu%C3%B1oz_Camargo	['1529', '1599']
Nezahualcoyotl	/wiki/Nezahualcoyotl_(tlatoani)	['1900', '1950']
Nezahualpilli	/wiki/Nezahualpilli	['1464', '1515']
Martín Ocelotl	/wiki/Mart%C3%ADn_Ocelotl	['1900', '1950']
Carlos Ometochtzin	/wiki/Carlos_Ometochtzin	['1900', '1950']
Daniel Ponce de León	/wiki/Daniel_Ponce_de_Le%C3%B3n	['1900', '1950']
Comandante Ramona	/wiki/Comandante_Ramona	['1900', '1950']
Isabel Ramírez Castaneda	/wiki/Isabel_Ram%C3%ADrez_Castaneda	['1881', '1943']
María Sabina	/wiki/Mar%C3%ADa_Sabina	['1900', '1950']
Francisco Tenamaztle	/wiki/Francisco_Tenamaztle	['1900', '1950']
Antonio Valeriano	/wiki/Antonio_Valeriano	['1521', '1605']
Felipe Santiago Xicoténcatl	/wiki/Felipe_Santiago_Xicot%C3%A9ncatl	['1900', '1950']
Agüeybaná	/wiki/Ag%C3%BCeyban%C3%A1_(The_Great_Sun)	['1900', '1950']
Agüeybaná II	/wiki/Ag%C3%BCeyban%C3%A1_II	['1900', '1950']
