text	link	year
Luthfi Assyaukanie	/wiki/Luthfi_Assyaukanie	['1900', '1950']
Azyumardi Azra	/wiki/Azyumardi_Azra	['1900', '1950']
Arief Budiman	/wiki/Arief_Budiman	['1900', '1950']
Winai Dahlan	/wiki/Winai_Dahlan	['1900', '1950']
Firmanzah	/wiki/Firmanzah	['1900', '1950']
Sunaryati Hartono	/wiki/Sunaryati_Hartono	['1900', '1950']
Samaun Samadikun	/wiki/Samaun_Samadikun	['1900', '1950']
Pantur Silaban	/wiki/Pantur_Silaban	['1900', '1950']
Yohanes Surya	/wiki/Yohanes_Surya	['1900', '1950']
Jawahir Thontowi	/wiki/Jawahir_Thontowi	['1900', '1950']
Djoehana Wiradikarta	/wiki/Djoehana_Wiradikarta	['1900', '1950']
Basuki Abdullah	/wiki/Basuki_Abdullah	['1900', '1950']
Affandi	/wiki/Affandi	['1900', '1950']
Kartika Affandi-Koberl	/wiki/Kartika_Affandi-Koberl	['1900', '1950']
Sunny Bak	/wiki/Sunny_Bak	['1900', '1950']
Marina Joesoef	/wiki/Marina_Joesoef	['1900', '1950']
Raden Saleh	/wiki/Raden_Saleh	['1900', '1950']
Asep Sunandar Sunarya	/wiki/Asep_Sunandar_Sunarya	['1900', '1950']
Tio Tjay	/wiki/Tio_Tjay	['1900', '1950']
Oka Antara	/wiki/Oka_Antara	['1900', '1950']
Ateng	/wiki/Ateng	['1900', '1950']
Laura Basuki	/wiki/Laura_Basuki	['1900', '1950']
Laudya Chintya Bella	/wiki/Laudya_Chintya_Bella	['1900', '1950']
Meriam Bellina	/wiki/Meriam_Bellina	['1900', '1950']
Titi Rajo Bintang	/wiki/Titi_Rajo_Bintang	['1900', '1950']
Garin Nugroho	/wiki/Garin_Nugroho	['1900', '1950']
Rianti Cartwright	/wiki/Rianti_Cartwright	['1900', '1950']
Pierre Coffin	/wiki/Pierre_Coffin	['1900', '1950']
Nia Dinata	/wiki/Nia_Dinata	['1900', '1950']
