text	link	year
Thule people	/wiki/Thule_people	['1900', '1950']
Quviasukvik	/wiki/Quviasukvik	['1900', '1950']
Nunavut	/wiki/Nunavut	['1900', '1950']
Inuvialuit Settlement Region	/wiki/Inuvialuit_Settlement_Region	['1900', '1950']
Nunavik	/wiki/Nunavik	['1900', '1950']
Nunatsiavut	/wiki/Nunatsiavut	['1900', '1950']
NunatuKavut	/wiki/NunatuKavut	['1900', '1950']
Iñupiat	/wiki/I%C3%B1upiat	['1900', '1950']
Yup'ik	/wiki/Yup%27ik	['1900', '1950']
Alutiiq	/wiki/Alutiiq	['1900', '1950']
Alaska Native corporation	/wiki/Alaska_Native_corporation	['1900', '1950']
Arctic Slope Regional Corporation	/wiki/Arctic_Slope_Regional_Corporation	['1900', '1950']
Calista Corporation	/wiki/Calista_Corporation	['1900', '1950']
Bering Straits Native Corporation	/wiki/Bering_Straits_Native_Corporation	['1900', '1950']
Cook Inlet Region, Inc.	/wiki/Cook_Inlet_Region,_Inc.	['1900', '1950']
NANA Regional Corporation	/wiki/NANA_Regional_Corporation	['1900', '1950']
Makivik Corporation	/wiki/Makivik_Corporation	['1900', '1950']
Nunatsiavut	/wiki/Nunatsiavut	['1900', '1950']
Nunavut Tunngavik Incorporated	/wiki/Nunavut_Tunngavik_Incorporated	['1900', '1950']
Greenland	/wiki/Greenland	['1900', '1950']
Pituffik	/wiki/Pituffik#Pituffik_today	['1900', '1950']
Harpoon	/wiki/Harpoon	['1900', '1950']
Toggling harpoon	/wiki/Toggling_harpoon	['1900', '1950']
Snow knife	/wiki/Snow_knife	['1900', '1950']
Knife	/wiki/Knife	['1900', '1950']
Ulu	/wiki/Ulu	['1900', '1950']
Kudlik	/wiki/Kudlik	['1900', '1950']
Snow goggles	/wiki/Snow_goggles	['1900', '1950']
Inuksuk	/wiki/Inuksuk	['1900', '1950']
Qamutiik	/wiki/Qamutiik	['1900', '1950']
Kayak	/wiki/Kayak	['1900', '1950']
Umiak	/wiki/Umiak	['1900', '1950']
