text	link	year
Akbar Ganji	/wiki/Akbar_Ganji	['1900', '1950']
Akbar Hashemi Rafsanjani	/wiki/Akbar_Hashemi_Rafsanjani	['1900', '1950']
Ali Dizaei	/wiki/Ali_Dizaei	['1900', '1950']
Alireza Jafarzadeh	/wiki/Alireza_Jafarzadeh	['1900', '1950']
Anousheh Ansari	/wiki/Anousheh_Ansari	['1900', '1950']
Bahar Soomekh	/wiki/Bahar_Soomekh	['1900', '1950']
Camila Batmanghelidjh	/wiki/Camila_Batmanghelidjh	['1900', '1950']
Daryush Shokof	/wiki/Daryush_Shokof	['1900', '1950']
Daryoush Ayyoubi	/wiki/Daryoush_Ayyoubi	['1900', '1950']
Goli Ameri	/wiki/Goli_Ameri	['1900', '1950']
Iran Zendan	/wiki/Iran_Zendan	['1900', '1950']
Jimmy Delshad	/wiki/Jimmy_Delshad	['1900', '1950']
Kia Joorabchian	/wiki/Kia_Joorabchian	['1900', '1950']
Ladan and Laleh Bijani	/wiki/Ladan_and_Laleh_Bijani	['1900', '1950']
Mohammad Khatami	/wiki/Mohammad_Khatami	['1900', '1950']
Nasser David Khalili	/wiki/Nasser_David_Khalili	['1900', '1950']
Nazanin Afshin-Jam	/wiki/Nazanin_Afshin-Jam	['1900', '1950']
Pierre Omidyar	/wiki/Pierre_Omidyar	['1900', '1950']
Ramona Amiri	/wiki/Ramona_Amiri	['1900', '1950']
Shermine Shahrivar	/wiki/Shermine_Shahrivar	['1900', '1950']
Shirin Ebadi	/wiki/Shirin_Ebadi	['1900', '1950']
Shiva Nazar-Ahari	/wiki/Shiva_Nazar-Ahari	['1900', '1950']
Shohreh Aghdashloo	/wiki/Shohreh_Aghdashloo	['1900', '1950']
Zahra Kazemi	/wiki/Zahra_Kazemi	['1900', '1950']
Zeynab Jalaliyan	/wiki/Zeynab_Jalaliyan	['1900', '1950']
Hossein Rajabian	/wiki/Hossein_Rajabian	['1900', '1950']
Mehdi Rajabian	/wiki/Mehdi_Rajabian	['1900', '1950']
Asghar Farhadi	/wiki/Asghar_Farhadi	['1900', '1950']
Gholam Hossein Amirkhani	/wiki/Gholam_Hossein_Amirkhani	['1900', '1950']
Abolhassan Etessami	/wiki/Abolhassan_Etessami	['1900', '1950']
Mir Emad Hassani	/wiki/Mir_Emad_Hassani	['1900', '1950']
Seyyed Jafar Kashfi	/wiki/Seyyed_Jafar_Kashfi	['1900', '1950']
Yadollah Kaboli Khansari	/wiki/Yadollah_Kaboli_Khansari	['1900', '1950']
Mishkín-Qalam	/wiki/Mishk%C3%ADn-Qalam	['1900', '1950']
Jalil Rasouli	/wiki/Jalil_Rasouli	['1900', '1950']
Mehdi Saeedi	/wiki/Mehdi_Saeedi	['1900', '1950']
Mir Ali Tabrizi	/wiki/Mir_Ali_Tabrizi	['1900', '1950']
Golnar Servatian	/wiki/Golnar_Servatian	['1900', '1950']
Javad Alizadeh	/wiki/Javad_Alizadeh	['1900', '1950']
Maziyar Bizhani	/wiki/Maziyar_Bizhani	['1900', '1950']
Nikahang Kowsar	/wiki/Nikahang_Kowsar	['1900', '1950']
Mana Neyestani	/wiki/Mana_Neyestani	['1900', '1950']
Akbar Abdi	/wiki/Akbar_Abdi	['1900', '1950']
Ali Mosaffa	/wiki/Ali_Mosaffa	['1900', '1950']
Ali Nassirian	/wiki/Ali_Nassirian	['1900', '1950']
Amin Hayaee	/wiki/Amin_Hayaee	['1900', '1950']
Artemis Pebdani	/wiki/Artemis_Pebdani	['1900', '1950']
Azita Hajian	/wiki/Azita_Hajian	['1900', '1950']
Bahar Soomekh	/wiki/Bahar_Soomekh	['1900', '1950']
Bahram Radan	/wiki/Bahram_Radan	['1900', '1950']
Behrouz Vossoughi	/wiki/Behrouz_Vossoughi	['1900', '1950']
Behzad Farahani	/wiki/Behzad_Farahani	['1900', '1950']
Bijan Daneshmand	/wiki/Bijan_Daneshmand	['1900', '1950']
