text	link	year
Donny George Youkhanna	/wiki/Donny_George_Youkhanna	['1900', '1950']
Taha Baqir	/wiki/Taha_Baqir	['1900', '1950']
Zainab Bahrani	/wiki/Zainab_Bahrani	['1962', '2025']
Hormuzd Rassam	/wiki/Hormuzd_Rassam	['1900', '1950']
Wijdan Ali	/wiki/Wijdan_Ali	['1900', '1950']
Mohammed Ghani Hikmat	/wiki/Mohammed_Ghani_Hikmat	['1900', '1950']
Jananne Al-Ani	/wiki/Jananne_Al-Ani	['1900', '1950']
Layla Al-Attar	/wiki/Layla_Al-Attar	['1900', '1950']
Yitzhak Yamin	/wiki/Yitzhak_Yamin	['1900', '1950']
Suad al-Attar	/wiki/Suad_al-Attar	['1900', '1950']
Jawad Saleem	/wiki/Jawad_Saleem	['1900', '1950']
Omran Al-Kaysi	/wiki/Omran_Al-Kaysi	['1900', '1950']
Sama Raena Alshaibi	/wiki/Sama_Raena_Alshaibi	['1900', '1950']
Jaber Alwan	/wiki/Jaber_Alwan	['1900', '1950']
Khalil al-Zahawi	/wiki/Khalil_al-Zahawi	['1900', '1950']
Halla Ayla	/wiki/Halla_Ayla	['1900', '1950']
Raad Ghantous	/wiki/Raad_Ghantous	['1900', '1950']
Hayv Kahraman	/wiki/Hayv_Kahraman	['1900', '1950']
Farouk Kaspaules	/wiki/Farouk_Kaspaules	['1900', '1950']
Toba Khedoori	/wiki/Toba_Khedoori	['1900', '1950']
Nedim Kufi	/wiki/Nedim_Kufi	['1900', '1950']
Hassan Massoudy	/wiki/Hassan_Massoudy	['1900', '1950']
Rashad Salim	/wiki/Rashad_Salim	['1900', '1950']
Tamara Salman	/wiki/Tamara_Salman	['1900', '1950']
Wafaa Bilal	/wiki/Wafaa_Bilal	['1900', '1950']
Anish Kapoor	/wiki/Anish_Kapoor	['12', '2025']
Gerry Judah	/wiki/Gerry_Judah	['30', '2025']
Hisham N. Ashkouri	/wiki/Hisham_N._Ashkouri	['1900', '1950']
Rifat Chadirji	/wiki/Rifat_Chadirji	['1900', '1950']
Zaha Hadid	/wiki/Zaha_Hadid	['1900', '1950']
Hussain Ali Abbass Harba	/wiki/Hussain_Ali_Abbass_Harba	['1900', '1950']
Kanan Makiya	/wiki/Kanan_Makiya	['1900', '1950']
Mohamed Makiya	/wiki/Mohamed_Makiya	['1914', '2015']
Misha Nonoo	/wiki/Misha_Nonoo	['1900', '1950']
Reem Alasadi	/wiki/Reem_Alasadi	['1900', '1950']
Salim al-Shimiri	/wiki/Salim_al-Shimiri	['1900', '1950']
Hana Sadiq	/wiki/Hana_Sadiq	['1900', '1950']
Amir Slama	/wiki/Amir_Slama	['1900', '1950']
Zeena Zaki	/wiki/Zeena_Zaki	['1900', '1950']
Nadhmi Auchi	/wiki/Nadhmi_Auchi	['1900', '1950']
Zadik Bino	/wiki/Zadik_Bino	['1900', '1950']
Shlomo Eliahu	/wiki/Shlomo_Eliahu	['1936', '2025']
Calouste Gulbenkian	/wiki/Calouste_Gulbenkian	['1900', '1950']
Huda Kattan	/wiki/Huda_Kattan	['1900', '1950']
Nemir Kirdar	/wiki/Nemir_Kirdar	['1900', '1950']
Khalid Muhmood	/wiki/Khalid_Muhmood	['1900', '1950']
Sharif Hikmat Nashashibi	/wiki/Sharif_Hikmat_Nashashibi	['1900', '1950']
Samuel Nalo	/wiki/Samuel_Nalo	['1900', '1950']
Selim Zilkha	/wiki/Selim_Zilkha	['1900', '1950']
Awn Hussain Al Khashlok	/wiki/Awn_Hussain_Al_Khashlok	['1900', '1950']
Marcus Samuel, 1st Viscount Bearsted	/wiki/Marcus_Samuel,_1st_Viscount_Bearsted	['1900', '1950']
Samuel Samuel	/wiki/Samuel_Samuel	['1900', '1950']
Walter Samuel, 2nd Viscount Bearsted	/wiki/Walter_Samuel,_2nd_Viscount_Bearsted	['1900', '1950']
Marcus Samuel, 3rd Viscount Bearsted	/wiki/Marcus_Samuel,_3rd_Viscount_Bearsted	['1900', '1950']
Peter Samuel, 4th Viscount Bearsted	/wiki/Peter_Samuel,_4th_Viscount_Bearsted	['1900', '1950']
