text	link	year
Israel Finkelstein	/wiki/Israel_Finkelstein	['1900', '1950']
Amihai Mazar	/wiki/Amihai_Mazar	['1900', '1950']
Benjamin Mazar	/wiki/Benjamin_Mazar	['1900', '1950']
Eilat Mazar	/wiki/Eilat_Mazar	['1900', '1950']
Yigael Yadin	/wiki/Yigael_Yadin	['1900', '1950']
Aaron Valero	/wiki/Aaron_Valero	['1900', '1950']
Aaron Ciechanover	/wiki/Aaron_Ciechanover	['1900', '1950']
Moshe Feldenkrais	/wiki/Moshe_Feldenkrais	['1900', '1950']
Hossam Haick	/wiki/Hossam_Haick	['1900', '1950']
Israel Hanukoglu	/wiki/Israel_Hanukoglu	['1900', '1950']
Gavriel Iddan	/wiki/Gavriel_Iddan	['1900', '1950']
Benjamin Kahn	/wiki/Benjamin_Kahn	['1900', '1950']
Alexander Levitzki	/wiki/Alexander_Levitzki	['1900', '1950']
Yadin Dudai	/wiki/Yadin_Dudai	['1900', '1950']
Gideon Mer	/wiki/Gideon_Mer	['1900', '1950']
Saul Merin	/wiki/Saul_Merin	['1900', '1950']
Raphael Mechoulam	/wiki/Raphael_Mechoulam	['1900', '1950']
Leo Sachs	/wiki/Leo_Sachs	['1900', '1950']
Michael Sela	/wiki/Michael_Sela	['1900', '1950']
Joel Sussman	/wiki/Joel_Sussman	['1900', '1950']
Meir Wilchek	/wiki/Meir_Wilchek	['1900', '1950']
Ada Yonath	/wiki/Ada_Yonath	['1900', '1950']
Amotz Zahavi	/wiki/Amotz_Zahavi	['1900', '1950']
Abraham Zangen	/wiki/Abraham_Zangen	['1900', '1950']
Ron Aharoni	/wiki/Ron_Aharoni	['1900', '1950']
Noga Alon	/wiki/Noga_Alon	['1900', '1950']
Shimshon Amitsur	/wiki/Shimshon_Amitsur	['1900', '1950']
Robert Aumann	/wiki/Robert_Aumann	['1900', '1950']
Amir Ban	/wiki/Amir_Ban	['1900', '1950']
Yehoshua Bar-Hillel	/wiki/Yehoshua_Bar-Hillel	['1900', '1950']
Joseph Bernstein	/wiki/Joseph_Bernstein	['1900', '1950']
