text	link	year
Roberto Benigni	/wiki/Roberto_Benigni	['1952', '2025']
Nino Castelnuovo	/wiki/Nino_Castelnuovo	['1936', '2025']
Tino Caspanello	/wiki/Tino_Caspanello	['1900', '1950']
Gino Cervi	/wiki/Gino_Cervi	['1901', '1974']
Eduardo De Filippo	/wiki/Eduardo_De_Filippo	['1900', '1984']
Robert De Niro	/wiki/Robert_De_Niro	['1943', '2025']
Manuel De Peppe	/wiki/Manuel_De_Peppe	['1970', '2025']
Vittorio Gassman	/wiki/Vittorio_Gassman	['1922', '2000']
Elio Germano	/wiki/Elio_Germano	['1980', '2025']
Giancarlo Giannini	/wiki/Giancarlo_Giannini	['1942', '2025']
Terence Hill	/wiki/Terence_Hill	['1939', '2025']
Nino Manfredi	/wiki/Nino_Manfredi	['1921', '2004']
Marcello Mastroianni	/wiki/Marcello_Mastroianni	['1924', '1996']
Amedeo Nazzari	/wiki/Amedeo_Nazzari	['1907', '1979']
Alberto Sordi	/wiki/Alberto_Sordi	['1920', '2003']
Ugo Tognazzi	/wiki/Ugo_Tognazzi	['1922', '1990']
Totò	/wiki/Tot%C3%B2	['1898', '1967']
Massimo Troisi	/wiki/Massimo_Troisi	['1953', '1994']
Rudolph Valentino	/wiki/Rudolph_Valentino	['1895', '1926']
Carlo Verdone	/wiki/Carlo_Verdone	['1950', '2025']
Gian Maria Volonté	/wiki/Gian_Maria_Volont%C3%A9	['1933', '1994']
Stefano Accorsi	/wiki/Stefano_Accorsi	['1971', '2025']
Clara Calamai	/wiki/Clara_Calamai	['1909', '1998']
Claudia Cardinale	/wiki/Claudia_Cardinale	['1938', '2025']
Eleonora Duse	/wiki/Eleonora_Duse	['1858', '1924']
Virna Lisi	/wiki/Virna_Lisi	['1936', '2025']
Gina Lollobrigida	/wiki/Gina_Lollobrigida	['1927', '2025']
Sophia Loren	/wiki/Sophia_Loren	['1934', '2025']
Anna Magnani	/wiki/Anna_Magnani	['1908', '1973']
Silvana Mangano	/wiki/Silvana_Mangano	['1930', '1989']
Mariangela Melato	/wiki/Mariangela_Melato	['1941', '2013']
Sandra Milo	/wiki/Sandra_Milo	['1933', '2025']
Alida Valli	/wiki/Alida_Valli	['1921', '2006']
Monica Vitti	/wiki/Monica_Vitti	['1931', '2025']
Monica Bellucci	/wiki/Monica_Bellucci	['30', '2025']
Asia Argento	/wiki/Asia_Argento	['20', '2025']
Ornella Muti	/wiki/Ornella_Muti	['1900', '1950']
Valeria Golino	/wiki/Valeria_Golino	['22', '2025']
Chiara Caselli	/wiki/Chiara_Caselli	['22', '2025']
Cocceius Auctus	/wiki/Cocceius_Auctus	['1900', '1950']
Hyginus Gromaticus	/wiki/Hyginus_Gromaticus	['1900', '1950']
Lucius Vitruvius Cordo	/wiki/Lucius_Vitruvius_Cordo	['1900', '1950']
Rabirius	/wiki/Rabirius_(architect)	['1900', '1950']
Vitruvius	/wiki/Vitruvius	['1900', '1950']
Guglielmo Agnelli	/wiki/Guglielmo_Agnelli	['1238', '1313']
Pietro Baseggio	/wiki/Pietro_Baseggio	['1900', '1950']
Bartolomeo Bon	/wiki/Bartolomeo_Bon	['1424', '1430']
Bertolino Bragerio	/wiki/Bertolino_Bragerio	['1900', '1950']
Jacopo Celega	/wiki/Jacopo_Celega	['1900', '1950']
Diotisalvi	/wiki/Diotisalvi	['1900', '1950']
Maginardo	/wiki/Maginardo	['1900', '1950']
Lorenzo Maitani	/wiki/Lorenzo_Maitani	['1275', '1330']
Leon Battista Alberti	/wiki/Leon_Battista_Alberti	['1404', '1472']
Galeazzo Alessi	/wiki/Galeazzo_Alessi	['1512', '1572']
Iacomo Andrea	/wiki/Iacomo_Andrea	['1900', '1950']
Antonio da Sangallo the Elder	/wiki/Antonio_da_Sangallo_the_Elder	['1453', '1534']
Antonio da Sangallo the Younger	/wiki/Antonio_da_Sangallo_the_Younger	['1484', '1546']
Donato Bramante	/wiki/Donato_Bramante	['1444', '1514']
Filippo Brunelleschi	/wiki/Filippo_Brunelleschi	['1377', '1446']
Bernardo Buontalenti	/wiki/Bernardo_Buontalenti	['1531', '1608']
Giacomo della Porta	/wiki/Giacomo_della_Porta	['1533', '1602']
Giovanni Maria Falconetto	/wiki/Giovanni_Maria_Falconetto	['1468', '1535']
Filarete	/wiki/Filarete	['1900', '1950']
Domenico Fontana	/wiki/Domenico_Fontana	['1543', '1607']
Giacomo Barozzi da Vignola	/wiki/Giacomo_Barozzi_da_Vignola	['1507', '1573']
Francesco di Giorgio	/wiki/Francesco_di_Giorgio	['1439', '1502']
Giuliano da Maiano	/wiki/Giuliano_da_Maiano	['1432', '1490']
Giuliano da Sangallo	/wiki/Giuliano_da_Sangallo	['1443', '1516']
Luciano Laurana	/wiki/Luciano_Laurana	['1420', '1479']
Pirro Ligorio	/wiki/Pirro_Ligorio	['1510', '1583']
Michelozzo	/wiki/Michelozzo	['1396', '1472']
Andrea Palladio	/wiki/Andrea_Palladio	['1508', '1580']
Baldassare Peruzzi	/wiki/Baldassare_Peruzzi	['1481', '1536']
Michele Sanmicheli	/wiki/Michele_Sanmicheli	['1484', '1559']
Jacopo Sansovino	/wiki/Jacopo_Sansovino	['1486', '1570']
Vincenzo Scamozzi	/wiki/Vincenzo_Scamozzi	['1552', '1616']
Sebastiano Serlio	/wiki/Sebastiano_Serlio	['1475', '1554']
Francesco Borromini	/wiki/Francesco_Borromini	['1599', '1667']
Cosimo Fanzago	/wiki/Cosimo_Fanzago	['1591', '1678']
Carlo Fontana	/wiki/Carlo_Fontana	['1900', '1950']
Rosario Gagliardi	/wiki/Rosario_Gagliardi	['1698', '1762']
Guarino Guarini	/wiki/Guarino_Guarini	['1624', '1683']
Filippo Juvarra	/wiki/Filippo_Juvarra	['1678', '1736']
Baldassarre Longhena	/wiki/Baldassarre_Longhena	['1598', '1682']
Carlo Maderno	/wiki/Carlo_Maderno	['1556', '1629']
Pietro da Cortona	/wiki/Pietro_da_Cortona	['1596', '1669']
Carlo Rainaldi	/wiki/Carlo_Rainaldi	['1611', '1691']
Francesco Bartolomeo Rastrelli	/wiki/Francesco_Bartolomeo_Rastrelli	['1700', '1771']
Nicola Salvi	/wiki/Nicola_Salvi	['1697', '1751']
Giovanni Battista Vaccarini	/wiki/Giovanni_Battista_Vaccarini	['1702', '1768']
Luigi Vanvitelli	/wiki/Luigi_Vanvitelli	['1700', '1773']
Nicola Bettoli	/wiki/Nicola_Bettoli	['1780', '1854']
Luigi Cagnola	/wiki/Luigi_Cagnola	['1762', '1833']
Luigi Canina	/wiki/Luigi_Canina	['1795', '1856']
Antonio Corazzi	/wiki/Antonio_Corazzi	['1792', '1877']
Alessandro Galilei	/wiki/Alessandro_Galilei	['1691', '1737']
Giacomo Leoni	/wiki/Giacomo_Leoni	['1686', '1746']
Giuseppe Venanzio Marvuglia	/wiki/Giuseppe_Venanzio_Marvuglia	['1729', '1814']
Giovanni Battista Piranesi	/wiki/Giovanni_Battista_Piranesi	['1720', '1778']
Giacomo Quarenghi	/wiki/Giacomo_Quarenghi	['1744', '1817']
Carlo Rossi	/wiki/Carlo_Rossi_(architect)	['1775', '1849']
Francesco Sabatini	/wiki/Francesco_Sabatini	['1722', '1797']
Giuseppe Valadier	/wiki/Giuseppe_Valadier	['1762', '1839']
Franco Albini	/wiki/Franco_Albini	['1905', '1977']
Carlo Aymonino	/wiki/Carlo_Aymonino	['1926', '2010']
Ernesto Basile	/wiki/Ernesto_Basile	['1857', '1932']
Achille Castiglioni	/wiki/Achille_Castiglioni	['1918', '2002']
Giancarlo De Carlo	/wiki/Giancarlo_De_Carlo	['1919', '2005']
Ignazio Gardella	/wiki/Ignazio_Gardella	['1905', '1999']
Adalberto Libera	/wiki/Adalberto_Libera	['1903', '1963']
Alessandro Mendini	/wiki/Alessandro_Mendini	['1931', '2025']
Giovanni Michelucci	/wiki/Giovanni_Michelucci	['1891', '1990']
Carlo Mollino	/wiki/Carlo_Mollino	['1905', '1973']
Luigi Moretti	/wiki/Luigi_Moretti	['1907', '1973']
Giovanni Muzio	/wiki/Giovanni_Muzio	['1893', '1982']
Marcello Piacentini	/wiki/Marcello_Piacentini	['1881', '1960']
Renzo Piano	/wiki/Renzo_Piano	['1937', '2025']
Giò Ponti	/wiki/Gi%C3%B2_Ponti	['1891', '1979']
Paolo Portoghesi	/wiki/Paolo_Portoghesi	['1931', '2025']
Aldo Rossi	/wiki/Aldo_Rossi	['1931', '1997']
Giuseppe Samonà	/wiki/Giuseppe_Samon%C3%A0	['1898', '1983']
Antonio Sant'Elia	/wiki/Antonio_Sant%27Elia	['1888', '1916']
Carlo Scarpa	/wiki/Carlo_Scarpa	['1906', '1978']
Ettore Sottsass	/wiki/Ettore_Sottsass	['1917', '2007']
Manfredo Tafuri	/wiki/Manfredo_Tafuri	['1935', '1994']
Giuseppe Terragni	/wiki/Giuseppe_Terragni	['1904', '1943']
Vittorio Gregotti	/wiki/Vittorio_Gregotti	['1927', '2025']
Mario Bellini	/wiki/Mario_Bellini	['1935', '2025']
Stefano Boeri	/wiki/Stefano_Boeri	['1956', '2025']
Martino da Como	/wiki/Martino_da_Como	['1900', '1950']
Pellegrino Artusi	/wiki/Pellegrino_Artusi	['1820', '1911']
Carlo Petrini	/wiki/Carlo_Petrini	['1949', '2025']
Cesare Antonio Accius	/wiki/Cesare_Antonio_Accius	['1900', '1950']
Pagolo Arsago	/wiki/Pagolo_Arsago	['1900', '1950']
Sebastiano Bianchi	/wiki/Sebastiano_Bianchi	['1900', '1950']
Alessandro della Via	/wiki/Alessandro_della_Via	['1900', '1950']
Baldassare Gabbugiani	/wiki/Baldassare_Gabbugiani	['1900', '1950']
Archimedes	/wiki/Archimedes	['1900', '1950']
Enrico Bernardi	/wiki/Enrico_Bernardi	['1841', '1919']
Giovanni Branca	/wiki/Giovanni_Branca	['1571', '1645']
Matteo Campani-Alimenis	/wiki/Matteo_Campani-Alimenis	['1620', '1678']
Secondo Campini	/wiki/Secondo_Campini	['1904', '1980']
Alessandro Capra	/wiki/Alessandro_Capra	['1620', '2025']
Giovanni Battista Caproni	/wiki/Giovanni_Battista_Caproni	['1886', '1957']
Mario Castoldi	/wiki/Mario_Castoldi	['1888', '1968']
