text	link	year
Affoué Amandine Allou	/wiki/Affou%C3%A9_Amandine_Allou	['1900', '1950']
Gregory Arkhurst	/wiki/Gregory_Arkhurst	['1900', '1950']
Louise Ayétotché	/wiki/Louise_Ay%C3%A9totch%C3%A9	['1900', '1950']
Max Brito	/wiki/Max_Brito	['1900', '1950']
Aruna Dindane	/wiki/Aruna_Dindane	['1900', '1950']
Didier Drogba	/wiki/Didier_Drogba	['1900', '1950']
Emmanuel Eboué	/wiki/Emmanuel_Ebou%C3%A9	['1900', '1950']
Gervinho	/wiki/Gervinho	['1900', '1950']
Salomon Kalou	/wiki/Salomon_Kalou	['1900', '1950']
Arouna Koné	/wiki/Arouna_Kon%C3%A9	['1900', '1950']
Kolo Touré	/wiki/Kolo_Tour%C3%A9	['1900', '1950']
Yaya Touré	/wiki/Yaya_Tour%C3%A9	['1900', '1950']
Wilfried Bony	/wiki/Wilfried_Bony	['1900', '1950']
Didier Zokora	/wiki/Didier_Zokora	['1900', '1950']
Seydou Doumbia	/wiki/Seydou_Doumbia	['1900', '1950']
Yann Ekra	/wiki/Yann_Ekra	['1900', '1950']
Bernard Agré	/wiki/Bernard_Agr%C3%A9	['1900', '1950']
O'Plérou	/wiki/O%27Pl%C3%A9rou	['1900', '1950']
Soum Bill	/wiki/Soum_Bill	['1900', '1950']
Frédéric Bruly Bouabré	/wiki/Fr%C3%A9d%C3%A9ric_Bruly_Bouabr%C3%A9	['1900', '1950']
Alpha Blondy	/wiki/Alpha_Blondy	['1900', '1950']
Tiken Jah Fakoly	/wiki/Tiken_Jah_Fakoly	['1900', '1950']
Ahmadou Kourouma	/wiki/Ahmadou_Kourouma	['1900', '1950']
Laetitia Ky	/wiki/Laetitia_Ky	['1900', '1950']
Noel Ahipeaud	/wiki/Noel_Ahipeaud	['1900', '1950']
Daniel Aka Ahizi	/wiki/Daniel_Aka_Ahizi	['1900', '1950']
Simeon Aké	/wiki/Simeon_Ak%C3%A9	['1900', '1950']
Laurent Akoun	/wiki/Laurent_Akoun	['1900', '1950']
Pierre Djédji Amondji	/wiki/Pierre_Dj%C3%A9dji_Amondji	['1900', '1950']
Paulette Badjo Ezouehu	/wiki/Paulette_Badjo_Ezouehu	['1900', '1950']
Youssouf Bakayoko	/wiki/Youssouf_Bakayoko	['1900', '1950']
Charles Konan Banny	/wiki/Charles_Konan_Banny	['07', '2005']
Henri Konan Bédié	/wiki/Henri_Konan_B%C3%A9di%C3%A9	['99', '1993']
Félix Houphouët-Boigny	/wiki/F%C3%A9lix_Houphou%C3%ABt-Boigny	['1900', '1950']
Ibrahim Coulibaly	/wiki/Ibrahim_Coulibaly	['1900', '1950']
Henriette Diabaté	/wiki/Henriette_Diabat%C3%A9	['05', '2003']
Seydou Diarra	/wiki/Seydou_Diarra	['1900', '1950']
Félix Doh	/wiki/F%C3%A9lix_Doh	['1900', '1950']
Daniel Kablan Duncan	/wiki/Daniel_Kablan_Duncan	['1993', '1999']
Amara Essy	/wiki/Amara_Essy	['1981', '1990']
Laurent Gbagbo	/wiki/Laurent_Gbagbo	['2000', '2010']
Simone Gbagbo	/wiki/Simone_Gbagbo	['1900', '1950']
Charles Blé Goudé	/wiki/Charles_Bl%C3%A9_Goud%C3%A9	['1900', '1950']
Robert Guéï	/wiki/Robert_Gu%C3%A9%C3%AF	['1900', '1950']
Ramata Ly-Bakayoko	/wiki/Ramata_Ly-Bakayoko	['2016', '2018']
Alassane Ouattara	/wiki/Alassane_Ouattara	['1900', '1950']
Guillaume Soro	/wiki/Guillaume_Soro	['1900', '1950']
Angèle Bassolé-Ouédraogo	/wiki/Ang%C3%A8le_Bassol%C3%A9-Ou%C3%A9draogo	['1900', '1950']
Micheline Coulibaly	/wiki/Micheline_Coulibaly	['1900', '1950']
Bernard Binlin Dadié	/wiki/Bernard_Binlin_Dadi%C3%A9	['1900', '1950']
Marguerite Abouet	/wiki/Marguerite_Abouet	['1900', '1950']
Ouattara Lagazane	/wiki/Ouattara_Lagazane	['1900', '1950']
Loza Maléombho	/wiki/Loza_Mal%C3%A9ombho	['1900', '1950']
Herve Lamizana	/wiki/Herve_Lamizana	['1900', '1950']
Bamba Mamadou	/wiki/Bamba_Mamadou	['1900', '1950']
Ibrahim Meité	/wiki/Ibrahim_Meit%C3%A9_(sprinter)	['1900', '1950']
René Djédjémel Mélédjé	/wiki/Ren%C3%A9_Dj%C3%A9dj%C3%A9mel_M%C3%A9l%C3%A9dj%C3%A9	['1900', '1950']
Léon Emmanuel Monnet	/wiki/L%C3%A9on_Emmanuel_Monnet	['1900', '1950']
Éric Pacôme N'Dri	/wiki/%C3%89ric_Pac%C3%B4me_N%27Dri	['1900', '1950']
Célestine N'Drin	/wiki/C%C3%A9lestine_N%27Drin	['1900', '1950']
Alain Ngalani	/wiki/Alain_Ngalani	['1900', '1950']
Clement N'Goran	/wiki/Clement_N%27Goran	['1900', '1950']
Michel Amani N'Guessan	/wiki/Michel_Amani_N%27Guessan	['1900', '1950']
Pascal Affi N'Guessan	/wiki/Pascal_Affi_N%27Guessan	['1900', '1950']
Aboubakar Diaby Ouattara	/wiki/Aboubakar_Diaby_Ouattara	['1900', '1950']
Alassane Ouattara	/wiki/Alassane_Ouattara	['1900', '1950']
Véronique Tadjo	/wiki/V%C3%A9ronique_Tadjo	['1900', '1950']
Gabriel Tiacoh	/wiki/Gabriel_Tiacoh	['1900', '1950']
Frank Waota	/wiki/Frank_Waota	['1900', '1950']
Francis Wodié	/wiki/Francis_Wodi%C3%A9	['1900', '1950']
Jean-Olivier Zirignon	/wiki/Jean-Olivier_Zirignon	['1900', '1950']
