text	link	year
Opal Palmer Adisa	/wiki/Opal_Palmer_Adisa	['1900', '1950']
Louisa Wells Aikman	/wiki/Louisa_Wells_Aikman	['1900', '1950']
Esther Anderson	/wiki/Esther_Anderson_(Jamaican_actress)	['1900', '1950']
Gwyneth Barber Wood	/wiki/Gwyneth_Barber_Wood	['1900', '1950']
Edward Baugh	/wiki/Edward_Baugh	['1900', '1950']
Louise Bennett-Coverley	/wiki/Louise_Bennett-Coverley	['1900', '1950']
Carl Bradshaw	/wiki/Carl_Bradshaw_(actor)	['1900', '1950']
"Jean ""Binta"" Breeze"	/wiki/Jean_%22Binta%22_Breeze	['1900', '1950']
Yvonne Brewster	/wiki/Yvonne_Brewster	['1900', '1950']
Erna Brodber	/wiki/Erna_Brodber	['1900', '1950']
Charles Hopel Brown	/wiki/Charles_Hopel_Brown	['1900', '1950']
Lady Colin Campbell	/wiki/Lady_Colin_Campbell	['1900', '1950']
Morris Cargill	/wiki/Morris_Cargill	['1900', '1950']
Margaret Cezair-Thompson	/wiki/Margaret_Cezair-Thompson	['1900', '1950']
Colin Channer	/wiki/Colin_Channer	['1900', '1950']
Staceyann Chin	/wiki/Staceyann_Chin	['1900', '1950']
Michelle Cliff	/wiki/Michelle_Cliff	['1900', '1950']
Aston Cooke	/wiki/Aston_Cooke	['1900', '1950']
Carolyn Cooper	/wiki/Carolyn_Cooper	['1900', '1950']
Christine Craig	/wiki/Christine_Craig	['1900', '1950']
Kwame Dawes	/wiki/Kwame_Dawes	['1900', '1950']
Jean D'Costa	/wiki/Jean_D%27Costa	['1900', '1950']
John Figueroa	/wiki/John_Figueroa	['1900', '1950']
Honor Ford-Smith	/wiki/Honor_Ford-Smith	['1900', '1950']
Kirk Fraser	/wiki/Kirk_Fraser	['1900', '1950']
Ryan Fraser	/wiki/Ryan_Fraser	['1900', '1950']
Marcus Garvey	/wiki/Marcus_Garvey	['1900', '1950']
Malcolm Gladwell	/wiki/Malcolm_Gladwell	['1900', '1950']
Thomas Glave	/wiki/Thomas_Glave	['1900', '1950']
Lorna Goodison	/wiki/Lorna_Goodison	['1900', '1950']
Mona Hammond	/wiki/Mona_Hammond	['1900', '1950']
Thomas Duffus Hardy	/wiki/Thomas_Duffus_Hardy	['1900', '1950']
Hubert Henry Harrison	/wiki/Hubert_Henry_Harrison	['1900', '1950']
John Edgar Colwell Hearne	/wiki/John_Edgar_Colwell_Hearne	['1900', '1950']
Perry Henzell	/wiki/Perry_Henzell	['1900', '1950']
Stephen Hopkins	/wiki/Stephen_Hopkins_(director)	['1900', '1950']
Marlon James	/wiki/Marlon_James_(novelist)	['1900', '1950']
Vere Johns	/wiki/Vere_Johns	['1900', '1950']
Linton Kwesi Johnson	/wiki/Linton_Kwesi_Johnson	['1900', '1950']
Grace Jones	/wiki/Grace_Jones	['1900', '1950']
Roger Mais	/wiki/Roger_Mais	['1900', '1950']
Edna Manley	/wiki/Edna_Manley	['1900', '1950']
Louis Marriott	/wiki/Louis_Marriott	['1900', '1950']
Una Marson	/wiki/Una_Marson	['1900', '1950']
Claude McKay	/wiki/Claude_McKay	['1900', '1950']
Alecia McKenzie	/wiki/Alecia_McKenzie	['1900', '1950']
Anthony McNeill	/wiki/Anthony_McNeill	['1900', '1950']
Carmen McRae	/wiki/Carmen_McRae	['1900', '1950']
Brian Meeks	/wiki/Brian_Meeks	['1900', '1950']
Kei Miller	/wiki/Kei_Miller	['1900', '1950']
Pamela Mordecai	/wiki/Pamela_Mordecai	['1900', '1950']
Mervyn Morris	/wiki/Mervyn_Morris	['1900', '1950']
Mutabaruka	/wiki/Mutabaruka	['1900', '1950']
Oku Onuora	/wiki/Oku_Onuora	['1900', '1950']
Geoffrey Philp	/wiki/Geoffrey_Philp	['1900', '1950']
Patricia Powell	/wiki/Patricia_Powell	['1900', '1950']
Claudia Rankine	/wiki/Claudia_Rankine	['1900', '1950']
Barry Reckord	/wiki/Barry_Reckord	['1900', '1950']
Lloyd Reckord	/wiki/Lloyd_Reckord	['1900', '1950']
