text	link	year
Template:TopicTOC-Country-Japan	/wiki/Template:TopicTOC-Country-Japan	['1900', '1950']
Template talk:TopicTOC-Country-Japan	/wiki/Template_talk:TopicTOC-Country-Japan	['1900', '1950']
Yoshisuke Aikawa	/wiki/Yoshisuke_Aikawa	['1880', '1967']
Takeo Fujisawa	/wiki/Takeo_Fujisawa	['1910', '1988']
Hirotoshi Honda	/wiki/Hirotoshi_Honda	['1900', '1950']
Konosuke Matsushita	/wiki/Konosuke_Matsushita	['1900', '1950']
Soichiro Honda	/wiki/Soichiro_Honda	['1906', '1991']
Jujiro Matsuda	/wiki/Jujiro_Matsuda	['1875', '1952']
Michio Suzuki	/wiki/Michio_Suzuki_(inventor)	['1887', '1982']
Eiji Toyoda	/wiki/Eiji_Toyoda	['1913', '2013']
Kiichiro Toyoda	/wiki/Kiichiro_Toyoda	['1894', '1952']
Sakichi Toyoda	/wiki/Sakichi_Toyoda	['1867', '1930']
Mori Arinori	/wiki/Mori_Arinori	['1900', '1950']
Tsunesaburō Makiguchi	/wiki/Tsunesabur%C5%8D_Makiguchi	['1900', '1950']
Midori Suzuki	/wiki/Midori_Suzuki_(educator)	['1900', '1950']
Fukuzawa Yukichi	/wiki/Fukuzawa_Yukichi	['1900', '1950']
Yukio Tsuda	/wiki/Yukio_Tsuda_(professor)	['1900', '1950']
Saburo Ienaga	/wiki/Saburo_Ienaga	['1900', '1950']
Kanda Nobuo	/wiki/Kanda_Nobuo	['1900', '1950']
Masao Maruyama	/wiki/Masao_Maruyama_(scholar)	['1900', '1950']
Naitō Torajirō	/wiki/Nait%C5%8D_Torajir%C5%8D	['1900', '1950']
Abe Masakatsu	/wiki/Abe_Masakatsu	['1900', '1950']
Adachi Kagemori	/wiki/Adachi_Kagemori	['1900', '1950']
William Adams	/wiki/William_Adams_(sailor,_born_1564)	['1900', '1950']
Akao Kiyotsuna	/wiki/Akao_Kiyotsuna	['1900', '1950']
Akechi Mitsuhide	/wiki/Akechi_Mitsuhide	['1900', '1950']
Akiyama Nobutomo	/wiki/Akiyama_Nobutomo	['1900', '1950']
Amago Haruhisa	/wiki/Amago_Haruhisa	['1900', '1950']
Amago Yoshihisa	/wiki/Amago_Yoshihisa	['1900', '1950']
Amago clan	/wiki/Amago_clan	['1900', '1950']
Ankokuji Ekei	/wiki/Ankokuji_Ekei	['1900', '1950']
Aochi Shigetsuna	/wiki/Aochi_Shigetsuna	['1900', '1950']
Arai Hakuseki	/wiki/Arai_Hakuseki	['1900', '1950']
Araki Murashige	/wiki/Araki_Murashige	['1900', '1950']
Arima Kihei	/wiki/Arima_Kihei	['1900', '1950']
Asakura Yoshikage	/wiki/Asakura_Yoshikage	['1900', '1950']
Azai Hisamasa	/wiki/Azai_Hisamasa	['1900', '1950']
Azai Nagamasa	/wiki/Azai_Nagamasa	['1900', '1950']
Azai Sukemasa	/wiki/Azai_Sukemasa	['1900', '1950']
Baba Nobufusa	/wiki/Baba_Nobufusa	['1900', '1950']
Bessho Nagaharu	/wiki/Bessho_Nagaharu	['1900', '1950']
Chōsokabe Morichika	/wiki/Ch%C5%8Dsokabe_Morichika	['1900', '1950']
Chōsokabe Kunichika	/wiki/Ch%C5%8Dsokabe_Kunichika	['1900', '1950']
