text	link	year
Mediterranean Sea	/wiki/Mediterranean_Sea	['1900', '1950']
Jordan River	/wiki/Jordan_River	['1900', '1950']
Syria	/wiki/Syria_(region)	['1900', '1950']
Ammon	/wiki/Ammon	['1900', '1950']
Moab	/wiki/Moab	['1900', '1950']
Edom	/wiki/Edom	['1900', '1950']
Nabataeans	/wiki/Nabataeans	['1900', '1950']
Ghassanids	/wiki/Ghassanids	['1900', '1950']
Caliphate	/wiki/Caliphate	['1900', '1950']
Oultrejordain	/wiki/Oultrejordain	['1900', '1950']
Ottoman Empire	/wiki/Ottoman_Empire	['1900', '1950']
Hashemites	/wiki/Hashemites	['1900', '1950']
Arab Revolt	/wiki/Arab_Revolt	['1900', '1950']
Sykes–Picot Agreement	/wiki/Sykes%E2%80%93Picot_Agreement	['1900', '1950']
Transjordan memorandum	/wiki/Transjordan_memorandum	['1900', '1950']
British Mandate for Palestine	/wiki/British_Mandate_for_Palestine_(legal_instrument)	['1900', '1950']
Kura Rebellion	/wiki/Kura_Rebellion	['1900', '1950']
Adwan Rebellion	/wiki/Adwan_Rebellion	['1900', '1950']
Ikhwan raids on Transjordan	/wiki/Ikhwan_raids_on_Transjordan	['1900', '1950']
1948 Arab–Israeli War	/wiki/1948_Arab%E2%80%93Israeli_War	['1900', '1950']
Six-Day War	/wiki/Six-Day_War	['1900', '1950']
Israel–Jordan peace treaty	/wiki/Israel%E2%80%93Jordan_peace_treaty	['1900', '1950']
Jordan	/wiki/Jordan#Globalization	['1900', '1950']
King Abdullah Design and Development Bureau	/wiki/King_Abdullah_Design_and_Development_Bureau	['1900', '1950']
Petra	/wiki/Petra	['1900', '1950']
Jordan Atomic Energy Commission	/wiki/Jordan_Atomic_Energy_Commission	['1900', '1950']
Royal Naval Force	/wiki/Royal_Naval_Force	['1900', '1950']
Joint Special Operations Command	/wiki/Joint_Special_Operations_Command_(Jordan)	['1900', '1950']
Royal Maintenance Corps	/wiki/Royal_Maintenance_Corps_(Jordan)	['1900', '1950']
General Intelligence Directorate	/wiki/General_Intelligence_Directorate_(Jordan)	['1900', '1950']
Jordan Royal Guard	/wiki/Jordan_Royal_Guard	['1900', '1950']
King Abdullah Design and Development Bureau	/wiki/King_Abdullah_Design_and_Development_Bureau	['1900', '1950']
Arab Legion	/wiki/Arab_Legion	['1900', '1950']
Queen Alia International Airport	/wiki/Queen_Alia_International_Airport	['1900', '1950']
Aqaba	/wiki/Aqaba	['1900', '1950']
Jordan Radio and Television Corporation	/wiki/Jordan_Radio_and_Television_Corporation	['1900', '1950']
ATV Jordan	/wiki/ATV_Jordan	['1900', '1950']
Template:Jordan Series	/wiki/Template:Jordan_Series	['1900', '1950']
Template talk:Jordan Series	/wiki/Template_talk:Jordan_Series	['1900', '1950']
Sherif Hussein ibn Ali	/wiki/Sherif_Hussein_ibn_Ali	['1900', '1950']
Wasfi Al-Tal	/wiki/Wasfi_Al-Tal	['1900', '1950']
Maha Ali	/wiki/Maha_Ali_(Politician)	['1900', '1950']
Ismael Babouk	/wiki/Ismael_Babouk	['1909', '1911']
Fahad Ensour	/wiki/Fahad_Ensour	['1900', '1950']
Faisal al-Fayez	/wiki/Faisal_al-Fayez	['1900', '1950']
Thouqan Hindawi	/wiki/Thouqan_Hindawi	['1900', '1950']
Awn Khasawneh	/wiki/Awn_Khasawneh	['1900', '1950']
Bisher Al-Khasawneh	/wiki/Bisher_Al-Khasawneh	['1900', '1950']
Prince Rashed Al-Khuzai	/wiki/Prince_Rashed_Al-Khuzai	['1900', '1950']
