text	link	year
Shaken Aimanov	/wiki/Shaken_Aimanov	['1914', '1970']
Timur Bekmambetov	/wiki/Timur_Bekmambetov	['1961', '2025']
Rashid Nugmanov	/wiki/Rashid_Nugmanov	['1954', '2025']
Gulshat Omarova	/wiki/Gulshat_Omarova	['1968', '2025']
Berik Aitzhanov	/wiki/Berik_Aitzhanov	['1979', '2025']
Ruslana Korshunova	/wiki/Ruslana_Korshunova	['1987', '2008']
Alyona Subbotina	/wiki/Alyona_Subbotina	['1990', '2025']
Altynai Asylmuratova	/wiki/Altynai_Asylmuratova	['1961', '2025']
Abylkhan Kasteev	/wiki/Abylkhan_Kasteev	['1904', '1973']
Timur Kulibayev	/wiki/Timur_Kulibayev	['1966', '2025']
Oleg Novachuk	/wiki/Oleg_Novachuk	['1900', '1950']
Dzhambulat Zhakievich Sarsenov	/wiki/Dzhambulat_Zhakievich_Sarsenov	['1961', '2025']
Kurmangazy Sagyrbayuly	/wiki/Kurmangazy_Sagyrbayuly	['1823', '1896']
Jambyl Jabayev	/wiki/Jambyl_Jabayev	['1846', '1945']
Makhambet Otemisuly	/wiki/Makhambet_Otemisuly	['1804', '1846']
Kulyash Baiseitova	/wiki/Kulyash_Baiseitova	['1912', '1957']
Roza Baglanova	/wiki/Roza_Baglanova	['1922', '2011']
Shamshi Kaldayakov	/wiki/Shamshi_Kaldayakov	['1930', '1992']
Erik Kurmangaliev	/wiki/Erik_Kurmangaliev	['1959', '2008']
Roza Rymbaeva	/wiki/Roza_Rymbaeva	['1957', '2025']
Marat Bisengaliev	/wiki/Marat_Bisengaliev	['1962', '2025']
Dos Mukasan	/wiki/Dos_Mukasan	['1900', '1950']
Tolkyn Zabirova	/wiki/Tolkyn_Zabirova	['1970', '2025']
Alan Buribaev	/wiki/Alan_Buribaev	['1979', '2025']
Kairat Nurtas	/wiki/Kairat_Nurtas	['1989', '2025']
Ulytau	/wiki/Ulytau	['1900', '1950']
Ninety One	/wiki/Ninety_One	['1900', '1950']
Dimash Kudaibergen	/wiki/Dimash_Kudaibergen	['1994', '2025']
Ablai Khan	/wiki/Ablai_Khan	['1711', '1781']
Abul Khair Khan	/wiki/Abul_Khair_Khan	['1693', '1748']
Zhumabay Shayakhmetov	/wiki/Zhumabay_Shayakhmetov	['1902', '1966']
Dinmukhamed Kunayev	/wiki/Dinmukhamed_Kunayev	['1912', '1993']
Nursultan Nazarbaev	/wiki/Nursultan_Nazarbaev	['1940', '2025']
Kerei Khan	/wiki/Kerei_Khan	['1456', '1465']
Janybek Khan	/wiki/Janybek_Khan	['1428', '1480']
Burunduk Khan	/wiki/Burunduk_Khan	['1480', '1510']
Kasym Khan	/wiki/Kasym_Khan	['1445', '1521']
Kenesary Khan	/wiki/Kenesary_Khan	['1802', '1847']
Tauke Khan	/wiki/Tauke_Khan	['1680', '1718']
Esim Khan	/wiki/Esim_Khan	['1900', '1950']
Al-Farabi	/wiki/Al-Farabi	['872', '950']
Khoja Ahmad Yasavi	/wiki/Khoja_Ahmad_Yasavi	['1106', '1166']
Abay Qunanbayuli	/wiki/Abay_Qunanbayuli	['1845', '1904']
Alikhan Bokeikhanov	/wiki/Alikhan_Bokeikhanov	['1866', '1937']
Akhmet Baitursynov	/wiki/Akhmet_Baitursynov	['1873', '1937']
Mustafa Shokay	/wiki/Mustafa_Shokay	['1890', '1941']
Osman Batur	/wiki/Osman_Batur	['1899', '1951']
Mirjaqip Dulatuli	/wiki/Mirjaqip_Dulatuli	['1885', '1935']
Eset Kotibaruli	/wiki/Eset_Kotibaruli	['1803', '1889']
Isatay Taymanuly	/wiki/Isatay_Taymanuly	['1791', '1838']
Makhambet Otemisuly	/wiki/Makhambet_Otemisuly	['1804', '1846']
Olzhas Suleimenov	/wiki/Olzhas_Suleimenov	['1936', '2025']
Kassym-Jomart Tokayev	/wiki/Kassym-Jomart_Tokayev	['1953', '2025']
Karim Masimov	/wiki/Karim_Masimov	['1965', '2025']
Imangali Tasmagambetov	/wiki/Imangali_Tasmagambetov	['1956', '2025']
Byrganym Aytimova	/wiki/Byrganym_Aytimova	['1953', '2025']
Janabil	/wiki/Janabil	['1934', '2025']
Gulzhana Karagusova	/wiki/Gulzhana_Karagusova	['1950', '2025']
Ashat Kerimbay	/wiki/Ashat_Kerimbay	['1947', '2025']
Oralbeg Abdu Kerimovic	/wiki/Oralbeg_Abdu_Kerimovic	['1900', '1950']
Yurii Khitrin	/wiki/Yurii_Khitrin	['1900', '1950']
Bolat Nurgaliyev	/wiki/Bolat_Nurgaliyev	['1951', '2025']
Qairat Rysqulbekov	/wiki/Qairat_Rysqulbekov	['1966', '1988']
Kanat Saudabayev	/wiki/Kanat_Saudabayev	['1946', '2025']
Zhumabay Shayakhmetov	/wiki/Zhumabay_Shayakhmetov	['1902', '1966']
Marat Tazhin	/wiki/Marat_Tazhin	['1960', '2025']
Zhanseit Tuimebayev	/wiki/Zhanseit_Tuimebayev	['1958', '2025']
Aman Tuleev	/wiki/Aman_Tuleev	['1944', '2025']
Nursultan Nazarbayev	/wiki/Nursultan_Nazarbayev	['1900', '1950']
Nurken Abdirov	/wiki/Nurken_Abdirov	['1919', '1942']
Toktar Aubakirov	/wiki/Toktar_Aubakirov	['1946', '2025']
Raiymbek Batyr	/wiki/Raiymbek_Batyr	['1900', '1950']
Talgat Begeldinov	/wiki/Talgat_Begeldinov	['1922', '2025']
Syrym Datuly	/wiki/Syrym_Datuly	['1712', '1802']
Khiuaz Dospanova	/wiki/Khiuaz_Dospanova	['1992', '2008']
Manshuk Mametova	/wiki/Manshuk_Mametova	['1922', '1943']
Baurzhan Momyshuly	/wiki/Baurzhan_Momyshuly	['1910', '1982']
Talgat Musabayev	/wiki/Talgat_Musabayev	['1951', '2025']
Rakhimzhan Qoshqarbaev	/wiki/Rakhimzhan_Qoshqarbaev	['1924', '1988']
Alikhan Bokeikhanov	/wiki/Alikhan_Bokeikhanov	['1866', '1937']
Shafik Chokin	/wiki/Shafik_Chokin	['1912', '2003']
Kanysh Satpayev	/wiki/Kanysh_Satpayev	['1899', '1964']
Ken Alibek	/wiki/Ken_Alibek	['1950', '2025']
Kaisha Atakhanova	/wiki/Kaisha_Atakhanova	['1957', '2025']
Al-Farabi	/wiki/Al-Farabi	['872', '950']
Askar Dzhumadildayev	/wiki/Askar_Dzhumadildayev	['1956', '2025']
Mirza Muhammad Haidar Dughlat	/wiki/Mirza_Muhammad_Haidar_Dughlat	['1900', '1950']
Sarsen Amanzholov	/wiki/Sarsen_Amanzholov	['1903', '1958']
Orazak Ismagulov	/wiki/Orazak_Ismagulov	['1930', '2025']
Zhenis Kembayev	/wiki/Zhenis_Kembayev	['1975', '2025']
Marat Aldangorovich Sarsembaev	/wiki/Marat_Aldangorovich_Sarsembaev	['1947', '2025']
Serik Konakbaev	/wiki/Serik_Konakbaev	['1959', '2025']
Bolat Niyazymbetov	/wiki/Bolat_Niyazymbetov	['1972', '2025']
Yermakhan Ibraimov	/wiki/Yermakhan_Ibraimov	['1972', '2025']
Bekzat Sattarkhanov	/wiki/Bekzat_Sattarkhanov	['1980', '2000']
Bulat Jumadilov	/wiki/Bulat_Jumadilov	['1973', '2025']
Mukhtarkhan Dildabekov	/wiki/Mukhtarkhan_Dildabekov	['1976', '2025']
Bakhtiyar Artayev	/wiki/Bakhtiyar_Artayev	['1983', '2025']
Serik Yeleuov	/wiki/Serik_Yeleuov	['1980', '2025']
Bakhyt Sarsekbayev	/wiki/Bakhyt_Sarsekbayev	['1981', '2025']
Yerkebulan Shynaliyev	/wiki/Yerkebulan_Shynaliyev	['1987', '2025']
Serik Sapiyev	/wiki/Serik_Sapiyev	['1983', '2025']
Kanat Islam	/wiki/Kanat_Islam	['1984', '2025']
Yerdos Zhanabergenov	/wiki/Yerdos_Zhanabergenov	['1983', '2025']
Gennady Golovkin	/wiki/Gennady_Golovkin	['1982', '2025']
Shamil Serikov	/wiki/Shamil_Serikov	['1956', '1989']
Zhaqsylyq Üshkempirov	/wiki/Zhaqsylyq_%C3%9Cshkempirov	['1951', '2025']
Daulet Turlykhanov	/wiki/Daulet_Turlykhanov	['1963', '2025']
Nurbakyt Tengizbayev	/wiki/Nurbakyt_Tengizbayev	['1983', '2025']
Asset Mambetov	/wiki/Asset_Mambetov	['1982', '2025']
Maulen Mamyrov	/wiki/Maulen_Mamyrov	['1970', '2025']
Islam Bairamukov	/wiki/Islam_Bairamukov	['1971', '2025']
Askhat Zhitkeyev	/wiki/Askhat_Zhitkeyev	['1981', '2025']
Yeldos Smetov	/wiki/Yeldos_Smetov	['1992', '2025']
Zhansaya Abdumalik	/wiki/Zhansaya_Abdumalik	['2000', '2025']
Darmen Sadvakasov	/wiki/Darmen_Sadvakasov	['1978', '2025']
Evgeni Nabokov	/wiki/Evgeni_Nabokov	['1975', '2025']
Aigerim Aitymova	/wiki/Aigerim_Aitymova	['1993', '2025']
