text	link	year
Koitalel Arap Samoei	/wiki/Koitalel_Arap_Samoei	['1900', '1950']
Me Katilili Wa Menza	/wiki/Me_Katilili_Wa_Menza	['1900', '1950']
Dedan Kimathi	/wiki/Dedan_Kimathi	['1900', '1950']
Musa Mwariama	/wiki/Musa_Mwariama	['1900', '1950']
Waruhiu Itote	/wiki/Waruhiu_Itote	['1900', '1950']
Jomo Kenyatta	/wiki/Jomo_Kenyatta	['1900', '1950']
Esau Khamati Oriedo	/wiki/Esau_Khamati_Oriedo	['1900', '1950']
Josiah Mwangi Kariuki	/wiki/Josiah_Mwangi_Kariuki	['1900', '1950']
Jaramogi Oginga Odinga	/wiki/Jaramogi_Oginga_Odinga	['1900', '1950']
Ramogi Achieng Oneko	/wiki/Ramogi_Achieng_Oneko	['1900', '1950']
Paul Ngei	/wiki/Paul_Ngei	['1900', '1950']
Tom Mboya	/wiki/Tom_Mboya	['1900', '1950']
Masinde Muliro	/wiki/Masinde_Muliro	['1900', '1950']
Kubu Kubu	/wiki/Kubu_Kubu	['1900', '1950']
Moody Awori	/wiki/Moody_Awori	['1900', '1950']
Nicholas Biwott	/wiki/Nicholas_Biwott	['1900', '1950']
Cyrus Jirongo	/wiki/Cyrus_Jirongo	['1900', '1950']
Esther Passaris	/wiki/Esther_Passaris	['1900', '1950']
Josephat Karanja	/wiki/Josephat_Karanja	['1900', '1950']
J. M. Kariuki	/wiki/J._M._Kariuki	['1900', '1950']
Uhuru Kenyatta	/wiki/Uhuru_Kenyatta	['1900', '1950']
Mwai Kibaki	/wiki/Mwai_Kibaki	['1900', '1950']
Esau Khamati Oriedo	/wiki/Esau_Khamati_Oriedo	['1900', '1950']
Michael Wamalwa Kijana	/wiki/Michael_Wamalwa_Kijana	['1900', '1950']
Kenneth Matiba	/wiki/Kenneth_Matiba	['1900', '1950']
Tom Mboya	/wiki/Tom_Mboya	['1900', '1950']
Musalia Mudavadi	/wiki/Musalia_Mudavadi	['1900', '1950']
Joseph Murumbi	/wiki/Joseph_Murumbi	['1900', '1950']
Simeon Nyachae	/wiki/Simeon_Nyachae	['1900', '1950']
Daisy Nyongesa	/wiki/Daisy_Nyongesa	['1989', '2025']
Charity Ngilu	/wiki/Charity_Ngilu	['1900', '1950']
Raila Odinga	/wiki/Raila_Odinga	['1900', '1950']
Quincy Timberlake	/wiki/Quincy_Timberlake	['1900', '1950']
Appolo Ohanga	/wiki/Appolo_Ohanga	['1900', '1950']
James Orengo	/wiki/James_Orengo	['1900', '1950']
Robert Ouko	/wiki/Robert_Ouko_(politician)	['1900', '1950']
Pio Gama Pinto	/wiki/Pio_Gama_Pinto	['1900', '1950']
Charles Rubia	/wiki/Charles_Rubia	['1900', '1950']
George Saitoti	/wiki/George_Saitoti	['1900', '1950']
Makhan Singh	/wiki/Makhan_Singh_(Kenyan_politician)	['1900', '1950']
Fitz R S de Souza	/wiki/Fitz_R_S_de_Souza	['1900', '1950']
Kalonzo Musyoka	/wiki/Kalonzo_Musyoka	['1900', '1950']
William Ruto	/wiki/William_Ruto	['1900', '1950']
Martha Karua	/wiki/Martha_Karua	['1900', '1950']
John Michuki	/wiki/John_Michuki	['1900', '1950']
Njenga Karume	/wiki/Njenga_Karume	['1900', '1950']
Jeremiah Nyagah	/wiki/Jeremiah_Nyagah	['1900', '1950']
Martin Nyaga Wambora	/wiki/Martin_Nyaga_Wambora	['1900', '1950']
Samuel Kivuitu	/wiki/Samuel_Kivuitu	['1900', '1950']
Prof. Crispus Makau Kiamba	/wiki/Prof._Crispus_Makau_Kiamba	['1900', '1950']
Esau Khamati Oriedo	/wiki/Esau_Khamati_Oriedo	['1900', '1950']
Samwel Mohochi	/wiki/Samwel_Mohochi	['1900', '1950']
Edward H Ntalami	/wiki/Edward_H_Ntalami	['1900', '1950']
Chris Kirubi	/wiki/Chris_Kirubi	['1900', '1950']
