text	link	year
Alupa dynasty	/wiki/Alupa_dynasty	['1900', '1950']
Ahmadnagar Sultanate	/wiki/Ahmadnagar_Sultanate	['1900', '1950']
Kodagu district	/wiki/Kodagu_district	['1900', '1950']
Kannada people	/wiki/Kannada_people	['1900', '1950']
Tulu people	/wiki/Tulu_people	['1900', '1950']
Konkani people	/wiki/Konkani_people	['1900', '1950']
Veerashaiva	/wiki/Veerashaiva	['1900', '1950']
Kota Brahmins	/wiki/Kota_Brahmins	['1900', '1950']
Komarpant	/wiki/Komarpant	['1900', '1950']
Vokkaliga	/wiki/Vokkaliga	['1900', '1950']
Kodagu Gowda	/wiki/Kodagu_Gowda	['1900', '1950']
Tulu Gowda	/wiki/Tulu_Gowda	['1900', '1950']
Kunchitiga	/wiki/Kunchitiga	['1900', '1950']
Karnataka ethnic groups	/wiki/Karnataka_ethnic_groups	['1900', '1950']
Tulu Nadu state movement	/wiki/Tulu_Nadu_state_movement	['1900', '1950']
Belgaum border dispute	/wiki/Belgaum_border_dispute	['1900', '1950']
Gokak agitation	/wiki/Gokak_agitation	['1900', '1950']
Kannada	/wiki/Kannada	['1900', '1950']
Beary language	/wiki/Beary_language	['1900', '1950']
Konkani language	/wiki/Konkani_language	['1900', '1950']
Kurumba language	/wiki/Kurumba_language	['1900', '1950']
Sholaga language	/wiki/Sholaga_language	['1900', '1950']
Tulu language	/wiki/Tulu_language	['1900', '1950']
Urdu	/wiki/Urdu	['1900', '1950']
Urali language	/wiki/Urali_language	['1900', '1950']
Hindu mythology	/wiki/Hindu_mythology	['1900', '1950']
Indian epic poetry	/wiki/Indian_epic_poetry#Kannada_epic_poetry	['1900', '1950']
Vedic mythology	/wiki/Vedic_mythology	['1900', '1950']
Buddhist mythology	/wiki/Buddhist_mythology	['1900', '1950']
Udupi cuisine	/wiki/Udupi_cuisine	['1900', '1950']
Mangalorean cuisine	/wiki/Mangalorean_cuisine	['1900', '1950']
Mavalli Tiffin Room	/wiki/Mavalli_Tiffin_Room	['1900', '1950']
Kannada Rajyotsava	/wiki/Kannada_Rajyotsava	['1900', '1950']
Lingayatism	/wiki/Lingayatism	['1900', '1950']
Kannada inscriptions	/wiki/Kannada_inscriptions	['1900', '1950']
Kannada poetry	/wiki/Kannada_poetry	['1900', '1950']
Kannada literature	/wiki/Kannada_literature	['1900', '1950']
Extinct Kannada literature	/wiki/Extinct_Kannada_literature	['1900', '1950']
Kadamba alphabet	/wiki/Kadamba_alphabet	['1900', '1950']
Telugu-Kannada script	/wiki/Telugu-Kannada_script	['1900', '1950']
Tigalari script	/wiki/Tigalari_script	['1900', '1950']
Kannada Sahitya Sammelana	/wiki/Kannada_Sahitya_Sammelana	['1900', '1950']
Jaanapada	/wiki/Jaanapada	['1900', '1950']
Haridasas and Carnatic music	/wiki/Haridasas_and_Carnatic_music	['1900', '1950']
Vasanta Habba	/wiki/Vasanta_Habba	['1900', '1950']
Yakshagana	/wiki/Yakshagana	['1900', '1950']
Aati kalenja	/wiki/Aati_kalenja	['1900', '1950']
Togalu Gombeyaata	/wiki/Togalu_Gombeyaata	['1900', '1950']
Tala-Maddale	/wiki/Tala-Maddale	['1900', '1950']
Karnataka State Cricket Association	/wiki/Karnataka_State_Cricket_Association	['1900', '1950']
Bangalore Open	/wiki/Bangalore_Open	['1900', '1950']
Celebrity Badminton League	/wiki/Celebrity_Badminton_League	['1900', '1950']
Mahakuta Pillar	/wiki/Mahakuta_Pillar	['1900', '1950']
Tyagada Brahmadeva Pillar	/wiki/Tyagada_Brahmadeva_Pillar	['1900', '1950']
Gol Gumbaz	/wiki/Gol_Gumbaz	['1900', '1950']
Gumbaz, Srirangapatna	/wiki/Gumbaz,_Srirangapatna	['1900', '1950']
Karnataka Legislative Assembly	/wiki/Karnataka_Legislative_Assembly	['1900', '1950']
Karnataka Public Works Department	/wiki/Karnataka_Public_Works_Department	['1900', '1950']
Kannada Sahitya Parishat	/wiki/Kannada_Sahitya_Parishat	['1900', '1950']
Sadguru Appayya Swami	/wiki/Sadguru_Appayya_Swami	['1885', '1956']
Swami Narayanananda	/wiki/Swami_Narayanananda	['1900', '1950']
Swami Shambhavananda	/wiki/Swami_Shambhavananda	['1900', '1950']
Pandyanda Belliappa	/wiki/Pandyanda_Belliappa	['1900', '1950']
C M Poonacha	/wiki/C_M_Poonacha	['1900', '1950']
Kodandera Madappa Cariappa	/wiki/Kodandera_Madappa_Cariappa	['1900', '1950']
K. S. Thimayya	/wiki/K._S._Thimayya	['1900', '1950']
Ajjamada B Devaiah	/wiki/Ajjamada_B_Devaiah	['1900', '1950']
Mangerira Chinnappa Muthanna	/wiki/Mangerira_Chinnappa_Muthanna	['1900', '1950']
Ashwini Ponnappa	/wiki/Ashwini_Ponnappa	['1900', '1950']
Jagat and Anita Nanjappa	/wiki/Jagat_and_Anita_Nanjappa	['1900', '1950']
Joshna Chinappa	/wiki/Joshna_Chinappa	['1900', '1950']
Rohan Bopanna	/wiki/Rohan_Bopanna	['1900', '1950']
K. P. Appanna	/wiki/K._P._Appanna	['1900', '1950']
Robin Uthappa	/wiki/Robin_Uthappa	['1900', '1950']
A B Subbaiah	/wiki/A_B_Subbaiah	['1900', '1950']
Len Aiyappa	/wiki/Len_Aiyappa	['1900', '1950']
M. M. Somaya	/wiki/M._M._Somaya	['1900', '1950']
M. P. Ganesh	/wiki/M._P._Ganesh	['1900', '1950']
S. K. Uthappa	/wiki/S._K._Uthappa	['1900', '1950']
B. B. Ashok Kumar	/wiki/B._B._Ashok_Kumar	['1900', '1950']
C B Muthamma	/wiki/C_B_Muthamma	['1900', '1950']
C. G. Somiah	/wiki/C._G._Somiah	['1900', '1950']
Ketoli Chengappa	/wiki/Ketoli_Chengappa	['1900', '1950']
Rao Bahadur IGP P.K.Monnappa	/wiki/Rao_Bahadur_IGP_P.K.Monnappa	['1900', '1950']
Prema	/wiki/Prema_(Kannada_actress)	['1900', '1950']
Rashmika Mandanna	/wiki/Rashmika_Mandanna	['1900', '1950']
Nishan	/wiki/Nishan_(actor)	['1900', '1950']
Appachcha Kavi	/wiki/Appachcha_Kavi	['1900', '1950']
Boverianda Nanjamma and Chinnappa	/wiki/Boverianda_Nanjamma_and_Chinnappa	['1900', '1950']
B D Ganapathy	/wiki/B_D_Ganapathy	['1900', '1950']
I. M. Muthanna	/wiki/I._M._Muthanna	['1900', '1950']
Nadikerianda Chinnappa	/wiki/Nadikerianda_Chinnappa	['1900', '1950']
N S Narendra	/wiki/N_S_Narendra	['1900', '1950']
Prema Cariappa	/wiki/Prema_Cariappa	['1900', '1950']
