text	link	year
Lulzim Basha	/wiki/Lulzim_Basha	['1900', '1950']
Isa Boletini	/wiki/Isa_Boletini	['1900', '1950']
Agim Çeku	/wiki/Agim_%C3%87eku	['1900', '1950']
Bajram Curri	/wiki/Bajram_Curri	['1900', '1950']
Nexhat Daci	/wiki/Nexhat_Daci	['1900', '1950']
Nexhip Draga	/wiki/Nexhip_Draga	['1900', '1950']
Azem Galica	/wiki/Azem_Galica	['1900', '1950']
Shote Galica	/wiki/Shote_Galica	['1900', '1950']
Ramush Haradinaj	/wiki/Ramush_Haradinaj	['05', '2004']
Sinan Hasani	/wiki/Sinan_Hasani	['1986', '1987']
Ali Kelmendi	/wiki/Ali_Kelmendi	['1900', '1950']
Hasan Prishtina	/wiki/Hasan_Prishtina	['1900', '1950']
Ymer Prizreni	/wiki/Ymer_Prizreni	['1900', '1950']
Bajram Rexhepi	/wiki/Bajram_Rexhepi	['1900', '1950']
Ibrahim Rugova	/wiki/Ibrahim_Rugova	['1992', '2000']
Idriz Seferi	/wiki/Idriz_Seferi	['1900', '1950']
Fatmir Sejdiu	/wiki/Fatmir_Sejdiu	['2006', '2010']
Mic Sokoli	/wiki/Mic_Sokoli	['1900', '1950']
Hashim Thaçi	/wiki/Hashim_Tha%C3%A7i	['1900', '1950']
Azem Vllasi	/wiki/Azem_Vllasi	['1900', '1950']
Asim Vokshi	/wiki/Asim_Vokshi	['1900', '1950']
Sulejman Vokshi	/wiki/Sulejman_Vokshi	['1900', '1950']
Haxhi Zeka	/wiki/Haxhi_Zeka	['1900', '1950']
Bislim Bajgora	/wiki/Bislim_Bajgora	['1900', '1950']
Mimoza Kusari-Lila	/wiki/Mimoza_Kusari-Lila	['1900', '1950']
Flora Brovina	/wiki/Flora_Brovina	['1900', '1950']
Din Mehmeti	/wiki/Din_Mehmeti	['1900', '1950']
Ali Podrimja	/wiki/Ali_Podrimja	['1900', '1950']
Muharrem Qena	/wiki/Muharrem_Qena	['1900', '1950']
Arta Muçaj	/wiki/Arta_Mu%C3%A7aj	['1900', '1950']
Faruk Begolli	/wiki/Faruk_Begolli	['1900', '1950']
James Biberi	/wiki/James_Biberi	['1900', '1950']
Arta Dobroshi	/wiki/Arta_Dobroshi	['1900', '1950']
Fortesa Hoti	/wiki/Fortesa_Hoti	['1900', '1950']
Enver Petrovci	/wiki/Enver_Petrovci	['1900', '1950']
Ardian Bujupi	/wiki/Ardian_Bujupi	['1900', '1950']
Arta Muçaj	/wiki/Arta_Mu%C3%A7aj	['1900', '1950']
Rauf Dhomi	/wiki/Rauf_Dhomi	['1900', '1950']
Rifo Dobra	/wiki/Rifo_Dobra	['1900', '1950']
Rona Nishliu	/wiki/Rona_Nishliu	['1900', '1950']
