text	link	year
Abdullah Öcalan	/wiki/Abdullah_%C3%96calan	['1900', '1950']
Abdulla Goran	/wiki/Abdulla_Goran	['1900', '1950']
Abdulla Pashew	/wiki/Abdulla_Pashew	['1900', '1950']
Abdurrahman Sharafkandi	/wiki/Abdurrahman_Sharafkandi	['1900', '1950']
Abu Firas al-Hamdani	/wiki/Abu_Firas_al-Hamdani	['1900', '1950']
Adel Karasholi	/wiki/Adel_Karasholi	['1900', '1950']
Ahmad Hardi	/wiki/Ahmad_Hardi	['1900', '1950']
Ahmad Ghazi	/wiki/Ahmad_Ghazi	['1900', '1950']
Ahmad Khani	/wiki/Ahmad_Khani	['1900', '1950']
Alaaddin Sajadi	/wiki/Alaaddin_Sajadi	['1900', '1950']
Ali Hariri	/wiki/Ali_Hariri	['1900', '1950']
Mela Hesenê Bateyî	/wiki/Mela_Hesen%C3%AA_Batey%C3%AE	['1900', '1950']
Arjen Arî	/wiki/Arjen_Ar%C3%AE	['1900', '1950']
Ata Nahai	/wiki/Ata_Nahai	['1900', '1950']
Azad Zal	/wiki/Azad_Zal	['1900', '1950']
Bachtyar Ali	/wiki/Bachtyar_Ali	['1900', '1950']
Bejan Matur	/wiki/Bejan_Matur	['1900', '1950']
Cankurd	/wiki/Cankurd	['1900', '1950']
Celal Başkale	/wiki/Celal_Ba%C5%9Fkale	['1900', '1950']
Choman Hardi	/wiki/Choman_Hardi	['1900', '1950']
Cigerxwîn	/wiki/Cigerxw%C3%AEn	['1900', '1950']
Cemal Süreya	/wiki/Cemal_S%C3%BCreya	['1900', '1950']
Dildar	/wiki/Dildar_(poet)	['1900', '1950']
Evdile Koçer	/wiki/Evdile_Ko%C3%A7er	['1900', '1950']
Fadıl Öztürk	/wiki/Fad%C4%B1l_%C3%96zt%C3%BCrk	['1900', '1950']
Farhad Shakely	/wiki/Farhad_Shakely	['1900', '1950']
Farhad Pirbal	/wiki/Farhad_Pirbal	['1900', '1950']
Faqi Tayran	/wiki/Faqi_Tayran	['1900', '1950']
Fawaz Hussain	/wiki/Fawaz_Hussain	['1900', '1950']
Firat Cewerî	/wiki/Firat_Cewer%C3%AE	['1900', '1950']
Haji Qadir Koyi	/wiki/Haji_Qadir_Koyi	['1900', '1950']
Helîm Yûsiv	/wiki/Hel%C3%AEm_Y%C3%BBsiv	['1900', '1950']
Hemin Mukriyani	/wiki/Hemin_Mukriyani	['1900', '1950']
Hesenê Metê	/wiki/Hesen%C3%AA_Met%C3%AA	['1900', '1950']
Hussein Khaliqi	/wiki/Hussein_Khaliqi	['1900', '1950']
Ibrahim Ahmad	/wiki/Ibrahim_Ahmad	['1900', '1950']
Jalal Barzanji	/wiki/Jalal_Barzanji	['1900', '1950']
