text	link	year
Abdullah III Al-Salim Al-Sabah	/wiki/Abdullah_III_Al-Salim_Al-Sabah	['1900', '1950']
Ahmad Al-Jaber Al-Sabah	/wiki/Ahmad_Al-Jaber_Al-Sabah	['1900', '1950']
Jaber Al-Ahmad Al-Jaber Al-Sabah	/wiki/Jaber_Al-Ahmad_Al-Jaber_Al-Sabah	['1900', '1950']
Mubarak Al-Sabah	/wiki/Mubarak_Al-Sabah	['1900', '1950']
Nasser Al-Mohammed Al-Ahmed Al-Sabah	/wiki/Nasser_Al-Mohammed_Al-Ahmed_Al-Sabah	['1900', '1950']
Nawaf Al-Ahmad Al-Jaber Al-Sabah	/wiki/Nawaf_Al-Ahmad_Al-Jaber_Al-Sabah	['1900', '1950']
Saad Al-Abdullah Al-Salim Al-Sabah	/wiki/Saad_Al-Abdullah_Al-Salim_Al-Sabah	['1900', '1950']
Sabah I bin Jaber	/wiki/Sabah_I_bin_Jaber	['1900', '1950']
Sabah Al-Ahmad Al-Jaber Al-Sabah	/wiki/Sabah_Al-Ahmad_Al-Jaber_Al-Sabah	['1900', '1950']
Sabah III Al-Salim Al-Sabah	/wiki/Sabah_III_Al-Salim_Al-Sabah	['1900', '1950']
Salem Al-Ali A-Sabah	/wiki/Salem_Al-Ali_A-Sabah	['1900', '1950']
Salem Sabah Al-Salem Al-Sabah	/wiki/Salem_Sabah_Al-Salem_Al-Sabah	['1900', '1950']
Salim Al-Mubarak Al-Sabah	/wiki/Salim_Al-Mubarak_Al-Sabah	['1900', '1950']
Alaa Hussein Ali	/wiki/Alaa_Hussein_Ali	['1900', '1950']
Ahmed Al-Sadoun	/wiki/Ahmed_Al-Sadoun	['1900', '1950']
Rola Dashti	/wiki/Rola_Dashti	['1900', '1950']
Massouma al-Mubarak	/wiki/Massouma_al-Mubarak	['1900', '1950']
Bader Al-Nashi	/wiki/Bader_Al-Nashi	['1900', '1950']
Ahmed al-Rubei	/wiki/Ahmed_al-Rubei	['1900', '1950']
Nabil Al Fadl	/wiki/Nabil_Al_Fadl	['1900', '1950']
Daifallah Bouramiya	/wiki/Daifallah_Bouramiya	['1900', '1950']
Hussain al-Qallaf	/wiki/Hussain_al-Qallaf	['1900', '1950']
Rija Hujailan Al-Mutairi	/wiki/Rija_Hujailan_Al-Mutairi	['1900', '1950']
Mohammed Hayef AlـMutairi	/wiki/Mohammed_Hayef_Al%D9%80Mutairi	['1900', '1950']
Adnan Zahid Abdulsamad	/wiki/Adnan_Zahid_Abdulsamad	['1900', '1950']
Musallam Al-Barrak	/wiki/Musallam_Al-Barrak	['1900', '1950']
Marzouq Al-Ghanim	/wiki/Marzouq_Al-Ghanim	['1900', '1950']
Safa Al Hashem	/wiki/Safa_Al_Hashem	['1900', '1950']
Ibrahim Khraibut	/wiki/Ibrahim_Khraibut	['1900', '1950']
Mohammed Al-Abduljader	/wiki/Mohammed_Al-Abduljader	['1900', '1950']
Saleh Ashour	/wiki/Saleh_Ashour	['1900', '1950']
Abdulwahed Al-Awadhi	/wiki/Abdulwahed_Al-Awadhi	['1900', '1950']
Aseel al-Awadhi	/wiki/Aseel_al-Awadhi	['1900', '1950']
Abdulatif Al-Ameeri	/wiki/Abdulatif_Al-Ameeri	['1900', '1950']
Adel Al-Saraawi	/wiki/Adel_Al-Saraawi	['1900', '1950']
Abdullah Saleh Al Mulla	/wiki/Abdullah_Saleh_Al_Mulla	['1900', '1950']
Jassem Al-Kharafi	/wiki/Jassem_Al-Kharafi	['1900', '1950']
Nasser Al-Kharafi	/wiki/Nasser_Al-Kharafi	['1900', '1950']
Abdullah Abdul Latif Al Othman	/wiki/Abdullah_Abdul_Latif_Al_Othman	['1900', '1950']
Yousuf Saleh Alyan	/wiki/Yousuf_Saleh_Alyan	['1900', '1950']
Fahed Boodai	/wiki/Fahed_Boodai	['1900', '1950']
Fawaz Al-Hasawi	/wiki/Fawaz_Al-Hasawi	['1900', '1950']
Maha Al-Ghunaim	/wiki/Maha_Al-Ghunaim	['1900', '1950']
Souad Al-Humaidhi	/wiki/Souad_Al-Humaidhi	['1900', '1950']
Saad Bin Tefla	/wiki/Saad_Bin_Tefla	['1900', '1950']
Ali Mohamed Al-Zinkawi	/wiki/Ali_Mohamed_Al-Zinkawi	['1900', '1950']
Mohammed al Ghareeb	/wiki/Mohammed_al_Ghareeb	['1900', '1950']
Zed Al Refai	/wiki/Zed_Al_Refai_(Zeddy)	['1900', '1950']
Faisal Al-Dakhil	/wiki/Faisal_Al-Dakhil	['1900', '1950']
Mohammed Ibrahem	/wiki/Mohammed_Ibrahem	['1900', '1950']
Ahmed Al-Tarabilsi	/wiki/Ahmed_Al-Tarabilsi	['1900', '1950']
Fayez Bandar	/wiki/Fayez_Bandar	['1900', '1950']
Fathi Kamel	/wiki/Fathi_Kamel	['1900', '1950']
Nawaf Al Mutairi	/wiki/Nawaf_Al_Mutairi	['1900', '1950']
Fahad Al-Rashidi	/wiki/Fahad_Al-Rashidi_(footballer,_born_1984)	['1900', '1950']
Fawzi Al Shammari	/wiki/Fawzi_Al_Shammari	['1900', '1950']
Nohair Al-Shammari	/wiki/Nohair_Al-Shammari	['1900', '1950']
Khaled Khalaf	/wiki/Khaled_Khalaf	['1900', '1950']
Abdullah Al-Buloushi	/wiki/Abdullah_Al-Buloushi	['1900', '1950']
Abdulaziz Al-Anberi	/wiki/Abdulaziz_Al-Anberi	['1900', '1950']
Jamal Mubarak	/wiki/Jamal_Mubarak	['1900', '1950']
Jassem Al Houwaidi	/wiki/Jassem_Al_Houwaidi	['1900', '1950']
Bader Al-Mutwa	/wiki/Bader_Al-Mutwa	['1900', '1950']
Musaed Neda	/wiki/Musaed_Neda	['1900', '1950']
Jasem Yacob	/wiki/Jasem_Yacob	['1900', '1950']
Wael Sulaiman Al-Habashi	/wiki/Wael_Sulaiman_Al-Habashi	['1900', '1950']
Ahmad Ajab	/wiki/Ahmad_Ajab	['1900', '1950']
Abdallah Al Rowaished	/wiki/Abdallah_Al_Rowaished	['1900', '1950']
Bashar Al Shatty	/wiki/Bashar_Al_Shatty	['1900', '1950']
Thuraya Al-Baqsami	/wiki/Thuraya_Al-Baqsami	['1900', '1950']
Khalifa Alqattan	/wiki/Khalifa_Alqattan	['1900', '1950']
Shemayel	/wiki/Shemayel	['1900', '1950']
