text	link	year
Tibetan Buddhism	/wiki/Tibetan_Buddhism	['1900', '1950']
Asylgul Abdurekhmenova	/wiki/Asylgul_Abdurekhmenova	['1900', '1950']
Chinghiz Aitmatov	/wiki/Chinghiz_Aitmatov	['1900', '1950']
Kasym Tynystanov	/wiki/Kasym_Tynystanov	['1900', '1950']
Bubusara Beishenalieva	/wiki/Bubusara_Beishenalieva	['1900', '1950']
Askar Akayev	/wiki/Askar_Akayev	['1900', '1950']
Kurmanjan Datka	/wiki/Kurmanjan_Datka	['1900', '1950']
Abdylas Maldybaev	/wiki/Abdylas_Maldybaev	['1900', '1950']
Ulan Melisbek	/wiki/Ulan_Melisbek	['1900', '1950']
Orzubek Nazarov	/wiki/Orzubek_Nazarov	['1900', '1950']
Nasirdin Isanov	/wiki/Nasirdin_Isanov	['1900', '1950']
Roza Otunbayeva	/wiki/Roza_Otunbayeva	['1900', '1950']
Kurmanbek Bakiyev	/wiki/Kurmanbek_Bakiyev	['1900', '1950']
Sopubek Begaliev	/wiki/Sopubek_Begaliev	['1900', '1950']
Chala Kazak	/wiki/Chala_Kazak	['1900', '1950']
International Standard Book Number	/wiki/International_Standard_Book_Number	['1900', '1950']
International Standard Book Number	/wiki/International_Standard_Book_Number	['1900', '1950']
Edwin G. Pulleyblank	/wiki/Edwin_G._Pulleyblank	['1900', '1950']
International Standard Book Number	/wiki/International_Standard_Book_Number	['1900', '1950']
International Standard Book Number	/wiki/International_Standard_Book_Number	['1900', '1950']
Dungans	/wiki/Dungans	['1900', '1950']
Koryo-saram	/wiki/Koryo-saram	['1900', '1950']
Template:Turkic peoples	/wiki/Template:Turkic_peoples	['1900', '1950']
Template talk:Turkic peoples	/wiki/Template_talk:Turkic_peoples	['1900', '1950']
Azerbaijanis	/wiki/Azerbaijanis	['1900', '1950']
Iranian Azerbaijanis	/wiki/Iranian_Azerbaijanis	['1900', '1950']
Gagauz people	/wiki/Gagauz_people	['1900', '1950']
Kazakhs	/wiki/Kazakhs	['1900', '1950']
Naimans	/wiki/Naimans	['1900', '1950']
Iranian Kazakhs	/wiki/Iranian_Kazakhs	['1900', '1950']
Turkmen people	/wiki/Turkmen_people	['1900', '1950']
Iranian Turkmen	/wiki/Iranian_Turkmen	['1900', '1950']
Turkish people	/wiki/Turkish_people	['1900', '1950']
Muhacir	/wiki/Muhacir	['1900', '1950']
Yörüks	/wiki/Y%C3%B6r%C3%BCks	['1900', '1950']
Kouloughlis	/wiki/Kouloughlis	['1900', '1950']
Bulgarian Turks	/wiki/Bulgarian_Turks	['1900', '1950']
Cretan Turks	/wiki/Cretan_Turks	['1900', '1950']
Turkish Cypriots	/wiki/Turkish_Cypriots	['1900', '1950']
Iraqi Turkmen	/wiki/Iraqi_Turkmen	['1900', '1950']
Meskhetian Turks	/wiki/Meskhetian_Turks	['1900', '1950']
Syrian Turkmen	/wiki/Syrian_Turkmen	['1900', '1950']
Uzbeks	/wiki/Uzbeks	['1900', '1950']
Karakalpaks	/wiki/Karakalpaks	['1900', '1950']
Chinese Tatars	/wiki/Chinese_Tatars	['1900', '1950']
Salar people	/wiki/Salar_people	['1900', '1950']
Uyghurs	/wiki/Uyghurs	['1900', '1950']
Yugur	/wiki/Yugur	['1900', '1950']
Crimean Karaites	/wiki/Crimean_Karaites	['1900', '1950']
Crimean Tatars	/wiki/Crimean_Tatars	['1900', '1950']
Krymchaks	/wiki/Krymchaks	['1900', '1950']
Iranian Azerbaijanis	/wiki/Iranian_Azerbaijanis	['1900', '1950']
Afshar people	/wiki/Afshar_people	['1900', '1950']
Khalaj people	/wiki/Khalaj_people	['1900', '1950']
Khorasani Turks	/wiki/Khorasani_Turks	['1900', '1950']
Qashqai people	/wiki/Qashqai_people	['1900', '1950']
Iranian Kazakhs	/wiki/Iranian_Kazakhs	['1900', '1950']
