text	link	year
Kouprasith Abhay	/wiki/Kouprasith_Abhay	['1900', '1950']
Anouvong	/wiki/Anouvong	['1900', '1950']
Boua	/wiki/Boua	['1900', '1950']
Bounkhong	/wiki/Bounkhong	['1900', '1950']
Bouasone Bouphavanh	/wiki/Bouasone_Bouphavanh	['1900', '1950']
Laasaenthai Bouvanaat	/wiki/Laasaenthai_Bouvanaat	['1900', '1950']
General Cheng	/wiki/General_Cheng	['1900', '1950']
Fa Ngum	/wiki/Fa_Ngum	['1900', '1950']
Fay Na	/wiki/Fay_Na	['1900', '1950']
Sisavath Keobounphanh	/wiki/Sisavath_Keobounphanh	['1900', '1950']
Kham Nai	/wiki/Kham_Nai	['1900', '1950']
Kham-Oun I	/wiki/Kham-Oun_I	['1900', '1950']
Khamphoui	/wiki/Khamphoui	['1900', '1950']
Khamtum	/wiki/Khamtum	['1900', '1950']
Khun Lo	/wiki/Khun_Lo	['1900', '1950']
Lan Kham Deng	/wiki/Lan_Kham_Deng	['1900', '1950']
Somsavat Lengsavad	/wiki/Somsavat_Lengsavad	['1900', '1950']
Manoi	/wiki/Manoi	['1900', '1950']
Meunsai	/wiki/Meunsai	['1900', '1950']
Nam Viyaket	/wiki/Nam_Viyaket	['1900', '1950']
Nang Keo Phimpha	/wiki/Nang_Keo_Phimpha	['1900', '1950']
No Muong	/wiki/No_Muong	['1900', '1950']
Nokasad	/wiki/Nokasad	['1900', '1950']
Ong Keo	/wiki/Ong_Keo	['1900', '1950']
Ong Kommandam	/wiki/Ong_Kommandam	['1900', '1950']
Chamleunesouk Ao Oudomphonh	/wiki/Chamleunesouk_Ao_Oudomphonh	['1900', '1950']
Boun Oum	/wiki/Boun_Oum	['1900', '1950']
Oun Kham	/wiki/Oun_Kham	['1900', '1950']
Mam Manivan Phanivong	/wiki/Mam_Manivan_Phanivong	['1900', '1950']
Phia Sing	/wiki/Phia_Sing	['1900', '1950']
Bountiem Phissamay	/wiki/Bountiem_Phissamay	['1900', '1950']
Phommathat	/wiki/Phommathat	['1900', '1950']
Kaysone Phomvihane	/wiki/Kaysone_Phomvihane	['1900', '1950']
Photisarath	/wiki/Photisarath	['1900', '1950']
Souvanna Phouma	/wiki/Souvanna_Phouma	['1900', '1950']
Nouhak Phoumsavanh	/wiki/Nouhak_Phoumsavanh	['1900', '1950']
Phetsarath Rattanavongsa	/wiki/Phetsarath_Rattanavongsa	['1900', '1950']
Ouane Rattikone	/wiki/Ouane_Rattikone	['1900', '1950']
Ratsadanay	/wiki/Ratsadanay	['1900', '1950']
Samsenethai	/wiki/Samsenethai	['1900', '1950']
Thayavong Savang	/wiki/Thayavong_Savang	['1900', '1950']
Vong Savang	/wiki/Vong_Savang	['1900', '1950']
Sayakumane	/wiki/Sayakumane	['1900', '1950']
Choummaly Sayasone	/wiki/Choummaly_Sayasone	['1900', '1950']
Siluck Saysanasy	/wiki/Siluck_Saysanasy	['1900', '1950']
Setthathirath	/wiki/Setthathirath	['1900', '1950']
Khamtai Siphandon	/wiki/Khamtai_Siphandon	['1900', '1950']
Phoutlamphay Thiamphasone	/wiki/Phoutlamphay_Thiamphasone	['1900', '1950']
Thongloun Sisoulith	/wiki/Thongloun_Sisoulith	['1900', '1950']
Sompou	/wiki/Sompou	['1900', '1950']
Souphanouvong	/wiki/Souphanouvong	['1900', '1950']
Soutchay Thammasith	/wiki/Soutchay_Thammasith	['1900', '1950']
Onchanh Thammavong	/wiki/Onchanh_Thammavong	['1900', '1950']
Mangkra Souvannaphouma	/wiki/Mangkra_Souvannaphouma	['1900', '1950']
Souvannarath	/wiki/Souvannarath	['1900', '1950']
Savang Vatthana	/wiki/Savang_Vatthana	['1900', '1950']
Douangdeuane Viravongs	/wiki/Douangdeuane_Viravongs	['1900', '1950']
Visunarat	/wiki/Visunarat	['1900', '1950']
Phoumi Vongvichit	/wiki/Phoumi_Vongvichit	['1900', '1950']
Vilayphone Vongphachanh	/wiki/Vilayphone_Vongphachanh	['1900', '1950']
Bounnhang Vorachith	/wiki/Bounnhang_Vorachith	['1900', '1950']
Zakarine	/wiki/Zakarine	['1900', '1950']
United States	/wiki/United_States	['1900', '1950']
United States	/wiki/United_States	['1900', '1950']
United States	/wiki/United_States	['1900', '1950']
United States	/wiki/United_States	['1900', '1950']
United States	/wiki/United_States	['1900', '1950']
United States	/wiki/United_States	['1900', '1950']
United States	/wiki/United_States	['1900', '1950']
United States	/wiki/United_States	['1900', '1950']
Thailand	/wiki/Thailand	['1900', '1950']
Thailand	/wiki/Thailand	['1900', '1950']
Thailand	/wiki/Thailand	['1900', '1950']
Canada	/wiki/Canada	['1900', '1950']
United Kingdom	/wiki/United_Kingdom	['1900', '1950']
United Kingdom	/wiki/United_Kingdom	['1900', '1950']
