text	link	year
Latvia	/wiki/Latvia	['1900', '1950']
Augusts Vilis Abakuks	/wiki/Augusts_Vilis_Abakuks	['1914', '1994']
Valerians Abakovskis	/wiki/Valerians_Abakovskis	['1895', '1921']
Rutanya Alda	/wiki/Rutanya_Alda	['1942', '2025']
Viktor Alksnis	/wiki/Viktor_Alksnis	['1950', '2025']
Juris Alunāns	/wiki/Juris_Alun%C4%81ns	['1832', '1864']
Ingrīda Andriņa	/wiki/Ingr%C4%ABda_Andri%C5%86a	['1944', '2015']
Iveta Apkalna	/wiki/Iveta_Apkalna	['1976', '2025']
Fricis Apšenieks	/wiki/Fricis_Ap%C5%A1enieks	['1894', '1941']
Vija Artmane	/wiki/Vija_Artmane	['1929', '2008']
Aspazija	/wiki/Aspazija	['1865', '1943']
Gunārs Astra	/wiki/Gun%C4%81rs_Astra	['1931', '1988']
Auseklis Ozols	/wiki/Auseklis_Ozols	['1900', '1950']
Ainars Bagatskis	/wiki/Ainars_Bagatskis	['1967', '2025']
Helmuts Balderis	/wiki/Helmuts_Balderis	['1952', '2025']
Jānis Balodis	/wiki/J%C4%81nis_Balodis	['1881', '1965']
Kārlis Balodis	/wiki/K%C4%81rlis_Balodis	['1864', '1931']
Krišjānis Barons	/wiki/Kri%C5%A1j%C4%81nis_Barons	['1835', '1923']
Mikhail Baryshnikov	/wiki/Mikhail_Baryshnikov	['1948', '2025']
Kārlis Baumanis	/wiki/K%C4%81rlis_Baumanis	['1835', '1905']
Vizma Belševica	/wiki/Vizma_Bel%C5%A1evica	['1931', '2005']
Eduards Berklavs	/wiki/Eduards_Berklavs	['1914', '2004']
Krišjānis Berķis	/wiki/Kri%C5%A1j%C4%81nis_Ber%C4%B7is	['1884', '1942']
Dairis Bertāns	/wiki/Dairis_Bert%C4%81ns	['1989', '2025']
Isaiah Berlin	/wiki/Isaiah_Berlin	['1900', '1950']
Eduard Berzin	/wiki/Eduard_Berzin	['1894', '1938']
Kaspars Bērziņš	/wiki/Kaspars_B%C4%93rzi%C5%86%C5%A1	['1985', '2025']
Kārlis Bētiņš	/wiki/K%C4%81rlis_B%C4%93ti%C5%86%C5%A1	['1867', '1943']
Andris Biedriņš	/wiki/Andris_Biedri%C5%86%C5%A1	['1986', '2025']
Gunnar Birkerts	/wiki/Gunnar_Birkerts	['1925', '2017']
Miervaldis Birze	/wiki/Miervaldis_Birze	['1921', '2000']
Ernests Blanks	/wiki/Ernests_Blanks	['1894', '1972']
Rūdolfs Blaumanis	/wiki/R%C5%ABdolfs_Blaumanis	['1863', '1908']
Hyman Bloom	/wiki/Hyman_Bloom	['1913', '2009']
