text	link	year
Lydia Canaan	/wiki/Lydia_Canaan	['1900', '1950']
Jill Kelley	/wiki/Jill_Kelley	['1900', '1950']
Perla Helou	/wiki/Perla_Helou	['1900', '1950']
Dina Azar	/wiki/Dina_Azar	['1900', '1950']
Rina Chibany	/wiki/Rina_Chibany	['1900', '1950']
Rima Fakih	/wiki/Rima_Fakih	['1900', '1950']
Sonia Fares	/wiki/Sonia_Fares	['1900', '1950']
Nadine Wilson Njeim	/wiki/Nadine_Wilson_Njeim	['1900', '1950']
Nadine Nassib Njeim	/wiki/Nadine_Nassib_Njeim	['1900', '1950']
Gabrielle Bou Rached	/wiki/Gabrielle_Bou_Rached	['1900', '1950']
Georgina Rizk	/wiki/Georgina_Rizk	['1900', '1950']
Christina Sawaya	/wiki/Christina_Sawaya	['1900', '1950']
Rosarita Tawil	/wiki/Rosarita_Tawil	['1900', '1950']
Amani	/wiki/Amani_(dancer)	['1900', '1950']
Myriam Klink	/wiki/Myriam_Klink	['1900', '1950']
Annabella Hilal	/wiki/Annabella_Hilal	['1900', '1950']
Lamitta Frangieh	/wiki/Lamitta_Frangieh	['1900', '1950']
Georges Chakra	/wiki/Georges_Chakra	['1900', '1950']
Georges Chakra	/wiki/Georges_Chakra	['1900', '1950']
Nicolas Jebran	/wiki/Nicolas_Jebran	['1900', '1950']
Rabih Kayrouz	/wiki/Rabih_Kayrouz	['1900', '1950']
Zuhair Murad	/wiki/Zuhair_Murad	['1900', '1950']
Elie Saab	/wiki/Elie_Saab	['1900', '1950']
Tony Ward	/wiki/Tony_Ward_(designer)	['1900', '1950']
Reem Acra	/wiki/Reem_Acra	['1900', '1950']
Hicham Abou Sleiman	/wiki/Hicham_Abou_Sleiman	['1900', '1950']
Nadine Labaki	/wiki/Nadine_Labaki	['1900', '1950']
Philippe Aractingi	/wiki/Philippe_Aractingi	['1900', '1950']
Jihad Al-Atrash	/wiki/Jihad_Al-Atrash	['1900', '1950']
Maroun Bagdadi	/wiki/Maroun_Bagdadi	['1900', '1950']
Rowan Blanchard	/wiki/Rowan_Blanchard	['1900', '1950']
May Chidiac	/wiki/May_Chidiac	['1900', '1950']
Sami Daher	/wiki/Sami_Daher	['1900', '1950']
George Diab	/wiki/George_Diab	['1900', '1950']
Ziad Doueiri	/wiki/Ziad_Doueiri	['1900', '1950']
Imad Feghaly	/wiki/Imad_Feghaly	['1900', '1950']
Renee Ghosh	/wiki/Renee_Ghosh	['1900', '1950']
Abdo Hakim	/wiki/Abdo_Hakim	['1900', '1950']
Hasan Hamdan	/wiki/Hasan_Hamdan	['1900', '1950']
Jamal Hamdan	/wiki/Jamal_Hamdan_(actor)	['1900', '1950']
Saad Hamdan	/wiki/Saad_Hamdan	['1900', '1950']
Diana Ibrahim	/wiki/Diana_Ibrahim	['1900', '1950']
Muhammad Ibrahim	/wiki/Muhammad_Ibrahim_(actor)	['1900', '1950']
Charbel Iskandar	/wiki/Charbel_Iskandar	['1900', '1950']
Leïla Karam	/wiki/Le%C3%AFla_Karam	['1900', '1950']
Mona Karim	/wiki/Mona_Karim	['1900', '1950']
Mario Kassar	/wiki/Mario_Kassar	['1900', '1950']
Alek Keshishian	/wiki/Alek_Keshishian	['1900', '1950']
Georges Khabbaz	/wiki/Georges_Khabbaz	['1900', '1950']
Mia Khalifa	/wiki/Mia_Khalifa	['1900', '1950']
Arsinée Khanjian	/wiki/Arsin%C3%A9e_Khanjian	['1900', '1950']
Samir Maalouf	/wiki/Samir_Maalouf	['1900', '1950']
Toni Maalouf	/wiki/Toni_Maalouf	['1900', '1950']
Mahmoud Mabsout	/wiki/Mahmoud_Mabsout	['1900', '1950']
Peter Macdissi	/wiki/Peter_Macdissi	['1900', '1950']
Rick Mercer	/wiki/Rick_Mercer	['1900', '1950']
Omar Mikati	/wiki/Omar_Mikati	['1900', '1950']
Patrick Mubarak	/wiki/Patrick_Mubarak	['1900', '1950']
Ismail Nanoua	/wiki/Ismail_Nanoua	['1900', '1950']
Samara Nohra	/wiki/Samara_Nohra	['1900', '1950']
George Noory	/wiki/George_Noory	['1900', '1950']
Nour	/wiki/Nour_(actress)	['1900', '1950']
Ouday Raad	/wiki/Ouday_Raad	['1900', '1950']
Bashar Rahal	/wiki/Bashar_Rahal	['1900', '1950']
Keanu Reeves	/wiki/Keanu_Reeves	['1900', '1950']
Fadi Rifai	/wiki/Fadi_Rifai	['1900', '1950']
Milad Rizk	/wiki/Milad_Rizk	['1900', '1950']
Ali Saad	/wiki/Ali_Saad_(actor)	['1900', '1950']
Hossam Al-Sabah	/wiki/Hossam_Al-Sabah	['1900', '1950']
Khaled El Sayed	/wiki/Khaled_El_Sayed	['1900', '1950']
Naji Shamil	/wiki/Naji_Shamil	['1900', '1950']
Omar Al-Shammaa	/wiki/Omar_Al-Shammaa	['1900', '1950']
Haaz Sleiman	/wiki/Haaz_Sleiman	['1900', '1950']
Rosie Al-Yaziji	/wiki/Rosie_Al-Yaziji	['1900', '1950']
Ali Al-Zein	/wiki/Ali_Al-Zein	['1900', '1950']
