text	link	year
Nathaniel Barnes	/wiki/Nathaniel_Barnes	['1900', '1950']
Joseph Bartuah	/wiki/Joseph_Bartuah	['1900', '1950']
Martha Sandolo Belleh	/wiki/Martha_Sandolo_Belleh	['1900', '1950']
Moses Zeh Blah	/wiki/Moses_Zeh_Blah	['1900', '1950']
John Bernard Blamo	/wiki/John_Bernard_Blamo	['1900', '1950']
Joseph Nyumah Boakai	/wiki/Joseph_Nyumah_Boakai	['1900', '1950']
Angie Elisabeth Brooks	/wiki/Angie_Elisabeth_Brooks	['1900', '1950']
Charles Walker Brumskine	/wiki/Charles_Walker_Brumskine	['1900', '1950']
Gyude Bryant	/wiki/Gyude_Bryant	['1900', '1950']
Monie Captan	/wiki/Monie_Captan	['1900', '1950']
Alvin Chea	/wiki/Alvin_Chea	['1900', '1950']
Chea Cheapoo	/wiki/Chea_Cheapoo	['1900', '1950']
Sekou Damate Conneh	/wiki/Sekou_Damate_Conneh	['1900', '1950']
Al-Hassan Conteh	/wiki/Al-Hassan_Conteh	['1900', '1950']
Helene Cooper	/wiki/Helene_Cooper	['1900', '1950']
Alexander B Cummings Jr.	/wiki/Alexander_B_Cummings_Jr.	['1900', '1950']
Rennie Curran	/wiki/Rennie_Curran	['1900', '1950']
Roland Tombekai Dempster	/wiki/Roland_Tombekai_Dempster	['1900', '1950']
Charles Cecil Dennis	/wiki/Charles_Cecil_Dennis	['1900', '1950']
Roland Diggs	/wiki/Roland_Diggs	['1900', '1950']
Alvin Swen Dixon	/wiki/Alvin_Swen_Dixon	['1993', '2025']
Samuel Kanyon Doe	/wiki/Samuel_Kanyon_Doe	['1900', '1950']
Enoch Dogolea	/wiki/Enoch_Dogolea	['1900', '1950']
Abdullah Dukuly	/wiki/Abdullah_Dukuly	['1900', '1950']
Momolu Dukuly	/wiki/Momolu_Dukuly	['1900', '1950']
Cheryl Dunye	/wiki/Cheryl_Dunye	['1900', '1950']
Ernest Eastman	/wiki/Ernest_Eastman	['1900', '1950']
Henry Boimah Fahnbulleh	/wiki/Henry_Boimah_Fahnbulleh	['1900', '1950']
Michael Kpakala Francis	/wiki/Michael_Kpakala_Francis	['1900', '1950']
Comfort Freeman	/wiki/Comfort_Freeman	['1900', '1950']
James Edward Greene	/wiki/James_Edward_Greene	['1900', '1950']
Joseph Rudolph Grimes	/wiki/Joseph_Rudolph_Grimes	['1900', '1950']
Musue Noha Haddad	/wiki/Musue_Noha_Haddad	['1900', '1950']
Tamba Hali	/wiki/Tamba_Hali	['1900', '1950']
Sumowood Harris	/wiki/Sumowood_Harris	['1900', '1950']
Collins John	/wiki/Collins_John	['1900', '1950']
Dulee Johnson	/wiki/Dulee_Johnson	['1900', '1950']
Wesley Momo Johnson	/wiki/Wesley_Momo_Johnson	['1900', '1950']
Bhawoh Jue	/wiki/Bhawoh_Jue	['1900', '1950']
Abu Kanneh	/wiki/Abu_Kanneh	['1900', '1950']
Francis Kateh	/wiki/Francis_Kateh	['1900', '1950']
George Klay Kieh	/wiki/George_Klay_Kieh	['1900', '1950']
Olubanke King-Akerele	/wiki/Olubanke_King-Akerele	['1900', '1950']
Kafumba Konneh	/wiki/Kafumba_Konneh	['1900', '1950']
David Kpormakor	/wiki/David_Kpormakor	['1900', '1950']
Robert Kpoto	/wiki/Robert_Kpoto	['1900', '1950']
G. V. Kromah	/wiki/G._V._Kromah	['1900', '1950']
Benjamin Dorme Lartey	/wiki/Benjamin_Dorme_Lartey	['1900', '1950']
Gabriel Baccus Matthews	/wiki/Gabriel_Baccus_Matthews	['1900', '1950']
Harry Fumba Moniba	/wiki/Harry_Fumba_Moniba	['1900', '1950']
Bai T.J. Moore	/wiki/Bai_T.J._Moore	['1900', '1950']
Lafayette K. Morgan	/wiki/Lafayette_K._Morgan	['1900', '1950']
Samuel C. Morrison, Jr.	/wiki/Samuel_C._Morrison,_Jr.	['1900', '1950']
Dawn Padmore	/wiki/Dawn_Padmore	['1900', '1950']
Ruth Perry	/wiki/Ruth_Perry	['1900', '1950']
James A. A. Pierre	/wiki/James_A._A._Pierre	['1900', '1950']
Joseph Jenkins Roberts	/wiki/Joseph_Jenkins_Roberts	['1900', '1950']
Elias Saleeby	/wiki/Elias_Saleeby	['1900', '1950']
Wilton Sankawulo	/wiki/Wilton_Sankawulo	['1900', '1950']
Amos Sawyer	/wiki/Amos_Sawyer	['1900', '1950']
Antoinette Sayeh	/wiki/Antoinette_Sayeh	['1900', '1950']
Ophelia Hoff Saytumah	/wiki/Ophelia_Hoff_Saytumah	['1900', '1950']
Ellen Johnson Sirleaf	/wiki/Ellen_Johnson_Sirleaf	['1900', '1950']
Momolu Sirleaf	/wiki/Momolu_Sirleaf	['1900', '1950']
Jeremiah Sulunteh	/wiki/Jeremiah_Sulunteh	['1900', '1950']
Charles Taylor	/wiki/Charles_Taylor_(Liberia)	['1900', '1950']
Togba-Nah Tipoteh	/wiki/Togba-Nah_Tipoteh	['1900', '1950']
William Tolbert	/wiki/William_Tolbert	['1900', '1950']
William Tubman	/wiki/William_Tubman	['1900', '1950']
Winston Tubman	/wiki/Winston_Tubman	['1900', '1950']
Sultan Tucker	/wiki/Sultan_Tucker	['1900', '1950']
Jerome Verdier	/wiki/Jerome_Verdier	['1900', '1950']
George Wallace	/wiki/George_Wallace_(Liberia)	['1900', '1950']
Bennie Warner	/wiki/Bennie_Warner	['1900', '1950']
George Weah	/wiki/George_Weah	['1900', '1950']
Rocheforte Lafayette Weeks	/wiki/Rocheforte_Lafayette_Weeks	['1900', '1950']
Izetta Sombo Wesley	/wiki/Izetta_Sombo_Wesley	['1900', '1950']
Dioh Williams	/wiki/Dioh_Williams	['1900', '1950']
Samuel Kofi Woods	/wiki/Samuel_Kofi_Woods	['1900', '1950']
Cletus Segbe Wotorson	/wiki/Cletus_Segbe_Wotorson	['1900', '1950']
Joe Woyee	/wiki/Joe_Woyee	['1900', '1950']
Christopher Wreh	/wiki/Christopher_Wreh	['1900', '1950']
