text	link	year
Yitzhak Tshuva	/wiki/Yitzhak_Tshuva	['1948', '2025']
Zuhra Ramdan Agha Al-Awji	/wiki/Zuhra_Ramdan_Agha_Al-Awji	['1900', '1950']
Mohammed Shegewi	/wiki/Mohammed_Shegewi	['1900', '1950']
Omar Khalifa Mohammed Abu Bakr	/wiki/Omar_Khalifa_Mohammed_Abu_Bakr	['1900', '1950']
Omar Deghayes	/wiki/Omar_Deghayes	['1900', '1950']
Muhammad Abd Allah Mansur Al Futuri	/wiki/Muhammad_Abd_Allah_Mansur_Al_Futuri	['1900', '1950']
Abdel Hamid Ibn Abdussalem Ibn Mifta Al Ghazzawi	/wiki/Abdel_Hamid_Ibn_Abdussalem_Ibn_Mifta_Al_Ghazzawi	['1900', '1950']
Salem Abdul Salem Ghereby	/wiki/Salem_Abdul_Salem_Ghereby	['1900', '1950']
Abu Yahia al-Libi	/wiki/Abu_Yahia_al-Libi	['1900', '1950']
Abdul Rauf Omar Mohammed Abu Al Qusin	/wiki/Abdul_Rauf_Omar_Mohammed_Abu_Al_Qusin	['1900', '1950']
Ashraf Salim Abd Al Salam Sultan	/wiki/Ashraf_Salim_Abd_Al_Salam_Sultan	['1900', '1950']
Ibrahim Mahdy Achmed Zeidan	/wiki/Ibrahim_Mahdy_Achmed_Zeidan	['1900', '1950']
Kamel Maghur	/wiki/Kamel_Maghur	['1935', '2002']
Ibn al-Ajdābī	/wiki/Ibn_al-Ajd%C4%81b%C4%AB	['1900', '1950']
Kalifa Tillisi	/wiki/Kalifa_Tillisi	['1930', '2010']
Nadia Ali	/wiki/Nadia_Ali_(singer)	['1900', '1950']
Ahmed Fakroun	/wiki/Ahmed_Fakroun	['1900', '1950']
Nasser el-Mizdawi	/wiki/Nasser_el-Mizdawi	['1950', '2025']
Wanis al-Qaddafi	/wiki/Wanis_al-Qaddafi	['1900', '1950']
Omar Faiek Shennib	/wiki/Omar_Faiek_Shennib	['1900', '1950']
Wahbi al-Bouri	/wiki/Wahbi_al-Bouri	['1900', '1950']
Abdul Salam al-Buseiri	/wiki/Abdul_Salam_al-Buseiri	['1900', '1950']
