text	link	year
Prince Hans Adam II	/wiki/Prince_Hans_Adam_II	['1900', '1950']
Otmar Hasler	/wiki/Otmar_Hasler	['1900', '1950']
Mario Frick	/wiki/Mario_Frick_(politician)	['1900', '1950']
Ernst Walch	/wiki/Ernst_Walch	['1900', '1950']
Klaus Tschütscher	/wiki/Klaus_Tsch%C3%BCtscher	['1900', '1950']
Marco Büchel	/wiki/Marco_B%C3%BCchel	['1971', '2025']
Paul Frommelt	/wiki/Paul_Frommelt	['1957', '2025']
Willi Frommelt	/wiki/Willi_Frommelt	['1952', '2025']
Ursula Konzett	/wiki/Ursula_Konzett	['1959', '2025']
Tina Weirather	/wiki/Tina_Weirather	['1989', '2025']
Andreas Wenzel	/wiki/Andreas_Wenzel	['1958', '2025']
Hanni Wenzel	/wiki/Hanni_Wenzel	['1956', '2025']
Mario Frick	/wiki/Mario_Frick_(footballer)	['1974', '2025']
Peter Jehle	/wiki/Peter_Jehle	['1982', '2025']
Nicolas Hasler	/wiki/Nicolas_Hasler	['1991', '2025']
Fabienne Wohlwend	/wiki/Fabienne_Wohlwend	['1997', '2025']
Josef Rheinberger	/wiki/Josef_Rheinberger	['1839', '1901']
Wolfgang Haas	/wiki/Wolfgang_Haas	['1948', '2025']
Peter Kaiser	/wiki/Peter_Kaiser_(historian)	['1900', '1950']
John Latenser, Sr.	/wiki/John_Latenser,_Sr.	['1858', '1936']
