text	link	year
Robertas Antinis	/wiki/Robertas_Antinis	['1900', '1950']
Gediminas Baravykas	/wiki/Gediminas_Baravykas	['1940', '1995']
Vincas Grybas	/wiki/Vincas_Grybas	['1890', '1940']
Laurynas Gucevičius	/wiki/Laurynas_Gucevi%C4%8Dius	['1753', '1798']
Marcus Illions	/wiki/Marcus_Illions	['1871', '1949']
Juozas Kalinauskas	/wiki/Juozas_Kalinauskas	['1900', '1950']
Gintaras Karosas	/wiki/Gintaras_Karosas	['1900', '1950']
Vytautas Landsbergis-Žemkalnis	/wiki/Vytautas_Landsbergis-%C5%BDemkalnis	['1893', '1993']
Algimantas Nasvytis	/wiki/Algimantas_Nasvytis	['1900', '1950']
Petras Rimša	/wiki/Petras_Rim%C5%A1a	['1881', '1961']
Juozas Zikaras	/wiki/Juozas_Zikaras	['1881', '1944']
Jurgis Baltrušaitis	/wiki/Jurgis_Baltru%C5%A1aitis	['1873', '1944']
Antanas Baranauskas	/wiki/Antanas_Baranauskas	['1835', '1902']
Kazys Binkis	/wiki/Kazys_Binkis	['1893', '1942']
Bernardas Brazdžionis	/wiki/Bernardas_Brazd%C5%BEionis	['1907', '2002']
Petras Cvirka	/wiki/Petras_Cvirka	['1909', '1947']
Kristijonas Donelaitis	/wiki/Kristijonas_Donelaitis	['1714', '1780']
Juozas Glinskis	/wiki/Juozas_Glinskis	['1900', '1950']
Leah Goldberg	/wiki/Leah_Goldberg	['70', '1911']
Romualdas Granauskas	/wiki/Romualdas_Granauskas	['1900', '1950']
Juozas Grušas	/wiki/Juozas_Gru%C5%A1as	['1901', '1986']
Jurga Ivanauskaitė	/wiki/Jurga_Ivanauskait%C4%97	['1961', '2007']
Vincas Kudirka	/wiki/Vincas_Kudirka	['1858', '1899']
Vytautas V. Landsbergis	/wiki/Vytautas_V._Landsbergis	['1900', '1950']
Maironis	/wiki/Maironis	['1900', '1950']
Justinas Marcinkevičius	/wiki/Justinas_Marcinkevi%C4%8Dius	['1930', '2011']
Martynas Mažvydas	/wiki/Martynas_Ma%C5%BEvydas	['1510', '1563']
Icchokas Meras	/wiki/Icchokas_Meras	['1934', '2014']
Vincas Krėvė-Mickevičius	/wiki/Vincas_Kr%C4%97v%C4%97-Mickevi%C4%8Dius	['1882', '1954']
Oskaras Milašius	/wiki/Oskaras_Mila%C5%A1ius	['1877', '1939']
Vincas Mykolaitis-Putinas	/wiki/Vincas_Mykolaitis-Putinas	['1893', '1967']
Salomėja Nėris	/wiki/Salom%C4%97ja_N%C4%97ris	['1900', '1950']
Henrikas Radauskas	/wiki/Henrikas_Radauskas	['1910', '1970']
Šatrijos Ragana	/wiki/%C5%A0atrijos_Ragana	['1900', '1950']
Balys Sruoga	/wiki/Balys_Sruoga	['1896', '1947']
Antanas Strazdas	/wiki/Antanas_Strazdas	['1760', '1833']
Antanas Škėma	/wiki/Antanas_%C5%A0k%C4%97ma	['1911', '1961']
Yemima Tchernovitz-Avidar	/wiki/Yemima_Tchernovitz-Avidar	['98', '1909']
Juozas Tumas-Vaižgantas	/wiki/Juozas_Tumas-Vai%C5%BEgantas	['1900', '1950']
Indrė Valantinaitė	/wiki/Indr%C4%97_Valantinait%C4%97	['1984', '2025']
Tomas Venclova	/wiki/Tomas_Venclova	['1900', '1950']
Antanas Vienuolis	/wiki/Antanas_Vienuolis	['1900', '1950']
Vydūnas	/wiki/Vyd%C5%ABnas	['1900', '1950']
Jonas Zdanys	/wiki/Jonas_Zdanys	['1900', '1950']
Žemaitė	/wiki/%C5%BDemait%C4%97	['1900', '1950']
Viktoras Starošas	/wiki/Viktoras_Staro%C5%A1as	['1921', '2016']
Regimantas Adomaitis	/wiki/Regimantas_Adomaitis	['1900', '1950']
Donatas Banionis	/wiki/Donatas_Banionis	['1924', '2014']
Artūras Barysas	/wiki/Art%C5%ABras_Barysas	['1954', '2005']
Šarūnas Bartas	/wiki/%C5%A0ar%C5%ABnas_Bartas	['1900', '1950']
Ingeborga Dapkūnaitė	/wiki/Ingeborga_Dapk%C5%ABnait%C4%97	['1900', '1950']
Rolandas Kazlas	/wiki/Rolandas_Kazlas	['1900', '1950']
Oskaras Koršunovas	/wiki/Oskaras_Kor%C5%A1unovas	['1900', '1950']
Jurgis Mačiūnas	/wiki/Jurgis_Ma%C4%8Di%C5%ABnas	['1931', '1978']
Arūnas Matelis	/wiki/Ar%C5%ABnas_Matelis	['1900', '1950']
Adolfas Mekas	/wiki/Adolfas_Mekas	['1925', '2011']
Jonas Mekas	/wiki/Jonas_Mekas	['1900', '1950']
Aurelija Mikušauskaitė	/wiki/Aurelija_Miku%C5%A1auskait%C4%97	['1937', '1974']
Juozas Miltinis	/wiki/Juozas_Miltinis	['1907', '1994']
Eimuntas Nekrošius	/wiki/Eimuntas_Nekro%C5%A1ius	['1900', '1950']
Algimantas Puipa	/wiki/Algimantas_Puipa	['1900', '1950']
Kostas Smoriginas	/wiki/Kostas_Smoriginas	['1900', '1950']
Jonas Vaitkus	/wiki/Jonas_Vaitkus	['1900', '1950']
Adolfas Večerskis	/wiki/Adolfas_Ve%C4%8Derskis	['1900', '1950']
Vytautas Šapranauskas	/wiki/Vytautas_%C5%A0apranauskas	['1958', '2013']
James Tratas	/wiki/James_Tratas	['1900', '1950']
Marius Jampolskis	/wiki/Marius_Jampolskis	['1900', '1950']
Eglė Špokaitė	/wiki/Egl%C4%97_%C5%A0pokait%C4%97	['1989', '2011']
Edita Daniūtė	/wiki/Edita_Dani%C5%ABt%C4%97	['1900', '1950']
Linas Adomaitis	/wiki/Linas_Adomaitis	['1900', '1950']
Osvaldas Balakauskas	/wiki/Osvaldas_Balakauskas	['1900', '1950']
Algirdas Budrys	/wiki/Algirdas_Budrys	['1900', '1950']
Alanas Chošnau	/wiki/Alanas_Cho%C5%A1nau	['1900', '1950']
Mikalojus Konstantinas Čiurlionis	/wiki/Mikalojus_Konstantinas_%C4%8Ciurlionis	['1875', '1911']
Balys Dvarionas	/wiki/Balys_Dvarionas	['1904', '1972']
Mirga Gražinytė-Tyla	/wiki/Mirga_Gra%C5%BEinyt%C4%97-Tyla	['1900', '1950']
Gintarė Jautakaitė	/wiki/Gintar%C4%97_Jautakait%C4%97	['1900', '1950']
Gintaras Januševičius	/wiki/Gintaras_Janu%C5%A1evi%C4%8Dius	['1900', '1950']
Algirdas Kaušpėdas	/wiki/Algirdas_Kau%C5%A1p%C4%97das	['1900', '1950']
Nomeda Kazlaus	/wiki/Nomeda_Kazlaus	['1900', '1950']
Vytautas Kernagis	/wiki/Vytautas_Kernagis	['1951', '2008']
Algis Kizys	/wiki/Algis_Kizys	['1900', '1950']
Irma Kliauzaitė	/wiki/Irma_Kliauzait%C4%97	['1900', '1950']
Petras Kunca	/wiki/Petras_Kunca	['1900', '1950']
Monika Linkytė	/wiki/Monika_Linkyt%C4%97	['1900', '1950']
