text	link	year
Victor Bodson	/wiki/Victor_Bodson	['1902', '1984']
Carole Dieschbourg	/wiki/Carole_Dieschbourg	['1977', '2025']
Jean-Claude Juncker	/wiki/Jean-Claude_Juncker	['1954', '2025']
Jacques Santer	/wiki/Jacques_Santer	['1937', '2025']
Robert Schuman	/wiki/Robert_Schuman	['1886', '1963']
Gaston Thorn	/wiki/Gaston_Thorn	['1928', '2007']
Pierre Werner	/wiki/Pierre_Werner	['1913', '2002']
Pol Albrecht	/wiki/Pol_Albrecht	['1874', '1975']
Louis Beicht	/wiki/Louis_Beicht	['1886', '1943']
Charles Bernhoeft	/wiki/Charles_Bernhoeft	['1859', '1933']
Emile Boeres	/wiki/Emile_Boeres	['1890', '1944']
Pierre Brandebourg	/wiki/Pierre_Brandebourg	['1824', '1878']
Josy Braun	/wiki/Josy_Braun	['1938', '2025']
Elisabeth Calmes	/wiki/Elisabeth_Calmes	['1947', '2025']
Sandrine Cantoreggi	/wiki/Sandrine_Cantoreggi	['1969', '2025']
Claus Cito	/wiki/Claus_Cito	['1882', '1965']
Jim Clemes	/wiki/Jim_Clemes	['1957', '2025']
Simone Decker	/wiki/Simone_Decker	['1968', '2025']
Michel Engels	/wiki/Michel_Engels	['1851', '1901']
Tatiana Fabeck	/wiki/Tatiana_Fabeck	['1970', '2025']
Batty Fischer	/wiki/Batty_Fischer	['1877', '1958']
Jean-Baptiste Fresez	/wiki/Jean-Baptiste_Fresez	['1800', '1867']
Johny Fritz	/wiki/Johny_Fritz	['1944', '2025']
Patrick Galbats	/wiki/Patrick_Galbats	['1978', '2025']
Hugo Gernsback	/wiki/Hugo_Gernsback	['1884', '1967']
Thérèse Glaesener-Hartmann	/wiki/Th%C3%A9r%C3%A8se_Glaesener-Hartmann	['1858', '1923']
Gust Graas	/wiki/Gust_Graas	['1924', '2025']
Françoise Groben	/wiki/Fran%C3%A7oise_Groben	['1965', '2011']
Ernie Hammes	/wiki/Ernie_Hammes	['1968', '2025']
Georges Hausemer	/wiki/Georges_Hausemer	['1957', '2025']
Guy Helminger	/wiki/Guy_Helminger	['1963', '2025']
Nico Helminger	/wiki/Nico_Helminger	['1953', '2025']
Max Jacoby	/wiki/Max_Jacoby	['1977', '2025']
Pierre Joris	/wiki/Pierre_Joris	['1946', '2025']
Gustave Kahnt	/wiki/Gustave_Kahnt	['1848', '1923']
Jean-Pierre Kemmer	/wiki/Jean-Pierre_Kemmer	['1923', '1991']
Mariette Kemmer	/wiki/Mariette_Kemmer	['1953', '2025']
Théo Kerg	/wiki/Th%C3%A9o_Kerg	['1909', '1993']
Camille Kerger	/wiki/Camille_Kerger	['1957', '2025']
Will Kesseler	/wiki/Will_Kesseler	['1899', '1983']
Jean-Marie Kieffer	/wiki/Jean-Marie_Kieffer	['1960', '2025']
Emile Kirscht	/wiki/Emile_Kirscht	['1913', '1994']
