text	link	year
Katya Paskaleva	/wiki/Katya_Paskaleva	['1945', '2002']
Andrey Damyanov	/wiki/Andrey_Damyanov	['1813', '1878']
Naum Torbov	/wiki/Naum_Torbov	['1880', '1952']
Kroum Pindoff	/wiki/Kroum_Pindoff	['1915', '2025']
Paisiy Hilendarski	/wiki/Paisiy_Hilendarski	['1722', '1773']
Kiril Peychinovich	/wiki/Kiril_Peychinovich	['1770', '1865']
Neofit Rilski	/wiki/Neofit_Rilski	['1793', '1881']
Parteniy Zografski	/wiki/Parteniy_Zografski	['1818', '1876']
Lazar Mladenov	/wiki/Lazar_Mladenov	['1854', '1917']
Atanas Badev	/wiki/Atanas_Badev	['1860', '1908']
Dimitar Rizov	/wiki/Dimitar_Rizov	['1862', '1918']
Nikola Stoyanov	/wiki/Nikola_Stoyanov	['1874', '1967']
Simeon Radev	/wiki/Simeon_Radev	['1879', '1967']
Dimitar Petrov	/wiki/Dimitar_Petrov	['1924', '2025']
George Lebamoff	/wiki/George_Lebamoff	['1900', '1950']
Hristofor Zhefarovich	/wiki/Hristofor_Zhefarovich	['1900', '1950']
Miladinov Brothers	/wiki/Miladinov_Brothers	['1810', '1862']
Marko Cepenkov	/wiki/Marko_Cepenkov	['1829', '1920']
Grigor Parlichev	/wiki/Grigor_Parlichev	['1830', '1893']
Kuzman Shapkarev	/wiki/Kuzman_Shapkarev	['1834', '1909']
Jordan Hadži Konstantinov-Džinot	/wiki/Jordan_Had%C5%BEi_Konstantinov-D%C5%BEinot	['1818', '1882']
Rajko Žinzifov	/wiki/Rajko_%C5%BDinzifov	['1839', '1877']
Krste Misirkov	/wiki/Krste_Misirkov	['1874', '1926']
Voydan Chernodrinski	/wiki/Voydan_Chernodrinski	['1875', '1951']
Hristo Silyanov	/wiki/Hristo_Silyanov	['1880', '1939']
Dimitar Talev	/wiki/Dimitar_Talev	['1898', '1966']
Hristo Smirnenski	/wiki/Hristo_Smirnenski	['1898', '1923']
Atanas Dalchev	/wiki/Atanas_Dalchev	['1904', '1978']
Nikola Vaptsarov	/wiki/Nikola_Vaptsarov	['1909', '1942']
Venko Markovski	/wiki/Venko_Markovski	['1915', '1988']
Krastyo Hadzhiivanov	/wiki/Krastyo_Hadzhiivanov	['1929', '1952']
Kliment Boyadzhiev	/wiki/Kliment_Boyadzhiev	['1861', '1933']
Konstantin Zhostov	/wiki/Konstantin_Zhostov	['1867', '1916']
Boris Drangov	/wiki/Boris_Drangov	['1872', '1917']
Petar Darvingov	/wiki/Petar_Darvingov	['1875', '1958']
Dimitar Mladenov	/wiki/Dimitar_Mladenov	['1895', '1951']
Kiril Yanchulev	/wiki/Kiril_Yanchulev	['1896', '1961']
Dimitar Blagoev	/wiki/Dimitar_Blagoev	['1856', '1924']
Andrey Lyapchev	/wiki/Andrey_Lyapchev	['1866', '1933']
Dimitar Vlahov	/wiki/Dimitar_Vlahov	['1878', '1953']
Spiro Kitinchev	/wiki/Spiro_Kitinchev	['1895', '1946']
