text	link	year
Sopater	/wiki/Sopater	['1900', '1950']
Saint Hermes	/wiki/Saint_Hermes	['1900', '1950']
Theodora	/wiki/Theodora_(Roman_martyr)	['1900', '1950']
Athryilatus	/wiki/Athryilatus	['1900', '1950']
Agape, Chionia, and Irene	/wiki/Agape,_Chionia,_and_Irene	['1900', '1950']
Saint Demetrius	/wiki/Saint_Demetrius	['1900', '1950']
Basil I	/wiki/Basil_I	['1900', '1950']
Nikephoros Bryennios the Younger	/wiki/Nikephoros_Bryennios_the_Younger	['1062', '1137']
Zealots, Thessalonica	/wiki/Zealots,_Thessalonica	['1342', '1350']
Saints Cyril and Methodius	/wiki/Saints_Cyril_and_Methodius	['827', '869']
Philotheus Kokkinos	/wiki/Philotheus_Kokkinos	['1300', '1379']
Matthew Blastares	/wiki/Matthew_Blastares	['1290', '1360']
Nicholas Cabasilas	/wiki/Nicholas_Cabasilas	['1319', '1391']
Stobaeus	/wiki/Stobaeus	['1900', '1950']
John Kaminiates	/wiki/John_Kaminiates	['1900', '1950']
Demetrius Triclinius	/wiki/Demetrius_Triclinius	['1900', '1950']
Thomas Magister	/wiki/Thomas_Magister	['1275', '1325']
Gregory Acindynus	/wiki/Gregory_Acindynus	['1300', '1348']
Demetrius Cydones	/wiki/Demetrius_Cydones	['1324', '1397']
Prochorus Cydones	/wiki/Prochorus_Cydones	['1330', '1369']
Nikephoros Choumnos	/wiki/Nikephoros_Choumnos	['1250', '1327']
Konstantinos Armenopoulos	/wiki/Konstantinos_Armenopoulos	['1900', '1950']
John Anagnostes	/wiki/John_Anagnostes	['1900', '1950']
Theodorus Gaza	/wiki/Theodorus_Gaza	['1400', '1475']
Mazaris	/wiki/Mazaris	['1900', '1950']
Georgios Kontaris	/wiki/Georgios_Kontaris	['1900', '1950']
Macedonian Renaissance	/wiki/Macedonian_Renaissance	['1900', '1950']
Michael Astrapas and Eutychios	/wiki/Michael_Astrapas_and_Eutychios	['1900', '1950']
Andronikos Kallistos	/wiki/Andronikos_Kallistos	['1400', '1486']
Ioannis Kottounios	/wiki/Ioannis_Kottounios	['1572', '1657']
Konstantinos Kallokratos	/wiki/Konstantinos_Kallokratos	['1589', '2025']
Kallinikos Manios	/wiki/Kallinikos_Manios	['1624', '1665']
Georgios Parakeimenos	/wiki/Georgios_Parakeimenos	['1900', '1950']
Sevastos Leontiadis	/wiki/Sevastos_Leontiadis	['1690', '1765']
Michail Papageorgiou	/wiki/Michail_Papageorgiou	['1727', '1796']
Dimitrios Karakasis	/wiki/Dimitrios_Karakasis	['1900', '1950']
Melnik, Bulgaria	/wiki/Melnik,_Bulgaria	['1900', '1950']
Konstantinos Michail	/wiki/Konstantinos_Michail	['1900', '1950']
Kleisoura, Kastoria	/wiki/Kleisoura,_Kastoria	['1754', '1823']
Kozani	/wiki/Kozani	['1768', '1823']
Georgios Sakellarios	/wiki/Georgios_Sakellarios	['1765', '1838']
Kozani	/wiki/Kozani	['1766', '1828']
Athanasios Christopoulos	/wiki/Athanasios_Christopoulos	['1772', '1847']
Grigorios Zalykis	/wiki/Grigorios_Zalykis	['1777', '1820']
Kozani	/wiki/Kozani	['1783', '1854']
Edessa, Greece	/wiki/Edessa,_Greece	['1900', '1950']
Stagira	/wiki/Stagira	['1900', '1950']
