text	link	year
George Atanasoski	/wiki/George_Atanasoski	['1900', '1950']
John Bitove	/wiki/John_Bitove	['1900', '1950']
John Bitove, Sr.	/wiki/John_Bitove,_Sr.	['1900', '1950']
Andy Peykoff	/wiki/Andy_Peykoff	['1900', '1950']
Mike Ilitch	/wiki/Mike_Ilitch	['1900', '1950']
Mike Zafirovski	/wiki/Mike_Zafirovski	['1900', '1950']
Steve Stavro	/wiki/Steve_Stavro	['1900', '1950']
Pero Angeleski	/wiki/Pero_Angeleski	['1900', '1950']
Zoran Baldovaliev	/wiki/Zoran_Baldovaliev	['1900', '1950']
Boško Gjurovski	/wiki/Bo%C5%A1ko_Gjurovski	['1900', '1950']
Mario Gjurovski	/wiki/Mario_Gjurovski	['1900', '1950']
Milko Gjurovski	/wiki/Milko_Gjurovski	['1900', '1950']
Dragi Setinov	/wiki/Dragi_Setinov	['1900', '1950']
Gjorgji Hristov	/wiki/Gjorgji_Hristov	['1900', '1950']
Cedomir Janevski	/wiki/Cedomir_Janevski	['1900', '1950']
Marek Jankulovski	/wiki/Marek_Jankulovski	['1900', '1950']
Jovan Kirovski	/wiki/Jovan_Kirovski	['1900', '1950']
Goran Maznov	/wiki/Goran_Maznov	['1900', '1950']
Igor Mitreski	/wiki/Igor_Mitreski	['1900', '1950']
Ilčo Naumoski	/wiki/Il%C4%8Do_Naumoski	['1900', '1950']
Ilija Nestorovski	/wiki/Ilija_Nestorovski	['1900', '1950']
Oka Nikolov	/wiki/Oka_Nikolov	['1900', '1950']
Jane Nikolovski	/wiki/Jane_Nikolovski	['1900', '1950']
Darko Pančev	/wiki/Darko_Pan%C4%8Dev	['1900', '1950']
Goran Pandev	/wiki/Goran_Pandev	['1900', '1950']
Sasko Pandev	/wiki/Sasko_Pandev	['1900', '1950']
Robert Petrov	/wiki/Robert_Petrov	['1900', '1950']
Goran Popov	/wiki/Goran_Popov	['1900', '1950']
Robert Popov	/wiki/Robert_Popov	['1900', '1950']
Stevica Ristić	/wiki/Stevica_Risti%C4%87	['1900', '1950']
Goce Sedloski	/wiki/Goce_Sedloski	['1900', '1950']
Goran Slavkovski	/wiki/Goran_Slavkovski	['1900', '1950']
Vujadin Stanojković	/wiki/Vujadin_Stanojkovi%C4%87	['1900', '1950']
Mile Sterjovski	/wiki/Mile_Sterjovski	['1900', '1950']
Veliče Šumulikoski	/wiki/Veli%C4%8De_%C5%A0umulikoski	['1900', '1950']
Goce Toleski	/wiki/Goce_Toleski	['1900', '1950']
Vančo Trajanov	/wiki/Van%C4%8Do_Trajanov	['1900', '1950']
Jovica Trajčev	/wiki/Jovica_Traj%C4%8Dev	['1900', '1950']
Ivan Tričkovski	/wiki/Ivan_Tri%C4%8Dkovski	['1900', '1950']
Aleksandar Vasoski	/wiki/Aleksandar_Vasoski	['1900', '1950']
Blagoja Vidinić	/wiki/Blagoja_Vidini%C4%87	['1900', '1950']
Peter Daicos	/wiki/Peter_Daicos	['1900', '1950']
Kiril Lazarov	/wiki/Kiril_Lazarov	['1900', '1950']
Atina Bojadži	/wiki/Atina_Bojad%C5%BEi	['1900', '1950']
Tomi Stefanovski	/wiki/Tomi_Stefanovski	['1900', '1950']
Steve Staios	/wiki/Steve_Staios	['1900', '1950']
Ed Jovanovski	/wiki/Ed_Jovanovski	['1900', '1950']
Dan Jancevski	/wiki/Dan_Jancevski	['1900', '1950']
Steven Stamkos	/wiki/Steven_Stamkos	['1900', '1950']
José Théodore	/wiki/Jos%C3%A9_Th%C3%A9odore	['1900', '1950']
Christopher Tanev	/wiki/Christopher_Tanev	['1900', '1950']
Ace Rusevski	/wiki/Ace_Rusevski	['1900', '1950']
Redžep Redžepovski	/wiki/Red%C5%BEep_Red%C5%BEepovski	['1900', '1950']
Petar Naumoski	/wiki/Petar_Naumoski	['1900', '1950']
Todor Gečevski	/wiki/Todor_Ge%C4%8Devski	['1900', '1950']
Vrbica Stefanov	/wiki/Vrbica_Stefanov	['1900', '1950']
Vlado Ilievski	/wiki/Vlado_Ilievski	['1900', '1950']
Pero Antić	/wiki/Pero_Anti%C4%87	['1900', '1950']
Lina Gjorcheska	/wiki/Lina_Gjorcheska	['1900', '1950']
Kevin Kouzmanoff	/wiki/Kevin_Kouzmanoff	['1900', '1950']
Pete Stoyanovich	/wiki/Pete_Stoyanovich	['1900', '1950']
Miroslav Grčev	/wiki/Miroslav_Gr%C4%8Dev	['1900', '1950']
Dimitar Avramovski–Pandilov	/wiki/Dimitar_Avramovski%E2%80%93Pandilov	['1900', '1950']
Nikola Martinovski	/wiki/Nikola_Martinovski	['1900', '1950']
Dimitar Kondovski	/wiki/Dimitar_Kondovski	['1900', '1950']
Lazar Licenoski	/wiki/Lazar_Licenoski	['1900', '1950']
Petar Mazev	/wiki/Petar_Mazev	['1900', '1950']
Tomo Vladimirski	/wiki/Tomo_Vladimirski	['1900', '1950']
Vangel Kodzoman	/wiki/Vangel_Kodzoman	['1900', '1950']
Rahim Blak	/wiki/Rahim_Blak	['1900', '1950']
Gavril Atanasov	/wiki/Gavril_Atanasov	['1900', '1950']
Maja Hill	/wiki/Maja_Hill	['1900', '1950']
Gligor Stefanov	/wiki/Gligor_Stefanov	['1900', '1950']
Touriya Haoud	/wiki/Touriya_Haoud	['1900', '1950']
Meto Jovanovski	/wiki/Meto_Jovanovski_(actor)	['1900', '1950']
Labina Mitevska	/wiki/Labina_Mitevska	['1900', '1950']
Tony Naumovski	/wiki/Tony_Naumovski	['1900', '1950']
Naum Panovski	/wiki/Naum_Panovski	['1900', '1950']
Igor Džambazov	/wiki/Igor_D%C5%BEambazov	['1900', '1950']
Petre Prličko	/wiki/Petre_Prli%C4%8Dko	['1900', '1950']
Vlado Jovanovski	/wiki/Vlado_Jovanovski	['1900', '1950']
Gjorgji Kolozov	/wiki/Gjorgji_Kolozov	['1900', '1950']
Toni Mihajlovski	/wiki/Toni_Mihajlovski	['1900', '1950']
Simona Brown	/wiki/Simona_Brown	['1900', '1950']
Petar Gligorovski	/wiki/Petar_Gligorovski	['1900', '1950']
