text	link	year
Emmie Chanika	/wiki/Emmie_Chanika	['1900', '1950']
John Chilembwe	/wiki/John_Chilembwe	['1900', '1950']
Rafiq Hajat	/wiki/Rafiq_Hajat	['1900', '1950']
David Rubadiri	/wiki/David_Rubadiri	['1900', '1950']
Felix Mnthali	/wiki/Felix_Mnthali	['1900', '1950']
Frank Chipasula	/wiki/Frank_Chipasula	['1900', '1950']
Jack Mapanje	/wiki/Jack_Mapanje	['1900', '1950']
John Lwanda	/wiki/John_Lwanda	['1900', '1950']
Shemu Joyah	/wiki/Shemu_Joyah	['1900', '1950']
Stanley Onjezani Kenani	/wiki/Stanley_Onjezani_Kenani	['1900', '1950']
Steve Chimombo	/wiki/Steve_Chimombo	['1900', '1950']
Attati Mpakati	/wiki/Attati_Mpakati	['1900', '1950']
Bakili Muluzi	/wiki/Bakili_Muluzi	['1900', '1950']
Bingu wa Mutharika	/wiki/Bingu_wa_Mutharika	['1900', '1950']
Brown Chimphamba	/wiki/Brown_Chimphamba	['1900', '1950']
Brown Mpinganjira	/wiki/Brown_Mpinganjira	['1900', '1950']
Chakufwa Chihana	/wiki/Chakufwa_Chihana	['1900', '1950']
David Rubadiri	/wiki/David_Rubadiri	['1900', '1950']
Davis Katsonga	/wiki/Davis_Katsonga	['1900', '1950']
Dunduzu Chisiza	/wiki/Dunduzu_Chisiza	['1900', '1950']
Eric Chiwaya	/wiki/Eric_Chiwaya	['1900', '1950']
George Chaponda	/wiki/George_Chaponda	['1900', '1950']
Gwanda Chakuamba	/wiki/Gwanda_Chakuamba	['1900', '1950']
Hastings Kamuzu Banda	/wiki/Hastings_Kamuzu_Banda	['1900', '1950']
Henry Chipembere	/wiki/Henry_Chipembere	['1900', '1950']
John Zenas Ungapake Tembo	/wiki/John_Zenas_Ungapake_Tembo	['1900', '1950']
Joyce Banda	/wiki/Joyce_Banda	['1900', '1950']
Kanyama Chiume	/wiki/Kanyama_Chiume	['1900', '1950']
Maxwell Mkwezalamba	/wiki/Maxwell_Mkwezalamba	['1900', '1950']
Yatuta Chisiza	/wiki/Yatuta_Chisiza	['1900', '1950']
Zimani Kadzamira	/wiki/Zimani_Kadzamira	['1900', '1950']
Rachel Sibande	/wiki/Rachel_Sibande	['1986', '2025']
Esau Kanyenda	/wiki/Esau_Kanyenda	['1900', '1950']
Tamika Mkandawire	/wiki/Tamika_Mkandawire	['1900', '1950']
Drake Thadzi	/wiki/Drake_Thadzi	['1900', '1950']
Cecilia Kadzamira	/wiki/Cecilia_Kadzamira	['1900', '1950']
Charles Domingo	/wiki/Charles_Domingo	['1900', '1950']
Elliot Kenan Kamwana	/wiki/Elliot_Kenan_Kamwana	['1900', '1950']
Allan Ngumuya	/wiki/Allan_Ngumuya	['1900', '1950']
Hetherwick Ntaba	/wiki/Hetherwick_Ntaba	['1900', '1950']
Jane Kambalame	/wiki/Jane_Kambalame	['1900', '1950']
Justin Malewezi	/wiki/Justin_Malewezi	['1900', '1950']
Orton Chirwa	/wiki/Orton_Chirwa	['1900', '1950']
Vera Chirwa	/wiki/Vera_Chirwa	['1900', '1950']
William Kamkwamba	/wiki/William_Kamkwamba	['1900', '1950']
