text	link	year
Anwar Fazal	/wiki/Anwar_Fazal	['1900', '1950']
Mazlan Othman	/wiki/Mazlan_Othman	['1900', '1950']
Sheikh Muszaphar Shukor	/wiki/Sheikh_Muszaphar_Shukor	['1900', '1950']
Faiz Khaleed	/wiki/Faiz_Khaleed	['1900', '1950']
Nasimuddin Amin	/wiki/Nasimuddin_Amin	['1900', '1950']
Syed Mokhtar Al-Bukhary	/wiki/Syed_Mokhtar_Al-Bukhary	['1900', '1950']
Halim Saad	/wiki/Halim_Saad	['1900', '1950']
Saleh Sulong	/wiki/Saleh_Sulong	['1900', '1950']
FD Iskandar	/wiki/FD_Iskandar	['1900', '1950']
Azman Hashim	/wiki/Azman_Hashim	['1900', '1950']
Nazir Razak	/wiki/Nazir_Razak	['1900', '1950']
Abdul Wahid Omar	/wiki/Abdul_Wahid_Omar	['1900', '1950']
Mokhzani Mahathir	/wiki/Mokhzani_Mahathir	['1900', '1950']
Norman Musa	/wiki/Norman_Musa	['1900', '1950']
Chef Wan	/wiki/Chef_Wan	['1900', '1950']
Muid Latif	/wiki/Muid_Latif	['1900', '1950']
Nor Aini Shariff	/wiki/Nor_Aini_Shariff	['1900', '1950']
Ashley Isham	/wiki/Ashley_Isham	['1900', '1950']
Shila Amzah	/wiki/Shila_Amzah	['1900', '1950']
Yuna	/wiki/Yuna_(singer)	['1900', '1950']
Aliff Aziz	/wiki/Aliff_Aziz	['1900', '1950']
Maria	/wiki/Maria_(Meria_Aires)	['1900', '1950']
Jamal Abdillah	/wiki/Jamal_Abdillah	['1900', '1950']
Sudirman Arshad	/wiki/Sudirman_Arshad	['1900', '1950']
Yasmin Ahmad	/wiki/Yasmin_Ahmad	['1900', '1950']
Taufik Batisah	/wiki/Taufik_Batisah	['1900', '1950']
Zul F	/wiki/Zul_F	['1900', '1950']
Erwin Gutawa	/wiki/Erwin_Gutawa	['1900', '1950']
Eqah	/wiki/Eqah	['1900', '1950']
Erra Fazira	/wiki/Erra_Fazira	['1900', '1950']
Sean Ghazi	/wiki/Sean_Ghazi	['1900', '1950']
Gita Gutawa	/wiki/Gita_Gutawa	['1900', '1950']
Nazril Irham	/wiki/Nazril_Irham	['1900', '1950']
Fauziah Latiff	/wiki/Fauziah_Latiff	['1900', '1950']
Sheila Majid	/wiki/Sheila_Majid	['1900', '1950']
Amy Mastura	/wiki/Amy_Mastura	['1900', '1950']
M. Nasir	/wiki/M._Nasir	['1900', '1950']
Noorhaqmal Mohamed Noor	/wiki/Noorhaqmal_Mohamed_Noor	['1900', '1950']
Siti Nurhaliza	/wiki/Siti_Nurhaliza	['1900', '1950']
Anuar Zain	/wiki/Anuar_Zain	['1900', '1950']
Aziz M. Osman	/wiki/Aziz_M._Osman	['1900', '1950']
Fasha Sandha	/wiki/Fasha_Sandha	['1900', '1950']
