text	link	year
Malacca	/wiki/Malacca#Notable_people	['1900', '1950']
Afifi al-Akiti	/wiki/Afifi_al-Akiti	['1900', '1950']
Khasnor Johan	/wiki/Khasnor_Johan	['1900', '1950']
Khoo Kay Kim	/wiki/Khoo_Kay_Kim	['1900', '1950']
Jomo Kwame Sundaram	/wiki/Jomo_Kwame_Sundaram	['1900', '1950']
Danny Quah	/wiki/Danny_Quah	['1900', '1950']
Ungku Abdul Aziz	/wiki/Ungku_Abdul_Aziz	['1900', '1950']
Lam Wei Haur	/wiki/Lam_Wei_Haur	['1900', '1950']
Lee Poh Ping	/wiki/Lee_Poh_Ping	['1900', '1950']
Azman Hashim	/wiki/Azman_Hashim	['1938', '2025']
Syed Mokhtar Al-Bukhary	/wiki/Syed_Mokhtar_Al-Bukhary	['1956', '2025']
Loh Boon Siew	/wiki/Loh_Boon_Siew	['1915', '1995']
Jeffrey Cheah	/wiki/Jeffrey_Cheah	['1900', '1950']
William Cheng	/wiki/William_Cheng	['1900', '1950']
Choong Chin Liang	/wiki/Choong_Chin_Liang	['1920', '2025']
Tony Fernandes	/wiki/Tony_Fernandes	['1964', '2025']
Lim Goh Tong	/wiki/Lim_Goh_Tong	['1918', '2007']
Tiong Hiew King	/wiki/Tiong_Hiew_King	['1900', '1950']
Chung Keng Quee	/wiki/Chung_Keng_Quee	['1827', '1901']
Ananda Krishnan	/wiki/Ananda_Krishnan	['1938', '2025']
Robert Kuok	/wiki/Robert_Kuok	['1923', '2025']
Quek Leng Chan	/wiki/Quek_Leng_Chan	['1941', '2025']
Shoba Purushothaman	/wiki/Shoba_Purushothaman	['1900', '1950']
Shah Hakim Zain	/wiki/Shah_Hakim_Zain	['1900', '1950']
Halim Saad	/wiki/Halim_Saad	['1900', '1950']
Saleh Sulong	/wiki/Saleh_Sulong	['1900', '1950']
Vincent Tan	/wiki/Vincent_Tan	['1952', '2025']
Lillian Too	/wiki/Lillian_Too	['1946', '2025']
Francis Yeoh	/wiki/Francis_Yeoh	['1900', '1950']
Daim Zainuddin	/wiki/Daim_Zainuddin	['1938', '2025']
Kong Hon Kong	/wiki/Kong_Hon_Kong	['1900', '1950']
Armin Baniaz Pahamin	/wiki/Armin_Baniaz_Pahamin	['1900', '1950']
Bernard Chandran	/wiki/Bernard_Chandran	['1900', '1950']
Jimmy Choo	/wiki/Jimmy_Choo	['1961', '2025']
Melinda Looi	/wiki/Melinda_Looi	['1900', '1950']
Ren Ng	/wiki/Ren_Ng	['1900', '1950']
Shila Amzah	/wiki/Shila_Amzah	['1990', '2025']
Gary Chaw	/wiki/Gary_Chaw	['1979', '2025']
Joyce Chu	/wiki/Joyce_Chu	['1997', '2025']
Yasmin Ahmad	/wiki/Yasmin_Ahmad	['1958', '2009']
Stacy	/wiki/Stacy_(singer)	['1900', '1950']
Francissca Peter	/wiki/Francissca_Peter	['1961', '2025']
Jamal Abdillah	/wiki/Jamal_Abdillah	['1959', '2025']
Sudirman Arshad	/wiki/Sudirman_Arshad	['1954', '1992']
Loganathan Arumugam	/wiki/Loganathan_Arumugam	['1900', '1950']
David Arumugam	/wiki/David_Arumugam	['1900', '1950']
Awal Ashaari	/wiki/Awal_Ashaari	['1900', '1950']
Alvin Anthons	/wiki/Alvin_Anthons	['1976', '2025']
Mawi	/wiki/Mawi	['1981', '2025']
Awie	/wiki/Awie	['1968', '2025']
Ning Baizura	/wiki/Ning_Baizura	['1975', '2025']
Kasma Booty	/wiki/Kasma_Booty	['1900', '1950']
Ella	/wiki/Ella_(Malaysian_singer)	['1966', '2025']
Erra Fazira	/wiki/Erra_Fazira	['1974', '2025']
Sean Ghazi	/wiki/Sean_Ghazi	['1969', '2025']
Fauziah Latiff	/wiki/Fauziah_Latiff	['1970', '2025']
Angelica Lee	/wiki/Angelica_Lee	['1976', '2025']
Daniel Lee Chee Hun	/wiki/Daniel_Lee_Chee_Hun	['1983', '2025']
Fish Leong	/wiki/Fish_Leong	['1983', '2025']
Sheila Majid	/wiki/Sheila_Majid	['1965', '2025']
Amy Mastura	/wiki/Amy_Mastura	['1971', '2025']
M. Nasir	/wiki/M._Nasir	['1957', '2025']
Meor Aziddin Yusof	/wiki/Meor_Aziddin_Yusof	['1967', '2025']
Ah Niu	/wiki/Ah_Niu	['1976', '2025']
Dayang Nurfaizah	/wiki/Dayang_Nurfaizah	['1981', '2025']
Shanon Shah	/wiki/Shanon_Shah	['1978', '2025']
Siti Nurhaliza	/wiki/Siti_Nurhaliza	['1979', '2025']
Misha Omar	/wiki/Misha_Omar	['1982', '2025']
Hani Mohsin	/wiki/Hani_Mohsin	['1965', '2006']
Aziz M. Osman	/wiki/Aziz_M._Osman	['1962', '2025']
Azmyl Yunor	/wiki/Azmyl_Yunor	['1977', '2025']
P. Ramlee	/wiki/P._Ramlee	['1929', '2025']
Aziz Sattar	/wiki/Aziz_Sattar	['1925', '2025']
Fasha Sandha	/wiki/Fasha_Sandha	['1984', '2025']
Aznil Nawawi	/wiki/Aznil_Nawawi	['1962', '2025']
Din Beramboi	/wiki/Din_Beramboi	['1966', '2010']
Nicholas Teo	/wiki/Nicholas_Teo	['1981', '2025']
Pete Teo	/wiki/Pete_Teo	['1900', '1950']
Penny Tai	/wiki/Penny_Tai	['1978', '2025']
Hannah Tan	/wiki/Hannah_Tan	['1981', '2025']
Jaclyn Victor	/wiki/Jaclyn_Victor	['1978', '2025']
Scha Alyahya	/wiki/Scha_Alyahya	['1983', '2025']
Fazura	/wiki/Fazura	['1983', '2025']
Lisa Surihani	/wiki/Lisa_Surihani	['1986', '2025']
Chef Wan	/wiki/Chef_Wan	['1900', '1950']
Adira	/wiki/Adira	['1900', '1950']
Michael Wong	/wiki/Michael_Wong_(singer)	['1970', '2025']
Victor Wong	/wiki/Victor_Wong_(singer)	['1972', '2025']
Michelle Yeoh	/wiki/Michelle_Yeoh	['1962', '2025']
James Wan	/wiki/James_Wan	['1977', '2025']
Ziana Zain	/wiki/Ziana_Zain	['1968', '2025']
Zee Avi	/wiki/Zee_Avi	['1900', '1950']
Yuna	/wiki/Yuna_(singer)	['1986', '2025']
Ahmad Zamil	/wiki/Ahmad_Zamil	['1978', '2025']
Neelofa	/wiki/Neelofa	['1989', '2025']
Adnan Bin Saidi	/wiki/Adnan_Bin_Saidi	['1915', '1942']
Antanum	/wiki/Antanum	['1900', '1950']
Rentap	/wiki/Rentap	['1900', '1950']
Syarif Masahor	/wiki/Syarif_Masahor	['1900', '1950']
Monsopiad	/wiki/Monsopiad	['1900', '1950']
Haji Abdul Rahman Limbong	/wiki/Haji_Abdul_Rahman_Limbong	['1900', '1950']
Mat Salleh Rebellion	/wiki/Mat_Salleh_Rebellion	['1900', '1950']
Rosli Dhobi	/wiki/Rosli_Dhobi	['1900', '1950']
Siti Aisyah Alias	/wiki/Siti_Aisyah_Alias	['1966', '2025']
Parameswara	/wiki/Parameswara_(sultan)	['1900', '1950']
Tunku Abdul Rahman Putra Al-Haj	/wiki/Tunku_Abdul_Rahman_Putra_Al-Haj	['1900', '1950']
V. T. Sambanthan	/wiki/V._T._Sambanthan	['1900', '1950']
Tan Cheng Lock	/wiki/Tan_Cheng_Lock	['1900', '1950']
Tun Abdul Razak	/wiki/Tun_Abdul_Razak	['1900', '1950']
Tun Hussein Onn	/wiki/Tun_Hussein_Onn	['1900', '1950']
Mahathir Mohamad	/wiki/Mahathir_Mohamad	['1900', '1950']
Abdullah Ahmad Badawi	/wiki/Abdullah_Ahmad_Badawi	['1900', '1950']
Najib Tun Razak	/wiki/Najib_Tun_Razak	['1900', '1950']
Ong Ka Ting	/wiki/Ong_Ka_Ting	['1900', '1950']
