text	link	year
Muhammad Thakurufaanu Al Auzam	/wiki/Muhammad_Thakurufaanu_Al_Auzam	['1900', '1950']
Mohamed Zahir Hussain	/wiki/Mohamed_Zahir_Hussain	['1900', '1950']
Ilyas Hussain Ibrahim	/wiki/Ilyas_Hussain_Ibrahim	['1900', '1950']
Moosa Ali Jaleel	/wiki/Moosa_Ali_Jaleel	['1900', '1950']
Imad Latheef	/wiki/Imad_Latheef	['1900', '1950']
Jennifer Latheef	/wiki/Jennifer_Latheef	['1900', '1950']
Ahmed Shafeeq Ibrahim Moosa	/wiki/Ahmed_Shafeeq_Ibrahim_Moosa	['1900', '1950']
Mohamed Munavvar	/wiki/Mohamed_Munavvar	['1900', '1950']
Hassan Evan Naseem	/wiki/Hassan_Evan_Naseem	['1900', '1950']
Hassan Saeed	/wiki/Hassan_Saeed	['1900', '1950']
Sultan Saeed	/wiki/Sultan_Saeed	['1900', '1950']
Husain Salaahuddin	/wiki/Husain_Salaahuddin	['1900', '1950']
Fathimath Shafeega	/wiki/Fathimath_Shafeega	['1900', '1950']
Mohamed bin Hajj Ali Thukkala	/wiki/Mohamed_bin_Hajj_Ali_Thukkala	['1900', '1950']
Hassan Ugail	/wiki/Hassan_Ugail	['1900', '1950']
Naushad Waheed	/wiki/Naushad_Waheed	['1900', '1950']
Mohamed Zahir	/wiki/Mohamed_Zahir	['1900', '1950']
Hassan Ugail	/wiki/Hassan_Ugail	['1900', '1950']
Mohamed Munavvar	/wiki/Mohamed_Munavvar	['1900', '1950']
Hassan Saeed	/wiki/Hassan_Saeed	['1900', '1950']
Hassan Ugail	/wiki/Hassan_Ugail	['1900', '1950']
Ibrahim Fauzee	/wiki/Ibrahim_Fauzee	['1900', '1950']
Dhiyamigili dynasty	/wiki/Dhiyamigili_dynasty	['1900', '1950']
Hilaalee dynasty	/wiki/Hilaalee_dynasty	['1900', '1950']
Huraa dynasty	/wiki/Huraa_dynasty	['1900', '1950']
Isdhoo dynasty	/wiki/Isdhoo_dynasty	['1900', '1950']
Utheemu dynasty	/wiki/Utheemu_dynasty	['1900', '1950']
