text	link	year
Sidibé Aminata Diallo	/wiki/Sidib%C3%A9_Aminata_Diallo	['1900', '1950']
Ahmad Baba al Massufi	/wiki/Ahmad_Baba_al_Massufi	['1556', '1627']
Mohammed Bagayogo	/wiki/Mohammed_Bagayogo	['1900', '1950']
Al-Qadi Aqib ibn Mahmud ibn Umar	/wiki/Al-Qadi_Aqib_ibn_Mahmud_ibn_Umar	['1900', '1950']
Ahmad Baba al Massufi	/wiki/Ahmad_Baba_al_Massufi	['1556', '1627']
Abdoulaye Ascofaré	/wiki/Abdoulaye_Ascofar%C3%A9	['1949', '2025']
Ibrahima Aya	/wiki/Ibrahima_Aya	['1967', '2025']
Amadou Hampâté Bâ	/wiki/Amadou_Hamp%C3%A2t%C3%A9_B%C3%A2	['1900', '1991']
Adame Ba Konaré	/wiki/Adame_Ba_Konar%C3%A9	['1947', '2025']
Massa Makan Diabaté	/wiki/Massa_Makan_Diabat%C3%A9	['1938', '1988']
Souéloum Diagho	/wiki/Sou%C3%A9loum_Diagho	['1900', '1950']
Aïda Mady Diallo	/wiki/A%C3%AFda_Mady_Diallo	['1900', '1950']
Alpha Mandé Diarra	/wiki/Alpha_Mand%C3%A9_Diarra	['1954', '2025']
Doumbi Fakoly	/wiki/Doumbi_Fakoly	['1944', '2025']
Aoua Kéita	/wiki/Aoua_K%C3%A9ita	['1912', '1980']
Moussa Konaté	/wiki/Moussa_Konat%C3%A9	['1900', '1950']
Yambo Ouologuem	/wiki/Yambo_Ouologuem	['1940', '2025']
Oumou Armand Diarra	/wiki/Oumou_Armand_Diarra	['1967', '2025']
Bernadette Sanou Dao	/wiki/Bernadette_Sanou_Dao	['1952', '2025']
Aminata Traoré	/wiki/Aminata_Traor%C3%A9	['1942', '2025']
Falaba Issa Traoré	/wiki/Falaba_Issa_Traor%C3%A9	['1930', '2003']
Abdoulaye Ascofaré	/wiki/Abdoulaye_Ascofar%C3%A9	['1900', '1950']
Souleymane Cissé	/wiki/Souleymane_Ciss%C3%A9	['1900', '1950']
Adama Drabo	/wiki/Adama_Drabo	['1900', '1950']
Assane Kouyaté	/wiki/Assane_Kouyat%C3%A9	['1900', '1950']
Cheick Oumar Sissoko	/wiki/Cheick_Oumar_Sissoko	['1900', '1950']
Falaba Issa Traoré	/wiki/Falaba_Issa_Traor%C3%A9	['1900', '1950']
Abdoulaye Diabaté	/wiki/Abdoulaye_Diabat%C3%A9	['1900', '1950']
Baba Sissoko	/wiki/Baba_Sissoko	['1900', '1950']
Bakari Sumano	/wiki/Bakari_Sumano	['1935', '2003']
Balla Tounkara	/wiki/Balla_Tounkara	['1900', '1950']
Djelimady Tounkara	/wiki/Djelimady_Tounkara	['1900', '1950']
Khaira Arby	/wiki/Khaira_Arby	['1959', '2018']
Issa Bagayogo	/wiki/Issa_Bagayogo	['1900', '1950']
Afel Bocoum	/wiki/Afel_Bocoum	['1900', '1950']
Fanta Damba	/wiki/Fanta_Damba	['1900', '1950']
Toumani Diabaté	/wiki/Toumani_Diabat%C3%A9	['1900', '1950']
Yaya Diallo	/wiki/Yaya_Diallo	['1900', '1950']
Tiken Jah Fakoly	/wiki/Tiken_Jah_Fakoly	['1900', '1950']
Mory Kanté	/wiki/Mory_Kant%C3%A9	['1900', '1950']
Salif Keita	/wiki/Salif_Keita	['1900', '1950']
Mamani Keïta	/wiki/Mamani_Ke%C3%AFta	['1900', '1950']
Habib Koité	/wiki/Habib_Koit%C3%A9	['1900', '1950']
Drissa Kone	/wiki/Drissa_Kone	['1900', '1950']
Kandia Kouyaté	/wiki/Kandia_Kouyat%C3%A9	['1900', '1950']
Moussa Kouyate	/wiki/Moussa_Kouyate	['1900', '1950']
Amadou et Mariam	/wiki/Amadou_et_Mariam	['1900', '1950']
Fanta Sacko	/wiki/Fanta_Sacko	['1900', '1950']
Oumou Sangaré	/wiki/Oumou_Sangar%C3%A9	['1900', '1950']
Ko Kan Ko Sata	/wiki/Ko_Kan_Ko_Sata	['1900', '1950']
Baba Sissoko	/wiki/Baba_Sissoko	['1900', '1950']
Jali Nyama Suso	/wiki/Jali_Nyama_Suso	['1900', '1950']
Tinariwen	/wiki/Tinariwen	['1900', '1950']
Djelimady Tounkara	/wiki/Djelimady_Tounkara	['1900', '1950']
Ali Farka Touré	/wiki/Ali_Farka_Tour%C3%A9	['1900', '1950']
Vieux Farka Touré	/wiki/Vieux_Farka_Tour%C3%A9	['1900', '1950']
Boubacar Traoré	/wiki/Boubacar_Traor%C3%A9	['1900', '1950']
Lobi Traoré	/wiki/Lobi_Traor%C3%A9	['1900', '1950']
Rokia Traoré	/wiki/Rokia_Traor%C3%A9	['1900', '1950']
Alioune Bâ	/wiki/Alioune_B%C3%A2	['1900', '1950']
Seydou Keïta	/wiki/Seydou_Ke%C3%AFta_(photographer)	['1900', '1950']
Malick Sidibé	/wiki/Malick_Sidib%C3%A9	['1900', '1950']
Yaya Coulibaly	/wiki/Yaya_Coulibaly	['1900', '1950']
Abdoulaye Konaté	/wiki/Abdoulaye_Konat%C3%A9	['1900', '1950']
Julien Mory Sidibé	/wiki/Julien_Mory_Sidib%C3%A9	['1900', '1950']
Sidi Yahya Mosque	/wiki/Sidi_Yahya_Mosque	['1900', '1950']
Sundiata Keita	/wiki/Sundiata_Keita	['1240', '1255']
Mansa Wali Keita	/wiki/Mansa_Wali_Keita	['1255', '1270']
Ouati Keita	/wiki/Ouati_Keita	['1270', '1274']
Khalifa Keita	/wiki/Khalifa_Keita	['1274', '1275']
Abu Bakr	/wiki/Abu_Bakr_(mansa)	['1275', '1285']
Sakura	/wiki/Sakura_(mansa)	['1285', '1300']
Gao	/wiki/Gao_(mansa)	['1300', '1305']
Mohammed ibn Gao	/wiki/Mohammed_ibn_Gao	['1305', '1310']
Abubakari II	/wiki/Abubakari_II	['1310', '1312']
Mansa Musa	/wiki/Mansa_Musa	['1312', '1337']
Maghan	/wiki/Maghan	['1337', '1341']
Suleyman	/wiki/Suleyman_(mansa)	['1341', '1360']
Kassa	/wiki/Kassa_(mansa)	['1900', '1950']
Mari Diata II	/wiki/Mari_Diata_II	['1360', '1374']
Musa II	/wiki/Musa_II_(mansa)	['1374', '1387']
Magha II	/wiki/Magha_II	['1387', '1389']
Sandaki	/wiki/Sandaki	['1389', '1390']
Mahmud	/wiki/Mahmud_(mansa)	['1390', '1400']
Bitòn Coulibaly	/wiki/Bit%C3%B2n_Coulibaly	['1900', '1950']
Ngolo Diarra	/wiki/Ngolo_Diarra	['1766', '1795']
Mansong Diarra	/wiki/Mansong_Diarra	['1795', '1808']
Seku Amadu	/wiki/Seku_Amadu	['1820', '1845']
Sulayman Bal	/wiki/Sulayman_Bal	['1900', '1950']
Babemba Traoré	/wiki/Babemba_Traor%C3%A9	['1900', '1950']
Ahmed Mohamed ag Hamani	/wiki/Ahmed_Mohamed_ag_Hamani	['1900', '1950']
