text	link	year
Samantha Barks	/wiki/Samantha_Barks	['1990', '2025']
Jamie Blackley	/wiki/Jamie_Blackley	['1991', '2025']
Amy Jackson	/wiki/Amy_Jackson	['1900', '1950']
Anthony Quayle	/wiki/Anthony_Quayle	['1913', '1989']
Robert Henry Cain	/wiki/Robert_Henry_Cain	['1909', '1974']
Fletcher Christian	/wiki/Fletcher_Christian	['1764', '1793']
William Garrett	/wiki/William_Garrett_(Medal_of_Honor)	['1842', '1916']
Peter Heywood	/wiki/Peter_Heywood	['1772', '1831']
Rayner Hoff	/wiki/Rayner_Hoff	['1894', '1937']
Bryan Kneale	/wiki/Bryan_Kneale	['1930', '2025']
Archibald Knox	/wiki/Archibald_Knox_(designer)	['1864', '1933']
Paul Lewthwaite	/wiki/Paul_Lewthwaite	['1969', '2025']
Chris Killip	/wiki/Chris_Killip	['1946', '2025']
Dan Auerbach	/wiki/Dan_Auerbach	['1979', '2025']
Barry Gibb	/wiki/Barry_Gibb	['1946', '2025']
Maurice Gibb	/wiki/Maurice_Gibb	['1949', '2003']
Robin Gibb	/wiki/Robin_Gibb	['1949', '2012']
Davy Knowles	/wiki/Davy_Knowles	['1987', '2025']
Harry Manx	/wiki/Harry_Manx	['1955', '2025']
Illiam Dhone	/wiki/Illiam_Dhone	['1900', '1950']
Robert Kermode	/wiki/Robert_Kermode	['1812', '1870']
Dan Quayle	/wiki/Dan_Quayle	['1947', '2025']
Miles Walker	/wiki/Miles_Walker	['1940', '2025']
Martin Bridson	/wiki/Martin_Bridson	['1964', '2025']
Edward Forbes	/wiki/Edward_Forbes	['1815', '1854']
John Kelly	/wiki/John_Kelly_(scholar)	['1750', '1809']
Frank Kermode	/wiki/Frank_Kermode	['1919', '2010']
Randolph Quirk	/wiki/Randolph_Quirk	['1900', '1950']
Jonathan Bellis	/wiki/Jonathan_Bellis	['1988', '2025']
Mark Cavendish	/wiki/Mark_Cavendish	['1985', '2025']
Mark Christian	/wiki/Mark_Christian	['1990', '2025']
Conor Cummins	/wiki/Conor_Cummins	['1986', '2025']
Zoe Gillings	/wiki/Zoe_Gillings	['1985', '2025']
David Higgins	/wiki/David_Higgins_(rally_driver)	['1972', '2025']
Mark Higgins	/wiki/Mark_Higgins_(driver)	['1971', '2025']
Darryl Hill	/wiki/Darryl_Hill_(snooker_player)	['1996', '2025']
Nina Hunt	/wiki/Nina_Hunt	['1932', '1995']
Peter Kennaugh	/wiki/Peter_Kennaugh	['1989', '2025']
Dan Kneen	/wiki/Dan_Kneen	['1987', '2018']
David Knight	/wiki/David_Knight_(motorcyclist)	['1978', '2025']
David Lyon	/wiki/David_Lyon_(cricketer)	['1943', '2025']
Dave Molyneux	/wiki/Dave_Molyneux	['1963', '2025']
Kieran Tierney	/wiki/Kieran_Tierney	['1997', '2025']
Thomas Edward Brown	/wiki/Thomas_Edward_Brown	['1830', '1897']
Hall Caine	/wiki/Hall_Caine	['1853', '1931']
Mona Douglas	/wiki/Mona_Douglas	['1898', '1987']
Eliza S. Craven Green	/wiki/Eliza_S._Craven_Green	['1803', '1866']
Jane Holland	/wiki/Jane_Holland	['1966', '2025']
Sarah Holland	/wiki/Sarah_Holland	['1961', '2025']
Josephine Kermode	/wiki/Josephine_Kermode	['1900', '1950']
Nigel Kneale	/wiki/Nigel_Kneale	['1922', '2006']
Charlotte Lamb	/wiki/Charlotte_Lamb	['1900', '1950']
Sophia Morrison	/wiki/Sophia_Morrison	['1859', '1917']
Esther Nelson	/wiki/Esther_Nelson	['1810', '1843']
Hilary Robinson	/wiki/Hilary_Robinson_(author)	['1972', '2025']
Christopher R. Shimmin	/wiki/Christopher_R._Shimmin	['1870', '1933']
Thomas Shimmin	/wiki/Thomas_Shimmin	['1900', '1950']
Brian Stowell	/wiki/Brian_Stowell	['1936', '2019']
George Waldron	/wiki/George_Waldron	['1900', '1950']
George Q. Cannon	/wiki/George_Q._Cannon	['1827', '1901']
Richard Costain	/wiki/Richard_Costain	['1839', '1902']
Colonel Routh Goshen	/wiki/Colonel_Routh_Goshen	['1900', '1950']
Abdullah Quilliam	/wiki/Abdullah_Quilliam	['1856', '1932']
Manx people	/wiki/Manx_people	['1900', '1950']
