text	link	year
Seewoosagur Ramgoolam	/wiki/Seewoosagur_Ramgoolam	['1900', '1985']
Navin Ramgoolam	/wiki/Navin_Ramgoolam	['1900', '1950']
Shakeel Mohamed	/wiki/Shakeel_Mohamed	['2010', '2014']
Rama Sithanen	/wiki/Rama_Sithanen	['1900', '1950']
Paul Bérenger	/wiki/Paul_B%C3%A9renger	['2003', '2005']
Raman Osman	/wiki/Raman_Osman	['1900', '1950']
Xavier Luc Duval	/wiki/Xavier_Luc_Duval	['1900', '1950']
Roshi Bhadain	/wiki/Roshi_Bhadain	['1900', '1950']
Anil Bachoo	/wiki/Anil_Bachoo	['1900', '1950']
Abdool Razack Mohamed	/wiki/Abdool_Razack_Mohamed	['1906', '1978']
Anerood Jugnauth	/wiki/Anerood_Jugnauth	['1900', '1950']
Angidi Chettiar	/wiki/Angidi_Chettiar	['1928', '2010']
Ariranga Pillay	/wiki/Ariranga_Pillay	['1900', '1950']
Cassam Moollan	/wiki/Cassam_Moollan	['1985', '1986']
Cassam Uteem	/wiki/Cassam_Uteem	['1900', '1950']
Dayendranath Burrenchobay	/wiki/Dayendranath_Burrenchobay	['1900', '1950']
Emmanuel Anquetil	/wiki/Emmanuel_Anquetil	['1900', '1950']
Jaya Krishna Cuttaree	/wiki/Jaya_Krishna_Cuttaree	['1900', '1950']
Karl Offmann	/wiki/Karl_Offmann	['1900', '1950']
Louis Joseph Coralie	/wiki/Louis_Joseph_Coralie	['1912', '1967']
Madun Dulloo	/wiki/Madun_Dulloo	['1900', '1950']
Monique Ohsan Bellepeau	/wiki/Monique_Ohsan_Bellepeau	['1900', '1950']
Paul Bérenger	/wiki/Paul_B%C3%A9renger	['2003', '2005']
Rabindranath Ghurburrun	/wiki/Rabindranath_Ghurburrun	['1928', '2008']
Raouf Bundhun	/wiki/Raouf_Bundhun	['1900', '1950']
Rashid Beebeejaun	/wiki/Rashid_Beebeejaun	['1900', '1950']
Sangeet Fowdar	/wiki/Sangeet_Fowdar	['1900', '1950']
Serge Clair	/wiki/Serge_Clair	['1900', '1950']
Sheila Bappoo	/wiki/Sheila_Bappoo	['1900', '1950']
Sookdeo Bissoondoyal	/wiki/Sookdeo_Bissoondoyal	['1908', '1977']
Veerasamy Ringadoo	/wiki/Veerasamy_Ringadoo	['1920', '2000']
Pravind Jugnauth	/wiki/Pravind_Jugnauth	['1900', '1950']
Jean Marie Bosser	/wiki/Jean_Marie_Bosser	['1922', '2013']
Charles-Édouard Brown-Séquard	/wiki/Charles-%C3%89douard_Brown-S%C3%A9quard	['1817', '1894']
France Staub	/wiki/France_Staub	['1920', '2005']
Joël de Rosnay	/wiki/Jo%C3%ABl_de_Rosnay	['1900', '1950']
Julien François Desjardins	/wiki/Julien_Fran%C3%A7ois_Desjardins	['1799', '1840']
Shirin Ameeruddy-Cziffra	/wiki/Shirin_Ameeruddy-Cziffra	['1900', '1950']
Caroline Lenferna de Laresle	/wiki/Caroline_Lenferna_de_Laresle	['1824', '1900']
Jean Margéot	/wiki/Jean_Marg%C3%A9ot	['1916', '2009']
Maurice Piat	/wiki/Maurice_Piat	['1900', '1950']
David Constantin	/wiki/David_Constantin	['1900', '1950']
Miselaine Duval	/wiki/Miselaine_Duval	['1900', '1950']
Vince Duverge	/wiki/Vince_Duverge	['1900', '1950']
Ameeksha Dilchand	/wiki/Ameeksha_Dilchand	['1900', '1950']
Diya Beeltah	/wiki/Diya_Beeltah	['1900', '1950']
Laetitia Darche	/wiki/Laetitia_Darche	['1900', '1950']
Nathalie Lesage	/wiki/Nathalie_Lesage	['1900', '1950']
Viveka Babajee	/wiki/Viveka_Babajee	['1900', '1950']
Pallavi Gungaram	/wiki/Pallavi_Gungaram	['1900', '1950']
Urvashi Gooriah	/wiki/Urvashi_Gooriah	['1900', '1950']
Bessika Bucktawor	/wiki/Bessika_Bucktawor	['1900', '1950']
Hazel Keech	/wiki/Hazel_Keech	['1900', '1950']
Jocelyn Alizart	/wiki/Jocelyn_Alizart	['1900', '1950']
Sanedhip Bhimjee	/wiki/Sanedhip_Bhimjee	['1900', '1950']
Viveka Babajee	/wiki/Viveka_Babajee	['1973', '2010']
Hazel Keech	/wiki/Hazel_Keech	['1900', '1950']
Yuvna Kim	/wiki/Yuvna_Kim	['1900', '1950']
Edouard Maunick	/wiki/Edouard_Maunick	['1900', '1950']
Joseph Tsang Mang Kin	/wiki/Joseph_Tsang_Mang_Kin	['1900', '1950']
Angry Anderson	/wiki/Angry_Anderson	['1900', '1950']
Willy William	/wiki/Willy_William	['1900', '1950']
Kaya	/wiki/Kaya_(Mauritian_musician)	['1900', '1950']
Menwar	/wiki/Menwar	['1900', '1950']
Havana Brown	/wiki/Havana_Brown_(musician)	['1900', '1950']
Mélanie René	/wiki/M%C3%A9lanie_Ren%C3%A9	['1900', '1950']
