text	link	year
Manuel Álvarez Bravo	/wiki/Manuel_%C3%81lvarez_Bravo	['1900', '1950']
Pita Amor	/wiki/Pita_Amor	['1900', '1950']
Alberto Arai	/wiki/Alberto_Arai	['1900', '1950']
Luis Barragán	/wiki/Luis_Barrag%C3%A1n	['1900', '1950']
Federico Cantú Garza	/wiki/Federico_Cant%C3%BA_Garza	['1900', '1950']
Leonora Carrington	/wiki/Leonora_Carrington	['1900', '1950']
Max Cetto	/wiki/Max_Cetto	['1900', '1950']
Joaquín Clausell	/wiki/Joaqu%C3%ADn_Clausell	['1900', '1950']
Miguel Covarrubias	/wiki/Miguel_Covarrubias	['1900', '1950']
José Luis Cuevas	/wiki/Jos%C3%A9_Luis_Cuevas	['1900', '1950']
Gelsen Gas	/wiki/Gelsen_Gas	['1900', '1950']
Mathias Goeritz	/wiki/Mathias_Goeritz	['1900', '1950']
Jorge González Camarena	/wiki/Jorge_Gonz%C3%A1lez_Camarena	['1900', '1950']
Saturnino Herrán	/wiki/Saturnino_Herr%C3%A1n	['1900', '1950']
Graciela Iturbide	/wiki/Graciela_Iturbide	['1900', '1950']
María Izquierdo	/wiki/Mar%C3%ADa_Izquierdo_(artist)	['1900', '1950']
Frida Kahlo	/wiki/Frida_Kahlo	['1900', '1950']
Dr. Atl	/wiki/Dr._Atl	['1900', '1950']
Amado Nervo	/wiki/Amado_Nervo	['1900', '1950']
Juan O'Gorman	/wiki/Juan_O%27Gorman	['1900', '1950']
José Clemente Orozco	/wiki/Jos%C3%A9_Clemente_Orozco	['1900', '1950']
Guillermo Ríos Alcalá	/wiki/Guillermo_R%C3%ADos_Alcal%C3%A1	['1900', '1950']
Antonio Rivas Mercado	/wiki/Antonio_Rivas_Mercado	['1900', '1950']
Arturo Rivera	/wiki/Arturo_Rivera	['1900', '1950']
Diego Rivera	/wiki/Diego_Rivera	['1900', '1950']
Jesusa Rodríguez	/wiki/Jesusa_Rodr%C3%ADguez	['1900', '1950']
Michel Rojkind	/wiki/Michel_Rojkind	['1900', '1950']
Verónica Ruiz de Velasco	/wiki/Ver%C3%B3nica_Ruiz_de_Velasco	['1900', '1950']
Sebastián	/wiki/Sebasti%C3%A1n	['1900', '1950']
Javier Sicilia	/wiki/Javier_Sicilia	['1900', '1950']
David Alfaro Siqueiros	/wiki/David_Alfaro_Siqueiros	['1900', '1950']
Rufino Tamayo	/wiki/Rufino_Tamayo	['1900', '1950']
Mauricio Toussaint	/wiki/Mauricio_Toussaint	['1900', '1950']
Remedios Varo	/wiki/Remedios_Varo	['1900', '1950']
José María Velasco Gómez	/wiki/Jos%C3%A9_Mar%C3%ADa_Velasco_G%C3%B3mez	['1900', '1950']
Abraham Zabludovsky	/wiki/Abraham_Zabludovsky_(architect)	['1900', '1950']
Alejandro Zohn	/wiki/Alejandro_Zohn	['1900', '1950']
Ignacio Manuel Altamirano	/wiki/Ignacio_Manuel_Altamirano	['1900', '1950']
Pita Amor	/wiki/Pita_Amor	['1900', '1950']
Juan José Arreola	/wiki/Juan_Jos%C3%A9_Arreola	['1900', '1950']
Guillermo Arriaga	/wiki/Guillermo_Arriaga	['1900', '1950']
Mariano Azuela	/wiki/Mariano_Azuela	['1900', '1950']
Caridad Bravo Adams	/wiki/Caridad_Bravo_Adams	['1900', '1950']
Roberto Bravo	/wiki/Roberto_Bravo	['1900', '1950']
Ignacio Burgoa	/wiki/Ignacio_Burgoa	['1900', '1950']
Rosario Castellanos	/wiki/Rosario_Castellanos	['1900', '1950']
Sor Juana Inés de la Cruz	/wiki/Sor_Juana_In%C3%A9s_de_la_Cruz	['1900', '1950']
Salvador Elizondo	/wiki/Salvador_Elizondo	['1900', '1950']
José Joaquín Fernández de Lizardi	/wiki/Jos%C3%A9_Joaqu%C3%ADn_Fern%C3%A1ndez_de_Lizardi	['1900', '1950']
Carlos Fuentes	/wiki/Carlos_Fuentes	['1900', '1950']
Martín Luis Guzmán	/wiki/Mart%C3%ADn_Luis_Guzm%C3%A1n	['1900', '1950']
Guadalupe Loaeza	/wiki/Guadalupe_Loaeza	['1900', '1950']
Gregorio López	/wiki/Gregorio_L%C3%B3pez_(writer)	['1900', '1950']
Ángeles Mastretta	/wiki/%C3%81ngeles_Mastretta	['1900', '1950']
Carlos Monsiváis	/wiki/Carlos_Monsiv%C3%A1is	['1900', '1950']
Nezahualcoyotl	/wiki/Nezahualcoyotl_(tlatoani)	['1900', '1950']
Salvador Novo	/wiki/Salvador_Novo	['1900', '1950']
Fernando del Paso	/wiki/Fernando_del_Paso	['1900', '1950']
José Emilio Pacheco	/wiki/Jos%C3%A9_Emilio_Pacheco	['1900', '1950']
Susana Palazuelos	/wiki/Susana_Palazuelos	['1900', '1950']
Elena Poniatowska	/wiki/Elena_Poniatowska	['1900', '1950']
Alfonso Reyes	/wiki/Alfonso_Reyes	['1900', '1950']
José Revueltas	/wiki/Jos%C3%A9_Revueltas	['1900', '1950']
Luis J. Rodriguez	/wiki/Luis_J._Rodriguez	['1900', '1950']
Juan Rulfo	/wiki/Juan_Rulfo	['1900', '1950']
Juan Ruiz de Alarcón	/wiki/Juan_Ruiz_de_Alarc%C3%B3n	['1900', '1950']
Jaime Sabines	/wiki/Jaime_Sabines	['1900', '1950']
Paco Ignacio Taibo II	/wiki/Paco_Ignacio_Taibo_II	['1900', '1950']
Lourdes Urrea	/wiki/Lourdes_Urrea	['1900', '1950']
José Vasconcelos	/wiki/Jos%C3%A9_Vasconcelos	['1900', '1950']
