text	link	year
Romanian language	/wiki/Romanian_language	['1900', '1950']
Baruch Agadati	/wiki/Baruch_Agadati	['1895', '1976']
Nachum Gutman	/wiki/Nachum_Gutman	['1898', '1980']
Alexey Shchusev	/wiki/Alexey_Shchusev	['1900', '1950']
Alexandru Plămădeală	/wiki/Alexandru_Pl%C4%83m%C4%83deal%C4%83	['1900', '1950']
Mihai Petric	/wiki/Mihai_Petric	['1900', '1950']
Tudor Cataraga	/wiki/Tudor_Cataraga	['1900', '1950']
Alexandru Donici	/wiki/Alexandru_Donici	['1900', '1950']
Alexei Mateevici	/wiki/Alexei_Mateevici	['1900', '1950']
Alexandru Hâjdeu	/wiki/Alexandru_H%C3%A2jdeu	['1900', '1950']
Alecu Russo	/wiki/Alecu_Russo	['1900', '1950']
Bogdan Petriceicu-Haşdeu	/wiki/Bogdan_Petriceicu-Ha%C5%9Fdeu	['1900', '1950']
Constantin Stamati	/wiki/Constantin_Stamati	['1900', '1950']
Constantin Stamati-Ciurea	/wiki/Constantin_Stamati-Ciurea	['1900', '1950']
Constantin Stere	/wiki/Constantin_Stere	['1900', '1950']
Dumitru Matcovschi	/wiki/Dumitru_Matcovschi	['1900', '1950']
Grigore Vieru	/wiki/Grigore_Vieru	['1900', '1950']
Ion Druţă	/wiki/Ion_Dru%C5%A3%C4%83	['1900', '1950']
Ion Vatamanu	/wiki/Ion_Vatamanu	['1900', '1950']
Ion Hadârcă	/wiki/Ion_Had%C3%A2rc%C4%83	['1900', '1950']
Lidia Kulikovski	/wiki/Lidia_Kulikovski	['1951', '2025']
Liviu Damian	/wiki/Liviu_Damian	['1900', '1950']
Petru Cărare	/wiki/Petru_C%C4%83rare	['1900', '1950']
Sorana Gurian	/wiki/Sorana_Gurian	['1900', '1950']
Vasile Vasilache	/wiki/Vasile_Vasilache	['1900', '1950']
Victor Teleucă	/wiki/Victor_Teleuc%C4%83	['1900', '1950']
Vladimir Beşleagă	/wiki/Vladimir_Be%C5%9Fleag%C4%83	['1900', '1950']
Eugen Doga	/wiki/Eugen_Doga	['1900', '1950']
Maria Biesu	/wiki/Maria_Biesu	['1900', '1950']
Maria Cebotari	/wiki/Maria_Cebotari	['1900', '1950']
Sofia Rotaru	/wiki/Sofia_Rotaru	['1900', '1950']
Anatol Dumitras	/wiki/Anatol_Dumitras	['1900', '1950']
Nicolae Glib	/wiki/Nicolae_Glib	['1900', '1950']
Anastasia Lazariuc	/wiki/Anastasia_Lazariuc	['1900', '1950']
Ion Suruceanu	/wiki/Ion_Suruceanu	['1900', '1950']
Nelly Ciobanu	/wiki/Nelly_Ciobanu	['1900', '1950']
Zdob şi Zdub	/wiki/Zdob_%C5%9Fi_Zdub	['1900', '1950']
Valentina Naforniță	/wiki/Valentina_Naforni%C8%9B%C4%83	['1900', '1950']
Dan Bălan	/wiki/Dan_B%C4%83lan	['1900', '1950']
Natalia Barbu	/wiki/Natalia_Barbu	['1900', '1950']
Maria Bieşu	/wiki/Maria_Bie%C5%9Fu	['1900', '1950']
Geta Burlacu	/wiki/Geta_Burlacu	['1900', '1950']
Maria Cebotari	/wiki/Maria_Cebotari	['1900', '1950']
Mihai Dolgan	/wiki/Mihai_Dolgan	['1900', '1950']
Kruiz	/wiki/Kruiz	['1900', '1950']
Lidia Isac	/wiki/Lidia_Isac	['1900', '1950']
Radu Marian	/wiki/Radu_Marian	['1900', '1950']
Sofia Rotaru	/wiki/Sofia_Rotaru	['1900', '1950']
Radu Sîrbu	/wiki/Radu_S%C3%AErbu	['1900', '1950']
Pavel Stratan	/wiki/Pavel_Stratan	['1900', '1950']
Vika Jigulina	/wiki/Vika_Jigulina	['1900', '1950']
Mark Zeltser	/wiki/Mark_Zeltser	['1900', '1950']
Andrew Rayel	/wiki/Andrew_Rayel	['1900', '1950']
SunStroke Project	/wiki/SunStroke_Project	['1900', '1950']
Ion Aldea-Teodorovici	/wiki/Ion_Aldea-Teodorovici	['1900', '1950']
Eugen Coca	/wiki/Eugen_Coca	['1900', '1950']
Eugen Doga	/wiki/Eugen_Doga	['1900', '1950']
Arkady Luxemburg	/wiki/Arkady_Luxemburg	['1900', '1950']
Gavriil Musicescu	/wiki/Gavriil_Musicescu	['1900', '1950']
Stefan Neaga	/wiki/Stefan_Neaga	['1900', '1950']
Lev Berg	/wiki/Lev_Berg	['1900', '1950']
Ştefan Ciobanu	/wiki/%C5%9Etefan_Ciobanu	['1900', '1950']
Nicolae Donici	/wiki/Nicolae_Donici	['1900', '1950']
Jerzy Neyman	/wiki/Jerzy_Neyman	['1900', '1950']
Sergiu Rădăuţan	/wiki/Sergiu_R%C4%83d%C4%83u%C5%A3an	['1900', '1950']
Nikolay Sclifosovsky	/wiki/Nikolay_Sclifosovsky	['1900', '1950']
Nicolae Testemiţanu	/wiki/Nicolae_Testemi%C5%A3anu	['1900', '1950']
Nikolay Dimitrievich Zelinskiy	/wiki/Nikolay_Dimitrievich_Zelinskiy	['1900', '1950']
George de Bothezat	/wiki/George_de_Bothezat	['1900', '1950']
Olga Bolşova	/wiki/Olga_Bol%C5%9Fova	['1968', '2025']
Alexandru Bratan	/wiki/Alexandru_Bratan	['1977', '2025']
Serghei Covalciuc	/wiki/Serghei_Covalciuc	['1982', '2025']
Ion Gonța	/wiki/Ion_Gon%C8%9Ba	['1978', '2025']
Vitalie Gruşac	/wiki/Vitalie_Gru%C5%9Fac	['1900', '1950']
Fedor Kassapu	/wiki/Fedor_Kassapu	['1900', '1950']
Boris Polak	/wiki/Boris_Polak	['1954', '2025']
Naum Prokupets	/wiki/Naum_Prokupets	['1900', '1950']
