text	link	year
Damdinsürengiin Altangerel	/wiki/Damdins%C3%BCrengiin_Altangerel	['1945', '1998']
Enkhbatyn Amartüvshin	/wiki/Enkhbatyn_Amart%C3%BCvshin	['1900', '1950']
Shirnengiin Ayuush	/wiki/Shirnengiin_Ayuush	['1903', '1938']
Gonchigiin Birvaa	/wiki/Gonchigiin_Birvaa	['1916', '2006']
B. Burinbeki	/wiki/B._Burinbeki	['1928', '2009']
Eregzengiin Choidog	/wiki/Eregzengiin_Choidog	['1926', '1988']
Ryenchinii Choinom	/wiki/Ryenchinii_Choinom	['1936', '1978']
Bilegiin Damdinsüren	/wiki/Bilegiin_Damdins%C3%BCren	['1919', '1992']
Tsendiin Damdinsüren	/wiki/Tsendiin_Damdins%C3%BCren	['1908', '1986']
Dulduityn Danzanravjaa	/wiki/Dulduityn_Danzanravjaa	['1803', '1856']
Dulduityn Danzanravjaa	/wiki/Dulduityn_Danzanravjaa	['1803', '1856']
Ochirbatyn Dashbalbar	/wiki/Ochirbatyn_Dashbalbar	['1900', '1950']
Agvaantserengiin Enkhtaivan	/wiki/Agvaantserengiin_Enkhtaivan	['1900', '1950']
Tumurbaatar Enkhtungalag	/wiki/Tumurbaatar_Enkhtungalag	['1900', '1950']
Sengiin Erdene	/wiki/Sengiin_Erdene	['1929', '2000']
Luvsannorovyn Erdenechimeg	/wiki/Luvsannorovyn_Erdenechimeg	['1900', '1950']
Sembiin Gonchigsumlaa	/wiki/Sembiin_Gonchigsumlaa	['1915', '1991']
Vanchinbalyn Gularans	/wiki/Vanchinbalyn_Gularans	['1820', '1851']
Vanchinbalyn Injinash	/wiki/Vanchinbalyn_Injinash	['1837', '1892']
Natsagiin Jantsannorov	/wiki/Natsagiin_Jantsannorov	['1900', '1950']
Zunduin Khangal	/wiki/Zunduin_Khangal	['1948', '1996']
Chuluuny Khulan	/wiki/Chuluuny_Khulan	['1900', '1950']
Chadraabalyn Lodoidamba	/wiki/Chadraabalyn_Lodoidamba	['1917', '1970']
Dagvyn Luvsansharav	/wiki/Dagvyn_Luvsansharav	['1927', '2014']
Luvsanjambyn Mördorj	/wiki/Luvsanjambyn_M%C3%B6rdorj	['1919', '1996']
Tsegmidiin Namsraijav	/wiki/Tsegmidiin_Namsraijav	['1927', '1987']
Dashdorj Natsagdorj	/wiki/Dashdorj_Natsagdorj	['1906', '1937']
Namjilyn Norovbanzad	/wiki/Namjilyn_Norovbanzad	['1931', '2002']
Irina Pantaeva	/wiki/Irina_Pantaeva	['1900', '1950']
Byambyn Rinchen	/wiki/Byambyn_Rinchen	['1905', '1977']
Sangidorjiin Sansargereltekh	/wiki/Sangidorjiin_Sansargereltekh	['1900', '1950']
Hadaa Sendoo	/wiki/Hadaa_Sendoo	['1900', '1950']
Byambasuren Sharav	/wiki/Byambasuren_Sharav	['1900', '1950']
Marzan Sharav	/wiki/Marzan_Sharav	['1869', '1939']
Choghtu Khong Tayiji	/wiki/Choghtu_Khong_Tayiji	['1581', '1637']
Galsan Tschinag	/wiki/Galsan_Tschinag	['1900', '1950']
Begziin Yavuukhulan	/wiki/Begziin_Yavuukhulan	['1929', '1982']
Altan Urag	/wiki/Altan_Urag	['1900', '1950']
Camerton	/wiki/Camerton_(band)	['1900', '1950']
Hurd	/wiki/Hurd_(band)	['1900', '1950']
Kharanga	/wiki/Kharanga	['1900', '1950']
Kiwi	/wiki/Kiwi_(band)	['1900', '1950']
Lipstick	/wiki/Lipstick_(Mongolian_band)	['1900', '1950']
Nominjin	/wiki/Nominjin	['1900', '1950']
Nomin Talst	/wiki/Nomin_Talst	['1900', '1950']
Soyol Erdene	/wiki/Soyol_Erdene	['1900', '1950']
Jamyangiin Urantögs	/wiki/Jamyangiin_Urant%C3%B6gs	['1900', '1950']
Chingis Khaan	/wiki/Chingis_Khaan	['1900', '1950']
The Walrus	/wiki/The_Walrus	['1900', '1950']
Night Train	/wiki/Night_Train_(band)	['1900', '1950']
Ginjin	/wiki/Ginjin	['1900', '1950']
Dain ba Enkh	/wiki/Dain_ba_Enkh	['1900', '1950']
Digital data	/wiki/Digital_data	['1900', '1950']
Lumino	/wiki/Lumino_(band)	['1900', '1950']
Tatar	/wiki/Tatar	['1900', '1950']
Tsetse	/wiki/Tsetse	['1900', '1950']
Uka	/wiki/Uka_(singer)	['1900', '1950']
Modu Chanyu	/wiki/Modu_Chanyu	['1900', '1950']
Xianbei state	/wiki/Xianbei_state	['141', '181']
Tuyuhun	/wiki/Tuyuhun	['285', '670']
Rouran Khaganate	/wiki/Rouran_Khaganate	['1900', '1950']
Yujiulü Shelun	/wiki/Yujiul%C3%BC_Shelun	['1900', '1950']
Yelü Dashi	/wiki/Yel%C3%BC_Dashi	['1087', '1143']
Khabul Khan	/wiki/Khabul_Khan	['1900', '1950']
Genghis Khan	/wiki/Genghis_Khan	['1162', '1227']
Subutai	/wiki/Subutai	['1175', '1248']
Ögedei Khan	/wiki/%C3%96gedei_Khan	['1900', '1950']
Kublai Khan	/wiki/Kublai_Khan	['1215', '1294']
Kitbuqa	/wiki/Kitbuqa	['1900', '1950']
Hulegu	/wiki/Hulegu	['1900', '1950']
Galdan Boshugtu Khan	/wiki/Galdan_Boshugtu_Khan	['1670', '1697']
Batu Khan	/wiki/Batu_Khan	['1227', '1255']
Ligden Khan	/wiki/Ligden_Khan	['1538', '1634']
Mandukhai Khatun	/wiki/Mandukhai_Khatun	['1449', '1510']
Ögedei Khan	/wiki/%C3%96gedei_Khan	['1229', '1241']
Yonten Gyatso	/wiki/Yonten_Gyatso	['1900', '1950']
Dayan Khan	/wiki/Dayan_Khan	['1900', '1950']
Erketü Qatun	/wiki/Erket%C3%BC_Qatun	['1551', '1612']
Esen taishi	/wiki/Esen_taishi	['1454', '1455']
Anandyn Amar	/wiki/Anandyn_Amar	['1886', '1941']
Khorloogiin Choibalsan	/wiki/Khorloogiin_Choibalsan	['1895', '1952']
Ajvaagiin Danzan	/wiki/Ajvaagiin_Danzan	['1895', '1932']
Demchugdongrub	/wiki/Demchugdongrub	['1902', '1966']
Bogd Khan	/wiki/Bogd_Khan	['1869', '1924']
Tsengeltiin Jigjidjav	/wiki/Tsengeltiin_Jigjidjav	['1894', '1933']
Khatanbaatar Magsarjav	/wiki/Khatanbaatar_Magsarjav	['1877', '1927']
Tögs-Ochiryn Namnansüren	/wiki/T%C3%B6gs-Ochiryn_Namnans%C3%BCren	['1878', '1919']
Damdin Sükhbaatar	/wiki/Damdin_S%C3%BCkhbaatar	['1893', '1923']
Yumjaagiin Tsedenbal	/wiki/Yumjaagiin_Tsedenbal	['1916', '1991']
Balingiin Tserendorj	/wiki/Balingiin_Tserendorj	['1868', '1928']
Diluwa Khutugtu Jamsrangjab	/wiki/Diluwa_Khutugtu_Jamsrangjab	['1883', '1964']
Sanjaasürengiin Zorig	/wiki/Sanjaas%C3%BCrengiin_Zorig	['1962', '1998']
Erdeniin Bat-Üül	/wiki/Erdeniin_Bat-%C3%9C%C3%BCl	['2012', '2016']
Norovyn Altankhuyag	/wiki/Norovyn_Altankhuyag	['1900', '1950']
Sanjaagiin Bayar	/wiki/Sanjaagiin_Bayar	['2007', '2009']
Losolyn Byambajargal	/wiki/Losolyn_Byambajargal	['1900', '1950']
Tsakhiagiin Elbegdorj	/wiki/Tsakhiagiin_Elbegdorj	['1900', '1950']
Luvsangiin Erdenechuluun	/wiki/Luvsangiin_Erdenechuluun	['2000', '2004']
Jügderdemidiin Gürragchaa	/wiki/J%C3%BCgderdemidiin_G%C3%BCrragchaa	['2000', '2004']
Dumaagiin Sodnom	/wiki/Dumaagiin_Sodnom	['1984', '1990']
Ukhnaagiin Khürelsükh	/wiki/Ukhnaagiin_Kh%C3%BCrels%C3%BCkh	['1900', '1950']
Bayarjargal Agvaantseren	/wiki/Bayarjargal_Agvaantseren	['1969', '2025']
Dashiin Byambasüren	/wiki/Dashiin_Byambas%C3%BCren	['1942', '2025']
Yümjiriin Mönkh-Amgalan	/wiki/Y%C3%BCmjiriin_M%C3%B6nkh-Amgalan	['1956', '2025']
Jamsrangiin Tseveen	/wiki/Jamsrangiin_Tseveen	['1880', '1942']
Byambyn Rinchen	/wiki/Byambyn_Rinchen	['1905', '1977']
Rinchen Barsbold	/wiki/Rinchen_Barsbold	['1900', '1950']
Altangerel Perle	/wiki/Altangerel_Perle	['1900', '1950']
Asashōryū Akinori	/wiki/Asash%C5%8Dry%C5%AB_Akinori	['1900', '1950']
Tömöriin Artag	/wiki/T%C3%B6m%C3%B6riin_Artag	['1943', '1993']
Enkhbatyn Badar-Uugan	/wiki/Enkhbatyn_Badar-Uugan	['1900', '1950']
Khorloogiin Bayanmönkh	/wiki/Khorloogiin_Bayanm%C3%B6nkh	['1900', '1950']
Namjilyn Bayarsaikhan	/wiki/Namjilyn_Bayarsaikhan	['1900', '1950']
Tsendiin Damdin	/wiki/Tsendiin_Damdin	['1900', '1950']
Chimedbazaryn Damdinsharav	/wiki/Chimedbazaryn_Damdinsharav	['1900', '1950']
Ravdangiin Davaadalai	/wiki/Ravdangiin_Davaadalai	['1900', '1950']
Jamtsyn Davaajav	/wiki/Jamtsyn_Davaajav	['1900', '1950']
Munkhbayar Dorjsuren	/wiki/Munkhbayar_Dorjsuren	['1900', '1950']
Nergüin Enkhbat	/wiki/Nerg%C3%BCin_Enkhbat	['1900', '1950']
Otryadyn Gündegmaa	/wiki/Otryadyn_G%C3%BCndegmaa	['1900', '1950']
Jigjidiin Mönkhbat	/wiki/Jigjidiin_M%C3%B6nkhbat	['1900', '1950']
Dorjpalamyn Narmandakh	/wiki/Dorjpalamyn_Narmandakh	['1900', '1950']
Zevegiin Oidov	/wiki/Zevegiin_Oidov	['1900', '1950']
Dugarsürengiin Oyuunbold	/wiki/Dugars%C3%BCrengiin_Oyuunbold	['1900', '1950']
Danzandarjaagiin Sereeter	/wiki/Danzandarjaagiin_Sereeter	['1900', '1950']
Pürevdorjiin Serdamba	/wiki/P%C3%BCrevdorjiin_Serdamba	['1900', '1950']
Khashbaataryn Tsagaanbaatar	/wiki/Khashbaataryn_Tsagaanbaatar	['1900', '1950']
Naidangiin Tüvshinbayar	/wiki/Naidangiin_T%C3%BCvshinbayar	['1900', '1950']
