text	link	year
Svetlana Kana Radević	/wiki/Svetlana_Kana_Radevi%C4%87	['1900', '1950']
Čedo Vuković	/wiki/%C4%8Cedo_Vukovi%C4%87	['1900', '1950']
Mihailo Lalić	/wiki/Mihailo_Lali%C4%87	['1900', '1950']
Milisav Popović	/wiki/Milisav_Popovi%C4%87	['1900', '1950']
Elijah Monte Radlovic	/wiki/Elijah_Monte_Radlovic	['1900', '1950']
Petar II Petrović-Njegoš	/wiki/Petar_II_Petrovi%C4%87-Njego%C5%A1	['1900', '1950']
Mirko Kovač	/wiki/Mirko_Kova%C4%8D_(writer)	['1900', '1950']
Radovan Zogović	/wiki/Radovan_Zogovi%C4%87	['1900', '1950']
Marko Miljanov Popović	/wiki/Marko_Miljanov_Popovi%C4%87	['1900', '1950']
Andrija Paltašić	/wiki/Andrija_Palta%C5%A1i%C4%87	['1900', '1950']
Milovan Đilas	/wiki/Milovan_%C4%90ilas	['1900', '1950']
Dejan Stojanović	/wiki/Dejan_Stojanovi%C4%87_(writer)	['1900', '1950']
Novak Kilibarda	/wiki/Novak_Kilibarda	['1900', '1950']
Dragan Radulović	/wiki/Dragan_Radulovi%C4%87	['1900', '1950']
Borislav Jovanović	/wiki/Borislav_Jovanovi%C4%87_(writer)	['1900', '1950']
Jevrem Brković	/wiki/Jevrem_Brkovi%C4%87	['1900', '1950']
Sreten Asanović	/wiki/Sreten_Asanovi%C4%87	['1900', '1950']
Nikola Petanović	/wiki/Nikola_Petanovi%C4%87	['1900', '1950']
Petar II Petrović Njegoš	/wiki/Petar_II_Petrovi%C4%87_Njego%C5%A1	['1900', '1950']
Mirko Petrović Njegoš	/wiki/Mirko_Petrovi%C4%87_Njego%C5%A1	['1900', '1950']
Marko Miljanov	/wiki/Marko_Miljanov	['1900', '1950']
Andrija Zmajević	/wiki/Andrija_Zmajevi%C4%87	['1900', '1950']
Tanja Bakić	/wiki/Tanja_Baki%C4%87	['1900', '1950']
Radovan Zogović	/wiki/Radovan_Zogovi%C4%87	['1900', '1950']
Stjepan Mitrov Ljubiša	/wiki/Stjepan_Mitrov_Ljubi%C5%A1a	['1900', '1950']
Vito Nikolić	/wiki/Vito_Nikoli%C4%87	['1900', '1950']
Dejan Stojanović	/wiki/Dejan_Stojanovi%C4%87_(writer)	['1900', '1950']
Jovan Sundečić	/wiki/Jovan_Sunde%C4%8Di%C4%87	['1900', '1950']
Andrija Radulović	/wiki/Andrija_Radulovi%C4%87	['1900', '1950']
Giovanni Bona Boliris	/wiki/Giovanni_Bona_Boliris	['1900', '1950']
Aleksandar Bečanović	/wiki/Aleksandar_Be%C4%8Danovi%C4%87	['1900', '1950']
Živko Andrijašević	/wiki/%C5%BDivko_Andrija%C5%A1evi%C4%87	['1900', '1950']
Darko Šuković	/wiki/Darko_%C5%A0ukovi%C4%87	['1900', '1950']
Nikola Bošković	/wiki/Nikola_Bo%C5%A1kovi%C4%87	['1900', '1950']
Dado	/wiki/Dado_(painter)	['1900', '1950']
Uroš Tošković	/wiki/Uro%C5%A1_To%C5%A1kovi%C4%87	['1900', '1950']
Petar Lubarda	/wiki/Petar_Lubarda	['1900', '1950']
Milo Milunović	/wiki/Milo_Milunovi%C4%87	['1900', '1950']
Tripo Kokolja	/wiki/Tripo_Kokolja	['1900', '1950']
Boris Dragojević	/wiki/Boris_Dragojevi%C4%87	['1900', '1950']
Andrija Paltašić	/wiki/Andrija_Palta%C5%A1i%C4%87	['1900', '1950']
Milos Vusković	/wiki/Milos_Vuskovi%C4%87	['1900', '1950']
Gojko Berkuljan	/wiki/Gojko_Berkuljan	['1900', '1950']
Vojo Stanić	/wiki/Vojo_Stani%C4%87	['1900', '1950']
Mario Maskareli	/wiki/Mario_Maskareli	['1900', '1950']
Vojo Stanić	/wiki/Vojo_Stani%C4%87	['1900', '1950']
Risto Stijović	/wiki/Risto_Stijovi%C4%87	['1900', '1950']
Yevgeny Vuchetich	/wiki/Yevgeny_Vuchetich	['1900', '1950']
Peko Nikčević	/wiki/Peko_Nik%C4%8Devi%C4%87	['1900', '1950']
Milla Jovovich	/wiki/Milla_Jovovich	['1900', '1950']
John Malkovich	/wiki/John_Malkovich	['1900', '1950']
Branimir Popović	/wiki/Branimir_Popovi%C4%87	['1900', '1950']
Dubravka Vukotić	/wiki/Dubravka_Vukoti%C4%87	['1900', '1950']
Momčilo Otašević	/wiki/Mom%C4%8Dilo_Ota%C5%A1evi%C4%87	['1900', '1950']
Stefan Kapičić	/wiki/Stefan_Kapi%C4%8Di%C4%87	['1900', '1950']
Milutin Karadžić	/wiki/Milutin_Karad%C5%BEi%C4%87	['1900', '1950']
Slavko Labović	/wiki/Slavko_Labovi%C4%87	['1900', '1950']
Veljko Mandić	/wiki/Veljko_Mandi%C4%87	['1900', '1950']
Krsto Papić	/wiki/Krsto_Papi%C4%87	['1900', '1950']
Vladimir Popović	/wiki/Vladimir_Popovi%C4%87_(actor)	['1900', '1950']
Živko Nikolić	/wiki/%C5%BDivko_Nikoli%C4%87	['1900', '1950']
Veljko Bulajić	/wiki/Veljko_Bulaji%C4%87	['1900', '1950']
Ivan Kraljevic	/wiki/Ivan_Kraljevic	['1900', '1950']
Željko Sošić	/wiki/%C5%BDeljko_So%C5%A1i%C4%87	['1900', '1950']
Dušan Vukotić	/wiki/Du%C5%A1an_Vukoti%C4%87	['1900', '1950']
Bojan Bazelli	/wiki/Bojan_Bazelli	['1900', '1950']
Miloš Karadaglić	/wiki/Milo%C5%A1_Karadagli%C4%87	['1900', '1950']
Janko Nilović	/wiki/Janko_Nilovi%C4%87	['1900', '1950']
Ratimir Martinović	/wiki/Ratimir_Martinovi%C4%87	['1900', '1950']
Jovo Ivanišević	/wiki/Jovo_Ivani%C5%A1evi%C4%87	['1900', '1950']
Milivoje Mićo Božović	/wiki/Milivoje_Mi%C4%87o_Bo%C5%BEovi%C4%87	['1900', '1950']
Danijel Cerović	/wiki/Danijel_Cerovi%C4%87	['1900', '1950']
Andrea Demirović	/wiki/Andrea_Demirovi%C4%87	['1900', '1950']
Knez	/wiki/Knez_(singer)	['1900', '1950']
Slavko Kalezić	/wiki/Slavko_Kalezi%C4%87	['1900', '1950']
Vanja Radovanović	/wiki/Vanja_Radovanovi%C4%87	['1900', '1950']
Nina Žižić	/wiki/Nina_%C5%BDi%C5%BEi%C4%87	['1900', '1950']
Sergej Ćetković	/wiki/Sergej_%C4%86etkovi%C4%87	['1900', '1950']
Danijel Alibabić	/wiki/Danijel_Alibabi%C4%87	['1900', '1950']
Bojan Marović	/wiki/Bojan_Marovi%C4%87	['1900', '1950']
