text	link	year
Michel Abitbol	/wiki/Michel_Abitbol	['1900', '1950']
Rajaâ Cherkaoui El Moursli	/wiki/Raja%C3%A2_Cherkaoui_El_Moursli	['1900', '1950']
David Assouline	/wiki/David_Assouline	['1900', '1950']
Moshe Bar-Asher	/wiki/Moshe_Bar-Asher	['1900', '1950']
Baruj Benacerraf	/wiki/Baruj_Benacerraf	['1900', '1950']
Paul Benacerraf	/wiki/Paul_Benacerraf	['1900', '1950']
Samuel Benchimol	/wiki/Samuel_Benchimol	['1900', '1950']
Sara Bendahan	/wiki/Sara_Bendahan	['1900', '1950']
Merieme Chadid	/wiki/Merieme_Chadid	['1900', '1950']
Sami Shalom Chetrit	/wiki/Sami_Shalom_Chetrit	['1900', '1950']
Serge Haroche	/wiki/Serge_Haroche	['1900', '1950']
Raphael Israeli	/wiki/Raphael_Israeli	['1900', '1950']
Marcelle Machluf	/wiki/Marcelle_Machluf	['1900', '1950']
Adnane Remmal	/wiki/Adnane_Remmal	['1900', '1950']
Daniel Sivan	/wiki/Daniel_Sivan	['1900', '1950']
Rachid Yazami	/wiki/Rachid_Yazami	['1900', '1950']
Haim Zafrani	/wiki/Haim_Zafrani	['1900', '1950']
Mohammed al-Ifrani	/wiki/Mohammed_al-Ifrani	['1900', '1950']
Abdelwahid al-Marrakushi	/wiki/Abdelwahid_al-Marrakushi	['1900', '1950']
Robert Assaraf	/wiki/Robert_Assaraf	['1900', '1950']
Nadia Bouras	/wiki/Nadia_Bouras	['1900', '1950']
Abdelhadi Tazi	/wiki/Abdelhadi_Tazi	['1900', '1950']
Mustapha Adib	/wiki/Mustapha_Adib	['1900', '1950']
Linor Abargil	/wiki/Linor_Abargil	['1900', '1950']
Reuven Abergel	/wiki/Reuven_Abergel	['1900', '1950']
Kacem El Ghazzali	/wiki/Kacem_El_Ghazzali	['1900', '1950']
Lamya Essemlali	/wiki/Lamya_Essemlali	['1900', '1950']
Saadia Marciano	/wiki/Saadia_Marciano	['1900', '1950']
Mohamed Rabbae	/wiki/Mohamed_Rabbae	['1900', '1950']
Abraham Serfaty	/wiki/Abraham_Serfaty	['1900', '1950']
Mordechai Vanunu	/wiki/Mordechai_Vanunu	['1900', '1950']
Avital Abergel	/wiki/Avital_Abergel	['1900', '1950']
Ahmed Salah Abdelfatah	/wiki/Ahmed_Salah_Abdelfatah	['1900', '1950']
Yael Abecassis	/wiki/Yael_Abecassis	['1900', '1950']
Loubna Abidar	/wiki/Loubna_Abidar	['1900', '1950']
Morjana Alaoui	/wiki/Morjana_Alaoui	['1900', '1950']
Fu'ad Aït Aattou	/wiki/Fu%27ad_A%C3%AFt_Aattou	['1900', '1950']
Achmed Akkabi	/wiki/Achmed_Akkabi	['1900', '1950']
Natacha Amal	/wiki/Natacha_Amal	['1900', '1950']
Najib Amhali	/wiki/Najib_Amhali	['1900', '1950']
Reymond Amsalem	/wiki/Reymond_Amsalem	['1900', '1950']
Richard Anconina	/wiki/Richard_Anconina	['1900', '1950']
Shiri Appleby	/wiki/Shiri_Appleby	['1900', '1950']
Moran Atias	/wiki/Moran_Atias	['1900', '1950']
Aure Atika	/wiki/Aure_Atika	['1900', '1950']
Amal Ayouch	/wiki/Amal_Ayouch	['1966', '2025']
Mohammed Azaay	/wiki/Mohammed_Azaay	['1900', '1950']
Lubna Azabal	/wiki/Lubna_Azabal	['1900', '1950']
Samuel Benchetrit	/wiki/Samuel_Benchetrit	['1900', '1950']
Marc Bendavid	/wiki/Marc_Bendavid	['1900', '1950']
Omar Berdouni	/wiki/Omar_Berdouni	['1900', '1950']
Miri Bohadana	/wiki/Miri_Bohadana	['1900', '1950']
Mohammed Chaara	/wiki/Mohammed_Chaara	['1900', '1950']
Emmanuelle Chriqui	/wiki/Emmanuelle_Chriqui	['1900', '1950']
Philippe Clair	/wiki/Philippe_Clair	['1900', '1950']
Adam Deacon	/wiki/Adam_Deacon	['1900', '1950']
Vincent Elbaz	/wiki/Vincent_Elbaz	['1900', '1950']
Jérémie Elkaïm	/wiki/J%C3%A9r%C3%A9mie_Elka%C3%AFm	['1900', '1950']
Nadia Farès	/wiki/Nadia_Far%C3%A8s	['1900', '1950']
Houda Echouafni	/wiki/Houda_Echouafni	['1900', '1950']
Mehdi El Glaoui	/wiki/Mehdi_El_Glaoui	['1900', '1950']
Mamoun Elyounoussi	/wiki/Mamoun_Elyounoussi	['1900', '1950']
Nabil Elouahabi	/wiki/Nabil_Elouahabi	['1900', '1950']
Nora Fatehi	/wiki/Nora_Fatehi	['1900', '1950']
Touriya Haoud	/wiki/Touriya_Haoud	['1900', '1950']
Maryam Hassouni	/wiki/Maryam_Hassouni	['1900', '1950']
Sol Heras	/wiki/Sol_Heras	['1900', '1950']
Aharon Ipalé	/wiki/Aharon_Ipal%C3%A9	['1900', '1950']
Dana Ivgy	/wiki/Dana_Ivgy	['1900', '1950']
Moshe Ivgy	/wiki/Moshe_Ivgy	['1900', '1950']
Touriya Jabrane	/wiki/Touriya_Jabrane	['1900', '1950']
Yasmine Lafitte	/wiki/Yasmine_Lafitte	['1900', '1950']
Karen Lancaume	/wiki/Karen_Lancaume	['1900', '1950']
Danny Nucci	/wiki/Danny_Nucci	['1900', '1950']
Mimoun Oaïssa	/wiki/Mimoun_Oa%C3%AFssa	['1900', '1950']
Mimoun Ouled Radi	/wiki/Mimoun_Ouled_Radi	['1900', '1950']
Zineb Oukach	/wiki/Zineb_Oukach	['1900', '1950']
Ze'ev Revach	/wiki/Ze%27ev_Revach	['1900', '1950']
Laila Rouass	/wiki/Laila_Rouass	['1900', '1950']
Nasser Saleh	/wiki/Nasser_Saleh	['1900', '1950']
Rosalinda Serfaty	/wiki/Rosalinda_Serfaty	['1900', '1950']
Leila Shenna	/wiki/Leila_Shenna	['1900', '1950']
Benjamin Siksou	/wiki/Benjamin_Siksou	['1900', '1950']
Saïd Taghmaoui	/wiki/Sa%C3%AFd_Taghmaoui	['1900', '1950']
Elisa Tovati	/wiki/Elisa_Tovati	['1900', '1950']
Jake Weber	/wiki/Jake_Weber	['1900', '1950']
Roschdy Zem	/wiki/Roschdy_Zem	['1900', '1950']
Kim Edri	/wiki/Kim_Edri	['1900', '1950']
Sara Chafak	/wiki/Sara_Chafak	['1900', '1950']
Maroua Kharbouch	/wiki/Maroua_Kharbouch	['1900', '1950']
Shlomit Malka	/wiki/Shlomit_Malka	['1900', '1950']
Mor Maman	/wiki/Mor_Maman_(beauty_queen)	['1900', '1950']
Richard Attias	/wiki/Richard_Attias	['1900', '1950']
